,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1301,Mark Glowinski\GlowMa00,2017,25,4-134,SEA,NFL,10,2,1,0,0,1
1302,Brittan Golden\GoldBr00,2017,29,,ARI,NFL,13,0,1,0,0,1
1303,Curtis Grant\GranCu01,2017,25,,NYG,NFL,10,0,1,0,0,1
1304,Tion Green\GreeTi00,2017,24,,DET,NFL,5,0,1,0,0,1
1305,Virgil Green\GreeVi00,2017,29,7-204,DEN,NFL,16,16,1,0,0,1
1306,Ryan Griffin\GrifRy00,2017,27,6-201,HOU,NFL,7,6,1,0,0,1
1307,Geneo Grissom\GrisGe00,2017,25,3-97,NWE,NFL,8,0,1,0,0,1
1308,Ryan Groy\GroyRy00,2017,27,,BUF,NFL,16,1,1,0,0,1
1309,Kamu Grugier-Hill\GrugKa00,2017,23,6-208,PHI,NFL,16,0,1,0,0,1
1310,DeAngelo Hall\HallDe99,2017,34,1-8,WAS,NFL,5,2,1,0,0,1
1311,Leon Hall\HallLe98,2017,33,1-18,SFO,NFL,9,1,1,0,0,1
1312,Marvin Hall\HallMa02,2017,24,,ATL,NFL,8,0,1,0,0,1
1313,C.J. Ham\HamxC.00,2017,24,,MIN,NFL,16,1,1,0,0,1
1314,James Hanna\HannJa00,2017,28,6-186,DAL,NFL,16,8,1,0,0,1
1315,Chad Hansen\HansCh00,2017,22,4-141,NYJ,NFL,15,1,1,0,0,1
1316,Justin Hardee\HardJu01,2017,23,,NOR,NFL,14,0,1,0,0,1
1317,De'Vante Harris\HarrDe04,2017,24,,NOR,NFL,11,1,1,0,0,1
1318,Erik Harris\HarrEr00,2017,27,,OAK,NFL,15,0,1,0,0,1
1319,Josh Harris\HarrJo02,2017,28,,ATL,NFL,16,0,1,0,0,1
1320,Nigel Harris\HarrNi00,2017,23,,3TM,NFL,8,1,1,0,0,1
1321,Jonotthan Harrison\HarrJo03,2017,26,,NYJ,NFL,8,1,1,0,0,1
1322,Josh Harvey-Clemons\HarvJo01,2017,23,7-230,WAS,NFL,10,0,1,0,0,1
1323,Dominique Hatfield\HatfDo00,2017,23,,LAR,NFL,11,0,1,0,0,1
1324,Jerald Hawkins\HawkJe00,2017,24,4-123,PIT,NFL,5,1,1,0,0,1
