,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
101,Taylor Decker\DeckTa00,2016,23,1-16,DET,NFL,16,16,1,0,0,10
102,Mike Evans\EvanMi00,2016,23,1-7,TAM,NFL,16,16,1,1,0,10
103,Melvin Gordon\GordMe00,2016,23,1-15,SDG,NFL,13,11,1,1,0,10
104,Frank Gore\GoreFr00,2016,33,3-65,IND,NFL,16,16,1,0,0,10
105,Tyreek Hill\HillTy00,2016,22,5-165,KAN,NFL,16,1,1,1,1,10
106,Mark Ingram\IngrMa01,2016,27,1-28,NOR,NFL,16,14,1,0,0,10
107,Travis Kelce\KelcTr00,2016,27,3-63,KAN,NFL,16,15,1,1,1,10
108,Ryan Kerrigan\KerrRy00,2016,28,1-16,WAS,NFL,16,16,1,1,0,10
109,Luke Kuechly\KuecLu00,2016,25,1-9,CAR,NFL,10,10,1,1,0,10
110,Jarvis Landry\LandJa00,2016,24,2-63,MIA,NFL,16,16,1,1,0,10
111,Andy Levitre\LeviAn20,2016,30,2-51,ATL,NFL,16,16,1,0,0,10
112,Devin McCourty\McCoDe99,2016,29,1-27,NWE,NFL,16,16,1,1,0,10
113,Jordan Mills\MillJo02,2016,26,5-163,BUF,NFL,16,16,1,0,0,10
114,Morgan Moses\MoseMo00,2016,25,3-66,WAS,NFL,16,16,1,0,0,10
115,Andrus Peat\PeatAn00,2016,23,1-13,NOR,NFL,15,15,1,0,0,10
116,Patrick Peterson\PetePa00,2016,26,1-5,ARI,NFL,16,16,1,1,0,10
117,Mitchell Schwartz\SchwMi00,2016,27,2-37,KAN,NFL,16,16,1,0,0,10
118,Ryan Shazier\ShazRy00,2016,24,1-15,PIT,NFL,13,12,1,1,0,10
119,Richard Sherman\SherRi00,2016,28,5-154,SEA,NFL,16,16,1,1,0,10
120,Nate Solder\SoldNa00,2016,28,1-17,NWE,NFL,15,15,1,0,0,10
121,Ryan Tannehill\TannRy00,2016,28,1-8,MIA,NFL,13,13,1,0,0,10
122,Michael Thomas\ThomMi05,2016,23,2-47,NOR,NFL,15,12,1,0,0,10
123,Spencer Ware\WareSp00,2016,25,6-194,KAN,NFL,14,14,1,0,0,10
124,Eric Weddle\WeddEr99,2016,31,2-37,BAL,NFL,16,16,1,1,0,10
125,Carson Wentz\WentCa00,2016,24,1-2,PHI,NFL,16,16,1,0,0,10
126,Andrew Whitworth\WhitAn20,2016,35,2-55,CIN,NFL,16,16,1,1,0,10
127,Leonard Williams\WillLe02,2016,22,1-6,NYJ,NFL,16,16,1,1,0,10
128,Trent Williams\WillTr21,2016,28,1-4,WAS,NFL,12,12,1,1,0,10
129,Kwon Alexander\AlexKw00,2016,22,4-124,TAM,NFL,16,16,1,0,0,9
130,Cole Beasley\BeasCo00,2016,27,,DAL,NFL,16,6,1,0,0,9
131,Michael Bennett\BennMi99,2016,31,,SEA,NFL,11,11,1,1,0,9
132,Alan Branch\BranAl99,2016,32,2-33,NWE,NFL,16,16,1,0,0,9
133,Ha Ha Clinton-Dix\ClinHa00,2016,24,1-21,GNB,NFL,16,16,1,1,0,9
134,Tevin Coleman\ColeTe01,2016,23,3-73,ATL,NFL,13,0,1,0,0,9
135,Jamie Collins\CollJa00,2016,27,2-52,2TM,NFL,15,14,1,0,0,9
136,Jahri Evans\EvanJa21,2016,33,4-108,NOR,NFL,16,16,1,0,0,9
137,Larry Fitzgerald\FitzLa00,2016,33,1-3,ARI,NFL,16,16,1,1,0,9
138,Joe Flacco\FlacJo00,2016,31,1-18,BAL,NFL,16,16,1,0,0,9
139,Pierre Garcon\GarcPi00,2016,30,6-205,WAS,NFL,16,16,1,0,0,9
140,Joe Haeg\HaegJo00,2016,23,5-155,IND,NFL,15,14,1,0,0,9
141,Jordan Howard\HowaJo00,2016,22,5-150,CHI,NFL,15,13,1,1,0,9
142,Rodney Hudson\HudsRo00,2016,27,2-55,OAK,NFL,16,16,1,1,0,9
143,DeSean Jackson\JackDe00,2016,30,2-49,WAS,NFL,15,15,1,0,0,9
144,Chandler Jones\JoneCh03,2016,26,1-21,ARI,NFL,16,16,1,0,0,9
145,Colin Kaepernick\KaepCo00,2016,29,2-36,SFO,NFL,12,11,1,0,0,9
146,Jason Kelce\KelcJa00,2016,29,6-191,PHI,NFL,16,16,1,1,0,9
147,Ryan Kelly\KellRy00,2016,23,1-18,IND,NFL,16,16,1,0,0,9
148,T.J. Lang\LangT.20,2016,29,4-109,GNB,NFL,13,13,1,1,0,9
149,Eli Manning\MannEl00,2016,35,1-1,NYG,NFL,16,16,1,0,0,9
150,Rishard Matthews\MattRi00,2016,27,7-227,TEN,NFL,16,10,1,0,0,9
151,Reggie Nelson\NelsRe99,2016,33,1-21,OAK,NFL,16,16,1,1,0,9
152,Maurkice Pouncey\PounMa20,2016,27,1-18,PIT,NFL,15,15,1,1,0,9
153,Xavier Rhodes\RhodXa00,2016,26,1-25,MIN,NFL,14,14,1,1,0,9
154,Dominique Rodgers-Cromartie\RodgDo99,2016,30,1-16,NYG,NFL,15,9,1,0,0,9
155,Trevor Siemian\SiemTr00,2016,25,7-250,DEN,NFL,14,14,1,0,0,9
156,Telvin Smith\SmitTe01,2016,25,5-144,JAX,NFL,16,16,1,0,0,9
157,Golden Tate\TateGo00,2016,28,2-60,DET,NFL,16,16,1,0,0,9
158,Lane Taylor\TaylLa01,2016,27,,GNB,NFL,16,16,1,0,0,9
159,Lawrence Timmons\TimmLa99,2016,30,1-15,PIT,NFL,16,16,1,0,0,9
160,Max Unger\UngeMa20,2016,30,2-49,NOR,NFL,15,15,1,0,0,9
161,Alejandro Villanueva\VillAl00,2016,28,,PIT,NFL,16,16,1,0,0,9
162,Kyle Williams\WillKy20,2016,33,5-134,BUF,NFL,15,15,1,1,0,9
163,Tyrell Williams\WillTy00,2016,24,,SDG,NFL,16,12,1,0,0,9
164,Marshal Yanda\YandMa20,2016,32,3-86,BAL,NFL,13,13,1,1,0,9
165,Jeremy Zuttah\ZuttJe20,2016,30,3-83,BAL,NFL,16,16,1,1,0,9
166,Kiko Alonso\AlonKi00,2016,26,2-46,MIA,NFL,15,15,1,0,0,8
167,David Andrews\AndrDa00,2016,24,,NWE,NFL,16,16,1,0,0,8
168,Joe Barksdale\BarkJo00,2016,28,3-92,SDG,NFL,15,15,1,0,0,8
169,Mark Barron\BarrMa00,2016,27,1-7,LAR,NFL,16,16,1,0,0,8
170,LeGarrette Blount\BlouLe00,2016,30,,NWE,NFL,16,8,1,0,0,8
