,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
2001,Karim Barton\BartKa00,2014,23,,CLE,NFL,0,,1,0,0,
2002,Ben Bass\BassBe00,2014,25,,NWE,NFL,0,,1,0,0,
2003,Zach Bauman\BaumZa00,2014,22,,ARI,NFL,0,,1,0,0,
2004,Nick Becton\BectNi00,2014,24,,2TM,NFL,0,,1,0,0,
2005,Deion Belue\BeluDe00,2014,23,,JAX,NFL,0,,1,0,0,
2006,Tim Benford\BenfTi00,2014,25,,DAL,NFL,0,,1,0,0,
2007,Jake Bequette\BequJa00,2014,25,3-90,NWE,NFL,0,,1,0,0,
2008,Tony Bergstrom\BergTo00,2014,28,3-95,OAK,NFL,0,,1,0,0,
2009,McLeod Bethel-Thompson\BethMc00,2014,26,,2TM,NFL,0,,1,0,0,
2010,Kapri Bibbs\BibbKa00,2014,21,,DEN,NFL,0,,1,0,0,
2011,Armon Binns\BinnAr00,2014,25,,KAN,NFL,0,,1,0,0,
2012,Brandan Bishop\BishBr01,2014,23,,ATL,NFL,0,,1,0,0,
2013,Justin Blackmon\BlacJu00,2014,24,1-5,JAX,NFL,0,,1,0,0,
2014,Emory Blake\BlakEm00,2014,23,,STL,NFL,0,,1,0,0,
2015,Matt Blanchard\BlanMa00,2014,25,,CAR,NFL,0,,1,0,0,
2016,Rob Blanchflower\BlanRo01,2014,24,7-230,PIT,NFL,0,,1,0,0,
2017,Conor Boffeli\BoffCo00,2014,23,,CHI,NFL,0,,1,0,0,
2018,Ted Bolser\BolsTe00,2014,24,7-217,2TM,NFL,0,,1,0,0,
2019,Travis Bond\BondTr00,2014,24,7-214,STL,NFL,0,,1,0,0,
2020,Alan Bonner\BonnAl00,2014,24,6-195,HOU,NFL,0,,1,0,0,
2021,Kadron Boone\BoonKa00,2014,23,,STL,NFL,0,,1,0,0,
2022,Cody Booth\BootCo00,2014,24,,JAX,NFL,0,,1,0,0,
2023,Michael Bowie\BowiMi00,2014,23,7-242,CLE,NFL,0,,1,0,0,
2024,NaVorro Bowman\BowmNa99,2014,26,3-91,SFO,NFL,0,,1,0,0,
2025,Chris Boyd\BoydCh00,2014,23,,DAL,NFL,0,,1,0,0,
2026,John Boyett\BoyeJo00,2014,25,6-192,DEN,NFL,0,,1,0,0,
2027,Carl Bradford\BradCa01,2014,22,4-121,GNB,NFL,0,,1,0,0,
2028,Sam Bradford\BradSa00,2014,27,1-1,STL,NFL,0,,1,0,0,
