Rk,Player,WAR/pos,Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
601,Sean Manaea\manaese01,0.0,2017,25,OAK,AL,2,5,3,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,.000,.250,.000,.250,*1
602,Dillon Maples\mapledi01,0.0,2017,25,CHC,NL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
603,Jhan Marinez\marinjh01,0.0,2017,28,TOT,ML,39,6,6,0,1,1,0,0,0,0,0,4,0,0,0,0,0,0,.167,.167,.333,.500,*1
604,German Marquez\marquge01,0.0,2017,22,COL,NL,26,53,45,4,8,2,0,0,5,0,0,18,0,8,0,1,0,0,.178,.178,.222,.400,*1
605,Francis Martes\martefr01,0.0,2017,21,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
606,Leonys Martin\martile01,0.0,2017,29,TOT,ML,49,138,128,14,22,3,1,3,9,8,1,33,2,0,0,2,7,4,.172,.232,.281,.513,89/H71
607,Phil Maton\matonph01,0.0,2017,24,SDP,NL,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
608,Brandon Maurer\maurebr01,0.0,2017,26,TOT,ML,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
609,Bruce Maxwell\maxwebr01,0.0,2017,26,OAK,AL,76,253,219,21,52,12,0,3,22,31,0,63,0,1,2,10,0,0,.237,.329,.333,.663,*2H
610,Mike Mayers\mayermi01,0.0,2017,25,STL,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
611,Tim Mayza\mayzati01,0.0,2017,25,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
612,Zach McAllister\mcallza01,0.0,2017,29,CLE,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
613,Kevin McCarthy\mccarke01,0.0,2017,25,KCR,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
614,T.J. McFarland\mcfartj01,0.0,2017,28,ARI,NL,41,5,5,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,.200,.200,.200,.400,*1
615,Jake McGee\mcgeeja01,0.0,2017,30,COL,NL,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
616,Kevin McGowan\mcgowke01,0.0,2017,25,NYM,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1
617,Kyle McGrath\mcgraky01,0.0,2017,24,SDP,NL,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1
