k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
301,Jeremy Lamb\lambje01,2012-13,20,OKC,NBA,11.2,23,0,147,5.9,16.7,3.7,9.3,2.2,7.3,3.4,3.4,1.2,3.2,4.4,1.2,0.5,0.5,1.5,3.2,17.4,.353,.395,.300,.419,1.000,.479
302,Cole Aldrich\aldrico01,2012-13,24,TOT,NBA,11.1,45,0,388,4.1,7.4,4.1,7.4,0.0,0.0,1.1,1.9,2.8,8.4,11.1,0.8,0.5,2.1,2.1,5.6,9.3,.550,.550,,.550,.600,.563
303,Nando De Colo\decolna01,2012-13,25,SAS,NBA,11.1,72,6,920,4.1,9.4,2.9,6.2,1.2,3.2,1.4,1.7,0.9,4.5,5.4,5.4,1.6,0.2,3.2,3.4,10.8,.436,.465,.378,.500,.795,.530
304,Kevin Jones\joneske01,2012-13,23,CLE,NBA,11.1,32,0,334,4.6,11.5,4.6,11.5,0.0,0.0,1.0,1.6,4.1,4.3,8.4,1.1,1.0,0.5,0.9,2.7,10.2,.402,.402,,.402,.600,.418
305,Rashard Lewis\lewisra02,2012-13,33,MIA,NBA,11.1,55,9,792,4.7,11.3,2.4,5.4,2.3,6.0,1.3,2.0,0.9,4.6,5.5,1.4,1.0,0.6,1.5,3.0,13.0,.414,.441,.389,.516,.622,.530
306,D.J. Augustin\augusdj01,2012-13,25,IND,NBA,11.0,76,5,1226,3.0,8.6,1.1,3.1,2.0,5.6,2.4,2.9,0.6,2.1,2.7,5.0,1.0,0.1,2.0,1.9,10.5,.350,.346,.353,.464,.838,.527
307,Harrison Barnes\barneha02,2012-13,20,GSW,NBA,11.0,81,81,2058,4.8,11.0,3.9,8.4,0.9,2.5,2.5,3.3,0.9,4.9,5.8,1.7,0.9,0.2,1.8,2.4,13.1,.439,.464,.359,.481,.758,.526
308,Francisco Garcia\garcifr01,2012-13,31,TOT,NBA,11.0,58,20,1029,4.1,10.5,1.8,4.2,2.3,6.3,0.6,0.7,0.3,2.9,3.2,2.2,1.6,1.3,1.1,3.1,11.2,.393,.421,.374,.505,.857,.519
309,Johan Petro\petrojo01,2012-13,27,ATL,NBA,11.0,31,8,352,4.9,11.3,4.8,10.8,0.1,0.4,1.1,1.2,3.4,8.1,11.5,1.6,1.0,0.9,2.5,4.9,11.0,.436,.443,.250,.441,.917,.468
310,Quincy Pondexter\pondequ01,2012-13,24,MEM,NBA,11.0,59,1,1243,3.7,8.7,2.0,4.3,1.7,4.4,1.7,2.2,1.2,2.6,3.8,1.8,1.0,0.2,1.2,2.8,10.9,.428,.463,.395,.528,.787,.565
