,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
901,Tavon Wilson\WilsTa00,2012,22,2-48,NWE,NFL,16,4,1,0,0,3
902,Will Witherspoon\WithWi20,2012,32,3-73,TEN,NFL,14,5,1,0,0,3
903,Charles Woodson\WoodCh00,2012,36,1-4,GNB,NFL,7,7,1,0,0,3
904,Jason Worilds\WoriJa99,2012,24,2-52,PIT,NFL,16,3,1,0,0,3
905,Jerel Worthy\WortJe00,2012,22,2-51,GNB,NFL,14,4,1,0,0,3
906,Jarius Wright\WrigJa02,2012,23,4-118,MIN,NFL,7,1,1,0,0,3
907,Sam Young\YounSa21,2012,25,6-179,BUF,NFL,12,4,1,0,0,3
908,Titus Young\YounTi00,2012,23,2-44,DET,NFL,10,8,1,0,0,3
909,Dave Zastudil\ZastDa20,2012,34,4-112,ARI,NFL,16,0,1,0,0,3
910,Greg Zuerlein\ZuerGr00,2012,25,6-171,STL,NFL,16,0,1,0,0,3
911,Isa Abdul-Quddus\AbduIs00,2012,23,,NOR,NFL,15,3,1,0,0,2
912,Phillip Adams\AdamPh00,2012,24,7-224,OAK,NFL,15,2,1,0,0,2
913,Alex Albright\AlbrAl00,2012,24,,DAL,NFL,14,2,1,0,0,2
914,Colt Anderson\AndeCo01,2012,27,,PHI,NFL,14,4,1,0,0,2
915,Mark Anderson\AndeMa21,2012,29,5-159,BUF,NFL,5,4,1,0,0,2
916,Pat Angerer\AngePa99,2012,25,2-63,IND,NFL,11,3,1,0,0,2
917,Devin Aromashodu\AromDe00,2012,28,7-233,MIN,NFL,15,0,1,0,0,2
918,Robert Ayers\AyerRo99,2012,27,1-18,DEN,NFL,15,0,1,0,0,2
919,Jonathan Baldwin\BaldJo00,2012,23,1-26,KAN,NFL,15,7,1,0,0,2
920,Lance Ball\BallLa00,2012,27,,DEN,NFL,15,0,1,0,0,2
921,Christian Ballard\BallCh00,2012,23,4-106,MIN,NFL,16,0,1,0,0,2
922,Ramses Barden\BardRa00,2012,26,3-85,NYG,NFL,12,1,1,0,0,2
923,Antwan Barnes\BarnAn99,2012,28,4-134,SDG,NFL,11,0,1,0,0,2
924,Ron Bartell\BartRo20,2012,30,2-50,2TM,NFL,7,7,1,0,0,2
925,Kelvin Beachum\BeacKe00,2012,23,7-248,PIT,NFL,7,5,1,0,0,2
926,Jon Beason\BeasJo99,2012,27,1-25,CAR,NFL,4,4,1,0,0,2
927,Nick Bellore\BellNi01,2012,23,,NYJ,NFL,16,0,1,0,0,2
928,Rob Bironas\bironrob01,2012,34,,TEN,NFL,16,0,1,0,0,2
929,Ahmad Black\BlacAh00,2012,23,5-151,TAM,NFL,16,1,1,0,0,2
930,Brandon Bolden\BoldBr00,2012,22,,NWE,NFL,10,0,1,0,0,2
931,Matthew Bosher\BoshMa00,2012,25,6-192,ATL,NFL,16,0,1,0,0,2
932,Brandon Boykin\BoykBr00,2012,22,4-123,PHI,NFL,16,4,1,0,0,2
933,Andre Branch\BranAn00,2012,23,2-38,JAX,NFL,13,3,1,0,0,2
934,Deion Branch\BranDe00,2012,33,2-65,NWE,NFL,10,4,1,0,0,2
935,Eben Britton\BritEb20,2012,25,2-39,JAX,NFL,11,5,1,0,0,2
936,James Brown\BrowJa02,2012,24,,CHI,NFL,5,3,1,0,0,2
937,Ryan Broyles\BroyRy00,2012,24,2-54,DET,NFL,10,3,1,0,0,2
938,Nate Burleson\BurlNa00,2012,31,3-71,DET,NFL,6,5,1,0,0,2
939,Victor Butler\ButlVi99,2012,25,4-110,DAL,NFL,16,1,1,0,0,2
940,Josh Bynes\ByneJo00,2012,23,,BAL,NFL,10,3,1,0,0,2
941,Jordan Cameron\CameJo00,2012,24,4-102,CLE,NFL,14,6,1,0,0,2
942,D.J. Campbell\CampD.00,2012,23,7-216,CAR,NFL,5,4,1,0,0,2
943,Tommie Campbell\CampTo00,2012,25,7-251,TEN,NFL,14,0,1,0,0,2
944,Marcus Cannon\CannMa00,2012,24,5-138,NWE,NFL,16,1,1,0,0,2
945,Chris Carter\CartCh00,2012,23,5-162,PIT,NFL,8,3,1,0,0,2
946,Tony Carter\CartTo99,2012,26,,DEN,NFL,15,0,1,0,0,2
947,Jonathan Casillas\CasiJo99,2012,25,,NOR,NFL,14,1,1,0,0,2
948,Matt Cassel\CassMa00,2012,30,7-230,KAN,NFL,9,8,1,0,0,2
949,Jamar Chaney\ChanJa98,2012,26,7-220,PHI,NFL,14,5,1,0,0,2
950,Charles Clay\ClayCh00,2012,23,6-174,MIA,NFL,14,9,1,0,0,2
951,Kenyon Coleman\ColeKe20,2012,33,5-147,DAL,NFL,7,5,1,0,0,2
952,Britton Colquitt\ColqBr00,2012,27,,DEN,NFL,16,0,1,0,0,2
953,Riley Cooper\CoopRi00,2012,25,5-159,PHI,NFL,11,5,1,0,0,2
954,Jim Cordle\CordJi00,2012,25,,NYG,NFL,16,0,1,0,0,2
955,Phil Costa\CostPh00,2012,25,,DAL,NFL,3,3,1,0,0,2
956,Blake Costanzo\CostBl20,2012,28,,CHI,NFL,14,1,1,0,0,2
957,Jerricho Cotchery\CotcJe00,2012,30,4-108,PIT,NFL,14,2,1,0,0,2
958,Kirk Cousins\CousKi00,2012,24,4-102,WAS,NFL,3,1,1,0,0,2
959,Tom Crabtree\CrabTo00,2012,27,,GNB,NFL,14,6,1,0,0,2
960,Jared Crick\CricJa00,2012,23,4-126,HOU,NFL,15,0,1,0,0,2
961,Jeff Cumberland\CumbJe00,2012,25,,NYJ,NFL,15,12,1,0,0,2
962,Mike Daniels\DaniMi00,2012,23,4-132,GNB,NFL,14,0,1,0,0,2
963,Kellen Davis\DaviKe01,2012,27,5-158,CHI,NFL,16,15,1,0,0,2
964,Ed Dickson\DickEd00,2012,25,3-70,BAL,NFL,13,11,1,0,0,2
965,Derrick Dockery\DockDe20,2012,32,3-81,DAL,NFL,15,2,1,0,0,2
966,Shaun Draughn\DrauSh00,2012,25,,KAN,NFL,16,0,1,0,0,2
967,Nick Eason\EasoNi20,2012,32,4-114,ARI,NFL,16,1,1,0,0,2
968,Braylon Edwards\EdwaBr00,2012,29,1-3,2TM,NFL,13,4,1,0,0,2
969,Abram Elam\ElamAb20,2012,31,,KAN,NFL,12,7,1,0,0,2
970,Kenrick Ellis\ElliKe01,2012,25,3-94,NYJ,NFL,12,2,1,0,0,2
971,Fred Evans\EvanFr21,2012,29,7-212,MIN,NFL,16,1,1,0,0,2
972,Heath Farwell\FarwHe20,2012,31,,SEA,NFL,16,0,1,0,0,2
973,Coby Fleener\FleeCo00,2012,24,2-34,IND,NFL,12,10,1,0,0,2
974,Jamell Fleming\FlemJa00,2012,23,3-80,ARI,NFL,15,3,1,0,0,2
975,Drayton Florence\FlorDr20,2012,32,2-46,DET,NFL,8,3,1,0,0,2
976,Moise Fokou\FokoMo99,2012,27,7-230,IND,NFL,16,1,1,0,0,2
977,Nick Folk\FolkNi20,2012,28,6-178,NYJ,NFL,16,0,1,0,0,2
978,L.J. Fort\FortL.00,2012,22,,CLE,NFL,16,1,1,0,0,2
979,Scott Fujita\FujiSc20,2012,33,5-143,CLE,NFL,4,3,1,0,0,2
980,Jared Gaither\GaitJa20,2012,26,5-0,SDG,NFL,5,4,1,0,0,2
981,Omar Gaither\GaitOm20,2012,28,5-168,OAK,NFL,7,4,1,0,0,2
982,Junior Galette\GaleJu00,2012,24,,NOR,NFL,12,1,1,0,0,2
983,Chris Gamble\GambCh20,2012,29,1-28,CAR,NFL,4,4,1,0,0,2
984,Clyde Gates\GateCl00,2012,26,4-111,NYJ,NFL,11,2,1,0,0,2
985,Gary Gibson\GibsGa99,2012,30,,TAM,NFL,16,1,1,0,0,2
986,Marcus Gilbert\GilbMa00,2012,24,2-63,PIT,NFL,5,5,1,0,0,2
987,Marcus Gilchrist\GilcMa00,2012,24,2-50,SDG,NFL,16,4,1,0,0,2
988,Tashaun Gipson\GipsTa00,2012,22,,CLE,NFL,10,3,1,0,0,2
989,DeJon Gomes\GomeDe00,2012,23,5-146,WAS,NFL,15,3,1,0,0,2
990,Robbie Gould\gouldrob01,2012,30,,CHI,NFL,13,0,1,0,0,2
991,Garrett Graham\GrahGa00,2012,26,4-118,HOU,NFL,15,9,1,0,0,2
992,Lawrence Guy\GuyxLa00,2012,22,7-233,IND,NFL,9,2,1,0,0,2
993,Rex Hadnot\HadnRe20,2012,30,6-174,SDG,NFL,16,3,1,0,0,2
994,Derek Hagan\HagaDe00,2012,28,3-82,OAK,NFL,14,2,1,0,0,2
995,Eric Hagg\HaggEr00,2012,23,7-248,CLE,NFL,12,4,1,0,0,2
996,Mario Haggan\HaggMa20,2012,32,7-228,STL,NFL,11,2,1,0,0,2
997,Montario Hardesty\HardMo00,2012,25,2-59,CLE,NFL,13,1,1,0,0,2
998,Ramon Harewood\HareRa00,2012,25,6-194,BAL,NFL,6,5,1,0,0,2
999,Ryan Harris\HarrRy20,2012,27,3-70,HOU,NFL,16,2,1,0,0,2
1000,Johnny Hekker\HekkJo00,2012,22,,STL,NFL,16,0,1,0,0,2
