,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1201,Angelo Blackson\BlacAn00,2015,23,4-100,TEN,NFL,16,0,1,0,0,1
1202,Robert Blanton\BlanRo00,2015,26,5-139,MIN,NFL,16,1,1,0,0,1
1203,Jonathan Bostic\BostJo00,2015,24,2-50,NWE,NFL,11,1,1,0,0,1
1204,Tre Boston\BostTr00,2015,23,4-128,CAR,NFL,16,1,1,0,0,1
1205,Zackary Bowman\BowmZa20,2015,31,5-142,MIA,NFL,10,0,1,0,0,1
1206,Nick Boyle\BoylNi00,2015,22,5-171,BAL,NFL,11,2,1,0,0,1
1207,Ahmad Bradshaw\BradAh00,2015,29,7-250,IND,NFL,6,0,1,0,0,1
1208,Bryan Braman\BramBr00,2015,28,,PHI,NFL,16,0,1,0,0,1
1209,Aaron Brewer\BrewAa00,2015,25,,DEN,NFL,16,0,1,0,0,1
1210,Beau Brinkley\BrinBe00,2015,25,,TEN,NFL,16,0,1,0,0,1
1211,Ron Brooks\BrooRo01,2015,27,4-124,BUF,NFL,12,0,1,0,0,1
1212,Terrence Brooks\BrooTe00,2015,23,3-79,BAL,NFL,12,0,1,0,0,1
1213,Arthur Brown\BrowAr00,2015,22,2-56,BAL,NFL,16,0,1,0,0,1
1214,Bryce Brown\BrowBr02,2015,24,7-229,SEA,NFL,3,0,1,0,0,1
1215,Charles Brown\BrowCh28,2015,28,2-64,DAL,NFL,15,1,1,0,0,1
1216,Jaron Brown\BrowJa03,2015,25,,ARI,NFL,16,0,1,0,0,1
1217,Marlon Brown\BrowMa00,2015,24,,BAL,NFL,10,2,1,0,0,1
1218,Tarell Brown\BrowTa99,2015,30,5-147,NWE,NFL,3,2,1,0,0,1
1219,Trent Brown\BrowTr02,2015,22,7-244,SFO,NFL,6,2,1,0,0,1
1220,C.B. Bryant\BryaC.00,2015,23,7-241,STL,NFL,9,0,1,0,0,1
