,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
401,Byron Jones\JoneBy00,2017,25,1-27,DAL,NFL,16,16,1,0,0,6
402,Johnathan Joseph\JoseJo20,2017,33,1-24,HOU,NFL,16,16,1,0,0,6
403,Lamarcus Joyner\JoynLa00,2017,27,2-41,LAR,NFL,12,12,1,0,0,6
404,Jermaine Kearse\KearJe01,2017,27,,NYJ,NFL,16,14,1,0,0,6
405,Senio Kelemete\KeleSe00,2017,27,5-151,NOR,NFL,16,8,1,0,0,6
406,Dre Kirkpatrick\KirkDr00,2017,28,1-17,CIN,NFL,14,14,1,0,0,6
407,Marqise Lee\LeexMa00,2017,26,2-39,JAX,NFL,14,14,1,0,0,6
408,Sean Lee\LeexSe99,2017,31,2-55,DAL,NFL,11,11,1,0,0,6
409,Charles Leno\LenoCh00,2017,26,7-246,CHI,NFL,16,16,1,0,0,6
410,Corey Liuget\LiugCo00,2017,27,1-18,LAC,NFL,12,12,1,0,0,6
411,Tyler Lockett\LockTy00,2017,25,3-69,SEA,NFL,16,8,1,0,0,6
412,Star Lotulelei\LotuSt00,2017,28,1-14,CAR,NFL,16,16,1,0,0,6
413,Dean Lowry\LowrDe00,2017,23,4-137,GNB,NFL,16,11,1,0,0,6
414,Ali Marpet\MarpAl00,2017,24,2-61,TAM,NFL,11,11,1,0,0,6
415,Nick Martin\MartNi00,2017,24,2-50,HOU,NFL,14,14,1,0,0,6
416,Bobby Massie\MassBo00,2017,28,4-112,CHI,NFL,15,15,1,0,0,6
417,Tyrann Mathieu\MathTy00,2017,25,3-69,ARI,NFL,16,16,1,0,0,6
418,Clay Matthews\MattCl99,2017,31,1-26,GNB,NFL,14,14,1,0,0,6
419,Marcus Maye\MayeMa00,2017,24,2-39,NYJ,NFL,16,16,1,0,0,6
420,Devin McCourty\McCoDe99,2017,30,1-27,NWE,NFL,16,16,1,0,0,6
421,Jason McCourty\McCoJa99,2017,30,6-203,CLE,NFL,14,14,1,0,0,6
422,Antonio Morrison\MorrAn01,2017,23,4-125,IND,NFL,15,15,1,0,0,6
423,Marshall Newhouse\NewhMa20,2017,29,5-169,OAK,NFL,14,14,1,0,0,6
424,Matt Paradis\ParaMa00,2017,28,6-207,DEN,NFL,16,16,1,0,0,6
425,Domata Peko\PekoDo20,2017,33,4-123,DEN,NFL,14,14,1,0,0,6
426,Paul Posluszny\PoluPa99,2017,33,2-34,JAX,NFL,16,11,1,0,0,6
427,Mike Pouncey\PounMi00,2017,28,1-15,MIA,NFL,16,16,1,0,0,6
428,Bilal Powell\PoweBi00,2017,29,4-126,NYJ,NFL,15,10,1,0,0,6
429,Hayes Pullard\PullHa00,2017,25,7-219,LAC,NFL,13,10,1,0,0,6
430,Robert Quinn\QuinRo00,2017,27,1-14,LAR,NFL,15,14,1,0,0,6
431,D.J. Reader\ReadD.00,2017,23,5-166,HOU,NFL,14,14,1,0,0,6
432,Brooks Reed\ReedBr00,2017,30,2-42,ATL,NFL,16,14,1,0,0,6
433,Mike Remmers\RemmMi00,2017,28,,MIN,NFL,11,11,1,0,0,6
434,Vincent Rey\ReyxVi00,2017,30,,CIN,NFL,14,11,1,0,0,6
435,Paul Richardson\RichPa01,2017,25,2-45,SEA,NFL,16,13,1,0,0,6
436,Theo Riddick\RiddTh00,2017,26,6-199,DET,NFL,16,5,1,0,0,6
437,Jake Ryan\RyanJa00,2017,25,4-129,GNB,NFL,15,12,1,0,0,6
438,Derrick Shelby\ShelDe00,2017,28,,ATL,NFL,16,14,1,0,0,6
439,A.Q. Shipley\ShipA.20,2017,31,7-226,ARI,NFL,16,16,1,0,0,6
440,Buster Skrine\SkriBu00,2017,28,5-137,NYJ,NFL,15,15,1,0,0,6
441,Matt Skura\SkurMa01,2017,24,,BAL,NFL,12,12,1,0,0,6
