,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1901,Khiry Robinson\RobiKh00,2016,27,,NYJ,NFL,1,0,1,0,0,0
1902,Tony Romo\RomoTo00,2016,36,,DAL,NFL,1,0,1,0,0,0
1903,Jeremy Ross\RossJe01,2016,28,,2TM,NFL,6,1,1,0,0,0
1904,Rashad Ross\RossRa00,2016,26,,WAS,NFL,5,0,1,0,0,0
1905,Marcus Rush\RushMa00,2016,25,,JAX,NFL,2,0,1,0,0,0
1906,Mark Sanchez\SancMa00,2016,30,1-5,DAL,NFL,2,0,1,0,0,0
1907,Matt Schaub\SchaMa00,2016,35,3-90,ATL,NFL,4,0,1,0,0,0
1908,O'Brien Schofield\SchoOB99,2016,29,4-130,ATL,NFL,2,0,1,0,0,0
1909,Rashawn Scott\ScotRa01,2016,24,,MIA,NFL,2,0,1,0,0,0
1910,Greg Scruggs\ScruGr00,2016,26,7-232,CHI,NFL,3,0,1,0,0,0
1911,Ryan Seymour\SeymRy00,2016,26,7-220,DAL,NFL,1,0,1,0,0,0
1912,Al-Hajj Shabazz\ShabAl00,2016,24,,2TM,NFL,8,0,1,0,0,0
1913,Anthony Sherman\SherAn00,2016,28,5-136,KAN,NFL,16,3,1,0,0,0
1914,Sam Shields\ShieSa00,2016,29,,GNB,NFL,1,1,1,0,0,0
1915,Josh Shirley\ShirJo00,2016,24,,CHI,NFL,1,0,1,0,0,0
1916,Scott Simonson\SimoSc00,2016,24,,CAR,NFL,5,1,1,0,0,0
1917,Deontae Skinner\SkinDe00,2016,26,,NYG,NFL,4,0,1,0,0,0
1918,Shayne Skov\SkovSh00,2016,26,,SFO,NFL,9,0,1,0,0,0
1919,Matthew Slater\SlatMa00,2016,31,5-153,NWE,NFL,13,0,1,1,1,0
1920,DeAndre Smelter\SmelDe00,2016,25,4-132,SFO,NFL,2,0,1,0,0,0
1921,D'Joun Smith\SmitDJ00,2016,24,3-65,TEN,NFL,1,0,1,0,0,0
1922,Devin Smith\SmitDe04,2016,24,2-37,NYJ,NFL,4,0,1,0,0,0
1923,Garrison Smith\SmitGa01,2016,25,,SEA,NFL,3,0,1,0,0,0
1924,Geno Smith\SmitGe00,2016,26,2-39,NYJ,NFL,2,1,1,0,0,0
1925,Jacquies Smith\SmitJa01,2016,26,,TAM,NFL,1,0,1,0,0,0
1926,Keith Smith\SmitKe03,2016,24,,DAL,NFL,16,1,1,0,0,0
1927,Lee Smith\SmitLe00,2016,29,5-159,OAK,NFL,4,4,1,0,0,0
1928,Rod Smith\SmitRo06,2016,24,,DAL,NFL,7,0,1,0,0,0
1929,Tevaun Smith\SmitTe03,2016,23,,IND,NFL,2,0,1,0,0,0
