,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1901,Calvin Pryor\PryoCa00,2017,25,1-18,JAX,NFL,2,0,1,0,0,0
1902,David Quessenberry\QuesDa00,2017,27,6-176,HOU,NFL,2,0,1,0,0,0
1903,Kalif Raymond\RaymKa00,2017,23,,2TM,NFL,8,0,1,0,0,0
1904,Keith Reaser\ReasKe00,2017,26,5-170,2TM,NFL,2,0,1,0,0,0
1905,Kasey Redfern\RedfKa00,2017,26,,DET,NFL,1,0,1,0,0,0
1906,Adam Redmond\RedmAd00,2017,24,,IND,NFL,4,0,1,0,0,0
1907,Alex Redmond\RedmAl01,2017,22,,CIN,NFL,5,0,1,0,0,0
1908,Kalan Reed\ReedKa00,2017,24,7-253,TEN,NFL,3,0,1,0,0,0
1909,Bernard Reedy\ReedBe01,2017,26,,2TM,NFL,11,0,1,0,0,0
1910,Caraun Reid\ReidCa00,2017,26,5-158,DET,NFL,1,0,1,0,0,0
1911,Demetrius Rhaney\RhanDe00,2017,25,7-250,WAS,NFL,1,0,1,0,0,0
1912,Christian Ringo\RingCh00,2017,25,6-210,DET,NFL,6,0,1,0,0,0
1913,Marcus Rios\RiosMa00,2017,23,,DEN,NFL,5,0,1,0,0,0
1914,Aaron Ripkowski\RipkAa00,2017,25,6-206,GNB,NFL,16,2,1,0,0,0
1915,David Rivers\RiveDa00,2017,23,,TAM,NFL,1,0,1,0,0,0
1916,Andre Roberts\RobeAn00,2017,29,3-88,ATL,NFL,16,0,1,0,0,0
1917,Michael Roberts\RobeMi01,2017,23,4-127,DET,NFL,15,3,1,0,0,0
1918,Pete Robertson\RobePe01,2017,25,,WAS,NFL,4,0,1,0,0,0
1919,Allen Robinson\RobiAl02,2017,24,2-61,JAX,NFL,1,1,1,0,0,0
1920,Edmond Robinson\RobiEd00,2017,25,7-232,NYJ,NFL,1,0,1,0,0,0
1921,Isaac Rochell\RochIs00,2017,22,7-225,LAC,NFL,3,0,1,0,0,0
1922,Nick Rose\RoseNi00,2017,23,,2TM,NFL,10,0,1,0,0,0
1923,John Ross\RossJo00,2017,23,1-9,CIN,NFL,3,1,1,0,0,0
1924,Jake Rudock\RudoJa00,2017,24,6-191,DET,NFL,3,0,1,0,0,0
1925,Cooper Rush\RushCo00,2017,24,,DAL,NFL,2,0,1,0,0,0
1926,KeiVarae Russell\RussKe00,2017,24,3-74,CIN,NFL,8,0,1,0,0,0
1927,Darnell Sankey\SankDa00,2017,23,,IND,NFL,6,0,1,0,0,0
1928,Eric Saubert\SaubEr00,2017,23,5-174,ATL,NFL,14,0,1,0,0,0
1929,Rashawn Scott\ScotRa01,2017,25,,MIA,NFL,1,0,1,0,0,0
1930,Tim Scott\ScotTi00,2017,24,,NYG,NFL,1,0,1,0,0,0
1931,Hunter Sharp\SharHu01,2017,23,,2TM,NFL,3,1,1,0,0,0
1932,DeShawn Shead\SheaDe00,2017,28,,SEA,NFL,2,0,1,0,0,0
1933,Brady Sheldon\ShelBr01,2017,24,,OAK,NFL,2,0,1,0,0,0
1934,Garrett Sickels\SickGa00,2017,23,,LAR,NFL,1,0,1,0,0,0
1935,Deontae Skinner\SkinDe00,2017,27,,NYG,NFL,3,0,1,0,0,0
1936,Dan Skipper\SkipDa00,2017,23,,DET,NFL,1,0,1,0,0,0
1937,Matthew Slater\SlatMa00,2017,32,5-153,NWE,NFL,9,0,1,1,0,0
1938,C.J. Smith\SmitC.00,2017,24,,CLE,NFL,3,0,1,0,0,0
1939,De'Veon Smith\SmitDe06,2017,23,,MIA,NFL,5,0,1,0,0,0
1940,Jacquies Smith\SmitJa01,2017,27,,2TM,NFL,3,0,1,0,0,0
1941,Keith Smith\SmitKe03,2017,25,,DAL,NFL,16,3,1,0,0,0
1942,Maurice Smith\SmitMa04,2017,22,,MIA,NFL,6,0,1,0,0,0
1943,Shane Smith\SmitSh02,2017,24,,NYG,NFL,11,4,1,0,0,0
1944,Fish Smithson\SmitFi00,2017,23,,WAS,NFL,2,0,1,0,0,0
1945,Kevin Snyder\SnydKe00,2017,25,,DEN,NFL,2,0,1,0,0,0
1946,Dezmen Southward\SoutDe00,2017,27,3-68,CAR,NFL,1,0,1,0,0,0
1947,C.J. Spiller\SpilC.00,2017,30,1-9,KAN,NFL,1,0,1,0,0,0
1948,Jeremy Sprinkle\SpriJe00,2017,23,5-154,WAS,NFL,11,5,1,0,0,0
1949,Drew Stanton\StanDr00,2017,33,2-43,ARI,NFL,5,4,1,0,0,0
1950,Ed Stinson\StinEd00,2017,27,5-160,NYJ,NFL,4,0,1,0,0,0
1951,Luke Stocker\StocLu00,2017,29,4-104,2TM,NFL,12,5,1,0,0,0
1952,James Stone\StonJa02,2017,25,,OAK,NFL,2,0,1,0,0,0
1953,Jaelen Strong\StroJa01,2017,23,3-70,2TM,NFL,2,0,1,0,0,0
1954,Nathan Stupar\StupNa01,2017,29,7-230,NOR,NFL,4,0,1,0,0,0
1955,Caleb Sturgis\SturCa00,2017,28,5-166,PHI,NFL,1,0,1,0,0,0
1956,Phillip Supernaw\SupePh00,2017,27,,TEN,NFL,16,3,1,0,0,0
1957,Geoff Swaim\SwaiGe00,2017,24,7-246,DAL,NFL,15,2,1,0,0,0
1958,Tyrone Swoopes\SwooTy00,2017,23,,SEA,NFL,1,0,1,0,0,0
1959,Charles Tapper\TappCh00,2017,24,4-101,DAL,NFL,2,0,1,0,0,0
1960,Pita Taumoepenu\TaumPi00,2017,23,6-202,SFO,NFL,2,0,1,0,0,0
1961,Devin Taylor\TaylDe00,2017,28,4-132,NYG,NFL,2,0,1,0,0,0
1962,Randall Telfer\TelfRa00,2017,25,6-198,CLE,NFL,16,14,1,0,0,0
1963,Cam Thomas\ThomCa99,2017,31,5-146,KAN,NFL,1,0,1,0,0,0
1964,Dymonte Thomas\ThomDy01,2017,24,,DEN,NFL,3,0,1,0,0,0
1965,J.T. Thomas\ThomJ.02,2017,29,6-195,NYG,NFL,2,0,1,0,0,0
1966,Lawrence Thomas\ThomLa04,2017,24,,NYJ,NFL,14,4,1,0,0,0
1967,Khyri Thornton\ThorKh00,2017,28,3-85,DET,NFL,4,0,1,0,0,0
1968,Jordan Todman\TodmJo00,2017,27,6-183,HOU,NFL,14,0,1,0,0,0
1969,Scott Tolzien\TolzSc00,2017,30,,IND,NFL,1,1,1,0,0,0
1970,Fitzgerald Toussaint\TousFi00,2017,27,,PIT,NFL,6,0,1,0,0,0
1971,Ross Travis\TravRo00,2017,24,,2TM,NFL,15,3,1,0,0,0
1972,Jordan Tripp\TripJo00,2017,26,5-171,ATL,NFL,3,0,1,0,0,0
1973,Max Tuerk\TuerMa00,2017,23,3-66,ARI,NFL,1,0,1,0,0,0
1974,Josh Tupou\TupoJo00,2017,23,,CIN,NFL,1,0,1,0,0,0
1975,Tani Tupou\TupoTa01,2017,25,,ATL,NFL,1,0,1,0,0,0
1976,Billy Turner\TurnBi00,2017,26,3-67,DEN,NFL,1,0,1,0,0,0
1977,Will Tye\TyexWi00,2017,26,,NYJ,NFL,3,1,1,0,0,0
1978,Hakeem Valles\VallHa00,2017,25,,DET,NFL,1,0,1,0,0,0
1979,Jason Vander Laan\VandJa00,2017,25,,IND,NFL,4,0,1,0,0,0
1980,Joe Vellano\VellJo00,2017,29,,ATL,NFL,4,0,1,0,0,0
1981,Jason Verrett\VerrJa00,2017,26,1-25,LAC,NFL,1,1,1,0,0,0
1982,Danny Vitale\VitaDa00,2017,24,6-197,CLE,NFL,15,6,1,0,0,0
1983,Josh Walker\WalkJo00,2017,26,,JAX,NFL,2,0,1,0,0,0
1984,Aaron Wallace\WallAa00,2017,24,7-222,TEN,NFL,2,0,1,0,0,0
1985,Channing Ward\WardCh00,2017,25,,TAM,NFL,1,0,1,0,0,0
1986,Jylan Ware\WareJy00,2017,24,7-231,OAK,NFL,1,0,1,0,0,0
1987,Dwayne Washington\WashDw00,2017,23,7-236,DET,NFL,5,0,1,0,0,0
1988,Terrell Watson\WatsTe00,2017,24,,PIT,NFL,10,0,1,0,0,0
1989,Derek Watt\WattDe00,2017,25,6-198,LAC,NFL,16,4,1,0,0,0
1990,Sean Weatherspoon\WeatSe99,2017,30,1-19,ATL,NFL,2,0,1,0,0,0
1991,Joe Webb\WebbJo00,2017,31,6-199,BUF,NFL,16,0,1,0,0,0
1992,Eric Weems\WeemEr00,2017,32,,TEN,NFL,16,0,1,0,0,0
1993,Griff Whalen\WhalGr00,2017,27,,BAL,NFL,2,0,1,0,0,0
1994,Markus Wheaton\WheaMa00,2017,26,3-79,CHI,NFL,11,0,1,0,0,0
1995,D.J. White\WhitD.00,2017,24,6-178,IND,NFL,2,0,1,0,0,0
1996,DeAndrew White\WhitDe01,2017,26,,HOU,NFL,2,1,1,0,0,0
1997,Kevin White\WhitKe00,2017,25,1-7,CHI,NFL,1,1,1,0,0,0
1998,Isaac Whitney\WhitIs00,2017,23,,OAK,NFL,2,0,1,0,0,0
1999,Andre Williams\WillAn00,2017,25,4-113,LAC,NFL,8,0,1,0,0,0
2000,Chad Williams\WillCh05,2017,23,3-98,ARI,NFL,6,1,1,0,0,0
