k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,Jeff Adrien\adrieje01,2014-15,28,MIN,NBA,14.2,17,0,215,3.2,7.4,3.2,7.4,0.0,0.0,3.7,6.4,3.9,9.0,12.9,2.5,0.7,1.5,1.5,5.0,10.0,.432,.432,,.432,.579,.494
202,Kosta Koufos\koufoko01,2014-15,25,MEM,NBA,14.2,81,3,1348,4.9,9.6,4.9,9.6,0.0,0.0,1.5,2.3,3.2,8.1,11.4,1.0,0.8,1.7,1.8,4.0,11.2,.508,.508,,.508,.647,.530
203,Nick Young\youngni01,2014-15,29,LAL,NBA,14.2,42,0,1000,6.3,17.1,3.3,9.0,3.0,8.1,4.8,5.3,0.6,2.8,3.5,1.5,0.8,0.4,1.6,3.0,20.3,.366,.363,.369,.453,.892,.520
204,Steven Adams\adamsst01,2014-15,21,OKC,NBA,14.1,70,67,1771,4.4,8.1,4.4,8.1,0.0,0.0,2.1,4.2,4.0,6.6,10.6,1.3,0.8,1.7,2.0,4.5,10.9,.544,.547,.000,.544,.502,.549
205,Michael Carter-Williams\cartemi01,2014-15,23,TOT,NBA,14.1,66,63,2149,6.1,15.4,5.5,12.8,0.6,2.6,3.4,4.9,1.1,4.8,5.9,7.4,1.9,0.5,4.2,2.8,16.2,.396,.428,.235,.416,.694,.461
206,Joe Johnson\johnsjo02,2014-15,33,BRK,NBA,14.1,80,80,2791,5.8,13.2,4.2,8.9,1.6,4.3,1.8,2.3,0.7,4.3,5.0,3.8,0.8,0.2,1.8,1.5,14.9,.435,.472,.359,.494,.801,.523
207,Jodie Meeks\meeksjo01,2014-15,27,DET,NBA,14.1,60,0,1462,5.5,13.1,3.6,7.9,1.8,5.2,3.6,3.9,0.3,2.3,2.6,1.9,1.5,0.1,1.4,1.9,16.3,.416,.460,.349,.485,.906,.548
208,C.J. Miles\milescj01,2014-15,27,IND,NBA,14.1,70,40,1841,6.4,16.2,3.4,7.5,3.0,8.7,2.5,3.1,0.4,3.8,4.2,1.5,1.2,0.5,1.4,2.6,18.4,.398,.459,.345,.491,.807,.525
209,Cody Zeller\zelleco01,2014-15,22,CHO,NBA,14.1,62,45,1487,4.2,9.0,4.1,9.0,0.0,0.0,3.1,4.0,2.3,6.4,8.8,2.4,0.8,1.2,1.5,3.8,11.4,.461,.460,1.000,.462,.774,.530
210,Bradley Beal\bealbr01,2014-15,21,WAS,NBA,14.0,63,59,2107,6.2,14.5,4.4,10.1,1.8,4.4,2.2,2.8,1.0,3.1,4.1,3.3,1.3,0.3,2.1,2.3,16.4,.427,.434,.409,.489,.783,.521
211,T.J. Warren\warretj01,2014-15,21,PHO,NBA,14.0,40,1,614,6.6,12.5,6.3,11.3,0.3,1.2,0.8,1.1,2.4,2.6,5.0,1.5,1.1,0.5,1.6,3.0,14.4,.528,.560,.238,.540,.737,.551
212,D.J. Augustin\augusdj01,2014-15,27,TOT,NBA,13.9,82,14,1964,4.7,11.9,3.2,7.4,1.5,4.5,3.3,3.8,0.4,2.6,3.0,6.5,0.9,0.1,2.7,1.7,14.2,.399,.436,.337,.463,.868,.527
213,Corey Brewer\breweco01,2014-15,28,TOT,NBA,13.9,80,17,2087,5.9,13.9,4.8,9.8,1.1,4.1,2.9,3.9,1.4,3.7,5.1,3.0,2.0,0.3,2.3,3.0,15.8,.426,.491,.268,.465,.743,.507
214,Jae Crowder\crowdja01,2014-15,24,TOT,NBA,13.9,82,17,1647,5.0,11.9,3.7,7.4,1.3,4.5,2.4,3.1,1.6,4.8,6.4,2.1,1.6,0.5,1.1,3.0,13.7,.420,.499,.293,.476,.773,.517
