,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1701,Gavin Escobar\EscoGa00,2016,25,2-47,DAL,NFL,16,1,1,0,0,0
1702,Josh Evans\EvanJo00,2016,25,6-169,WAS,NFL,2,0,1,0,0,0
1703,David Fales\FaleDa00,2016,26,6-183,CHI,NFL,1,0,1,0,0,0
1704,George Farmer\FarmGe02,2016,23,,SEA,NFL,2,0,1,0,0,0
1705,Matt Feiler\FeilMa00,2016,24,,PIT,NFL,1,0,1,0,0,0
1706,James Ferentz\FereJa00,2016,27,,DEN,NFL,7,0,1,0,0,0
1707,Carlos Fields\FielCa00,2016,26,,SDG,NFL,1,0,1,0,0,0
1708,Sharrif Floyd\FloySh00,2016,24,1-23,MIN,NFL,1,0,1,0,0,0
1709,D.J. Foster\FostD.01,2016,23,,NWE,NFL,3,0,1,0,0,0
1710,Jalston Fowler\FowlJa00,2016,26,4-108,TEN,NFL,16,7,1,0,0,0
1711,Isaac Fruechte\FrueIs00,2016,25,,MIN,NFL,1,0,1,0,0,0
1712,Alani Fua\FuaxAl00,2016,24,,ARI,NFL,3,0,1,0,0,0
1713,Blaine Gabbert\GabbBl00,2016,27,1-10,SFO,NFL,6,5,1,0,0,0
1714,Thomas Gafford\GaffTh20,2016,33,,DEN,NFL,6,0,1,0,0,0
1715,Andrew Gardner\GardAn20,2016,30,6-181,SFO,NFL,1,1,1,0,0,0
1716,Manasseh Garner\GarnMa00,2016,24,,BUF,NFL,1,0,1,0,0,0
1717,Shamiel Gary\GarySh00,2016,26,,BUF,NFL,3,0,1,0,0,0
1718,Quentin Gause\GausQu00,2016,24,,DEN,NFL,3,0,1,0,0,0
1719,Jordan Gay\GayxJo00,2016,26,,BUF,NFL,3,0,1,0,0,0
1720,Crockett Gillmore\GillCr00,2016,25,3-99,BAL,NFL,7,5,1,0,0,0
1721,Mike Glennon\GlenMi00,2016,27,3-73,TAM,NFL,2,0,1,0,0,0
1722,Dashon Goldson\GoldDa99,2016,32,4-126,ATL,NFL,4,0,1,0,0,0
1723,Zaviar Gooden\GoodZa00,2016,26,3-97,2TM,NFL,8,0,1,0,0,0
1724,Malliciah Goodman\GoodMa01,2016,26,4-127,2TM,NFL,3,0,1,0,0,0
1725,Dillon Gordon\GordDi01,2016,23,,PHI,NFL,1,0,1,0,0,0
1726,Ben Gottschalk\GottBe00,2016,24,,TAM,NFL,2,1,1,0,0,0
1727,Dwayne Gratz\GratDw00,2016,26,3-64,2TM,NFL,6,0,1,0,0,0
1728,Aaron Green\GreeAa01,2016,24,,LAR,NFL,2,0,1,0,0,0
1729,Rashad Greene\GreeRa00,2016,24,5-139,JAX,NFL,8,0,1,0,0,0
1730,Nicholas Grigsby\GrigNi01,2016,24,,LAR,NFL,6,0,1,0,0,0
1731,Glenn Gronkowski\GronGl01,2016,23,,BUF,NFL,1,0,1,0,0,0
1732,Aaron Grymes\GrymAa00,2016,25,,PHI,NFL,1,0,1,0,0,0
1733,Winston Guy\GuyxWi00,2016,26,6-181,IND,NFL,2,0,1,0,0,0
1734,Obum Gwacham\GwacOb00,2016,25,6-209,NOR,NFL,1,0,1,0,0,0
1735,Antonio Hamilton\HamiAn01,2016,23,,OAK,NFL,4,0,1,0,0,0
1736,Connor Hamlett\HamlCo01,2016,24,,CLE,NFL,3,2,1,0,0,0
1737,Je'Ron Hamm\HammJe01,2016,24,,SFO,NFL,5,0,1,0,0,0
1738,Russell Hansbrough\HansRu00,2016,23,,TAM,NFL,2,0,1,0,0,0
1739,Clay Harbor\HarbCl00,2016,29,4-125,2TM,NFL,15,2,1,0,0,0
1740,Cory Harkey\HarkCo00,2016,26,,LAR,NFL,12,1,1,0,0,0
1741,Dwayne Harris\HarrDw00,2016,29,6-176,NYG,NFL,16,1,1,1,0,0
1742,Erik Harris\HarrEr00,2016,26,,NOR,NFL,4,0,1,0,0,0
1743,Ryan Harris\HarrRy20,2016,31,3-70,PIT,NFL,4,0,1,0,0,0
1744,Taylor Hart\HartTa00,2016,25,5-141,SFO,NFL,1,0,1,0,0,0
1745,Trevon Hartfield\HartTr00,2016,25,,ARI,NFL,2,0,1,0,0,0
1746,Percy Harvin\HarvPe00,2016,28,1-22,BUF,NFL,2,1,1,0,0,0
1747,A.J. Hawk\HawkA.20,2016,32,1-5,ATL,NFL,1,0,1,0,0,0
1748,Donald Hawkins\HawkDo01,2016,24,,CAR,NFL,7,0,1,0,0,0
1749,Temarrick Hemingway\HemiTe00,2016,23,6-177,LAR,NFL,8,0,1,0,0,0
1750,Seantrel Henderson\HendSe00,2016,24,7-237,BUF,NFL,1,0,1,0,0,0
1751,A.J. Hendy\HendA.00,2016,23,,MIA,NFL,1,0,1,0,0,0
