,Year,Age,Draft,Tm,Lg,G,GS,Yrs,PB,AP1,AV
1601,Nick Bellore\BellNi01,2018,29,,DET,NFL,14,4,1,0,0,0
1602,Michael Bennett\BennMi01,2018,25,6-180,ATL,NFL,2,0,1,0,0,0
1603,Nat Berhe\BerhNa00,2018,27,5-152,PIT,NFL,4,0,1,0,0,0
1604,Saeed Blacknall\BlacSa00,2018,22,,OAK,NFL,1,0,1,0,0,0
1605,Ike Boettger\BoetIk00,2018,24,,BUF,NFL,4,0,1,0,0,0
1606,Tommy Bohanon\BohaTo00,2018,28,7-215,JAX,NFL,16,6,1,0,0,0
1607,Victor Bolden\BoldVi00,2018,23,,2TM,NFL,6,0,1,0,0,0
1608,Mike Boone\BoonMi00,2018,23,,MIN,NFL,8,0,1,0,0,0
1609,Breon Borders\BordBr00,2018,23,,JAX,NFL,1,0,1,0,0,0
1610,Chris Boswell\BoswCh00,2018,27,,PIT,NFL,15,0,1,0,0,0
1611,Ben Braden\BradBe00,2018,24,,NYJ,NFL,2,0,1,0,0,0
1612,Caleb Brantley\BranCa00,2018,24,6-185,WAS,NFL,7,0,1,0,0,0
1613,Ben Braunecker\BrauBe00,2018,24,,CHI,NFL,15,2,1,0,0,0
1614,Jacoby Brissett\BrisJa00,2018,26,3-91,IND,NFL,4,0,1,0,0,0
1615,Jay Bromley\BromJa00,2018,26,3-74,NOR,NFL,2,0,1,0,0,0
1616,Daniel Brown\BrowDa04,2018,26,,CHI,NFL,14,0,1,0,0,0
1617,Noah Brown\BrowNo00,2018,22,7-239,DAL,NFL,8,2,1,0,0,0
1618,Juston Burris\BurrJu00,2018,25,4-118,2TM,NFL,8,0,1,0,0,0
1619,Deante Burton\BurtDe00,2018,24,,2TM,NFL,3,0,1,0,0,0
1620,Michael Burton\BurtMi00,2018,26,5-168,CHI,NFL,8,1,1,0,0,0
1621,Brice Butler\ButlBr00,2018,28,7-209,2TM,NFL,8,1,1,0,0,0
1622,Damiere Byrd\ByrdDa00,2018,25,,CAR,NFL,8,0,1,0,0,0
1623,Travaris Cadet\CadeTr00,2018,29,,CAR,NFL,1,0,1,0,0,0
1624,Shilique Calhoun\CalhSh00,2018,26,3-75,OAK,NFL,7,0,1,0,0,0
1625,Ibraheim Campbell\CampIb00,2018,26,4-115,3TM,NFL,8,1,1,0,0,0
1626,Maurice Canady\CanaMa00,2018,24,6-209,BAL,NFL,7,0,1,0,0,0
1627,Alex Cappa\CappAl00,2018,23,3-94,TAM,NFL,6,0,1,0,0,0
1628,Don Carey\CareDo00,2018,31,6-177,DET,NFL,1,0,1,0,0,0
1629,Tank Carradine\CarrCo00,2018,28,2-40,OAK,NFL,1,0,1,0,0,0
1630,Derek Carrier\CarrDe00,2018,28,,OAK,NFL,16,2,1,0,0,0
1631,Tra Carson\CarsTr01,2018,26,,2TM,NFL,6,0,1,0,0,0
1632,Alex Carter\CartAl01,2018,24,3-80,WAS,NFL,1,0,1,0,0,0
1633,Matt Cassel\CassMa00,2018,36,7-230,DET,NFL,2,0,1,0,0,0
1634,Jamaal Charles\CharJa00,2018,32,3-73,JAX,NFL,2,0,1,0,0,0
1635,Orson Charles\CharOr00,2018,27,4-116,CLE,NFL,13,2,1,0,0,0
1636,Jehu Chesson\ChesJe00,2018,25,4-139,WAS,NFL,12,0,1,0,0,0
1637,Geron Christian\ChriGe01,2018,22,3-74,WAS,NFL,2,0,1,0,0,0
1638,Jack Cichy\CichJa00,2018,22,6-202,TAM,NFL,6,0,1,0,0,0
1639,Jeremy Clark\ClarJe04,2018,24,6-197,NYJ,NFL,1,0,1,0,0,0
1640,Will Clarke\ClarWi00,2018,27,3-88,TAM,NFL,3,0,1,0,0,0
1641,Blaine Clausell\ClauBl01,2018,26,,ARI,NFL,2,0,1,0,0,0
