k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
158,Shabazz Muhammad\muhamsh01,2015-16,23,MIN,NBA,15.2,82,0,1682,6.8,14.6,5.8,11.3,0.9,3.3,4.0,5.2,2.1,3.6,5.7,1.1,0.5,0.1,1.5,2.0,18.5,.465,.516,.289,.498,.764,.548
159,Kosta Koufos\koufoko01,2015-16,26,SAC,NBA,15.1,78,14,1482,5.7,10.8,5.7,10.8,0.0,0.0,1.4,2.5,4.1,6.2,10.3,0.8,1.0,1.7,1.2,4.5,12.9,.532,.532,,.532,.548,.540
160,Luol Deng\denglu01,2015-16,30,MIA,NBA,15.0,74,73,2394,5.1,11.2,3.8,7.4,1.3,3.8,2.2,2.9,1.6,5.0,6.7,2.1,1.1,0.4,1.2,1.8,13.7,.455,.513,.344,.514,.755,.549
161,Bismack Biyombo\biyombi01,2015-16,23,TOR,NBA,14.9,82,22,1808,3.1,5.7,3.1,5.7,0.0,0.0,2.8,4.5,3.6,9.4,13.0,0.6,0.4,2.6,1.4,4.5,9.0,.542,.544,.000,.542,.628,.586
162,Kobe Bryant\bryanko01,2015-16,37,LAL,NBA,14.9,66,66,1863,7.7,21.5,5.1,12.5,2.6,9.0,4.5,5.4,0.8,4.0,4.8,3.6,1.2,0.3,2.5,2.2,22.4,.358,.410,.285,.417,.826,.469
163,Troy Daniels\danietr01,2015-16,24,CHO,NBA,14.9,43,0,476,6.7,14.1,2.3,4.9,4.5,9.2,0.4,0.7,0.5,3.8,4.3,1.6,0.8,0.2,1.8,3.0,18.3,.476,.462,.484,.634,.556,.634
164,Ish Smith\smithis01,2015-16,27,TOT,NBA,14.9,77,53,2239,6.4,15.5,5.5,12.8,0.9,2.7,2.0,2.8,0.7,4.2,4.9,8.1,1.4,0.4,2.8,2.1,15.6,.411,.428,.329,.440,.693,.465
165,Andrew Nicholson\nichoan01,2015-16,26,ORL,NBA,14.8,56,0,823,6.4,13.6,4.6,8.6,1.8,5.0,2.2,2.8,1.5,7.3,8.8,1.1,0.4,1.0,1.8,3.0,16.8,.471,.536,.360,.537,.785,.567
166,Jabari Parker\parkeja01,2015-16,20,MIL,NBA,14.8,76,72,2408,6.6,13.4,6.5,12.9,0.1,0.5,2.6,3.4,1.8,4.1,5.9,1.9,1.0,0.4,1.7,2.3,16.0,.493,.502,.257,.498,.768,.535
167,Alex Stepheson\stephal01,2015-16,28,TOT,NBA,14.8,8,0,73,4.4,13.3,4.4,13.3,0.0,0.0,2.0,5.9,9.4,4.4,13.8,1.0,0.5,2.5,0.0,5.9,10.8,.333,.333,,.333,.333,.341
168,Quincy Acy\acyqu01,2015-16,25,SAC,NBA,14.7,59,29,876,4.9,8.8,4.1,6.8,0.8,2.0,2.1,2.8,2.7,5.1,7.7,1.1,1.2,1.0,1.1,4.2,12.6,.556,.606,.388,.600,.735,.629
169,Tyson Chandler\chandty01,2015-16,33,PHO,NBA,14.7,66,60,1618,4.1,7.0,4.1,7.0,0.0,0.0,2.4,3.8,3.9,8.9,12.8,1.4,0.8,1.0,2.1,3.2,10.5,.583,.585,.000,.583,.620,.606
170,Toney Douglas\douglto01,2015-16,29,NOP,NBA,14.7,61,18,1262,5.2,12.7,2.9,6.9,2.3,5.8,2.4,2.8,0.7,3.4,4.1,4.5,2.0,0.1,1.8,3.7,15.1,.411,.421,.399,.502,.848,.543
171,Brandon Knight\knighbr03,2015-16,24,PHO,NBA,14.7,52,50,1870,7.1,17.2,4.8,10.5,2.3,6.8,3.0,3.5,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,.415,.461,.342,.482,.852,.522
172,Marcus Thornton\thornma01,2015-16,28,TOT,NBA,14.7,61,8,1109,7.0,17.6,4.1,8.8,3.0,8.8,2.2,2.6,1.2,3.6,4.9,2.8,1.5,0.1,1.7,2.9,19.2,.399,.460,.337,.482,.848,.511
173,Evan Fournier\fournev01,2015-16,23,ORL,NBA,14.6,79,71,2566,6.0,13.0,3.8,7.6,2.2,5.5,2.8,3.3,0.5,2.7,3.2,3.0,1.3,0.0,1.9,3.0,17.0,.462,.506,.400,.546,.836,.587
174,JaMychal Green\greenja01,2015-16,25,MEM,NBA,14.6,78,15,1446,5.7,12.3,5.4,11.2,0.4,1.1,2.6,3.4,3.5,5.8,9.3,1.7,1.1,0.8,2.1,4.7,14.4,.465,.478,.333,.480,.752,.520
175,Montrezl Harrell\harremo01,2015-16,22,HOU,NBA,14.6,39,1,379,5.5,8.5,5.5,8.5,0.0,0.1,2.3,4.4,2.4,3.8,6.2,1.6,1.0,1.0,1.6,4.6,13.3,.644,.652,.000,.644,.522,.635
176,Patty Mills\millspa02,2015-16,27,SAS,NBA,14.6,81,3,1662,5.6,13.3,3.0,6.3,2.7,6.9,1.0,1.3,0.6,2.8,3.4,4.9,1.3,0.1,1.6,2.2,14.9,.425,.469,.384,.525,.810,.541
177,Timofey Mozgov\mozgoti01,2015-16,29,CLE,NBA,14.6,76,48,1326,5.5,9.7,5.5,9.6,0.0,0.2,1.8,2.6,3.0,6.2,9.1,0.9,0.6,1.5,1.9,4.3,12.9,.565,.574,.143,.567,.716,.593
178,Jason Smith\smithja02,2015-16,29,ORL,NBA,14.6,76,2,1181,7.4,15.3,7.3,14.8,0.1,0.5,1.6,2.0,1.6,5.1,6.7,1.9,1.0,2.0,1.7,5.0,16.6,.485,.493,.250,.489,.806,.513
179,Deron Williams\willide01,2015-16,31,DAL,NBA,14.6,65,63,2106,5.5,13.2,3.8,8.4,1.7,4.8,3.1,3.5,0.3,2.9,3.2,6.5,1.0,0.2,2.6,2.6,15.7,.414,.454,.344,.477,.869,.530
180,Jarrett Jack\jackja01,2015-16,32,BRK,NBA,14.5,32,32,1027,4.9,12.5,3.8,9.0,1.1,3.6,3.5,3.9,0.3,4.5,4.8,8.3,1.2,0.2,3.3,2.7,14.4,.391,.426,.304,.434,.893,.505
181,T.J. McConnell\mccontj01,2015-16,23,PHI,NBA,14.5,81,17,1606,4.9,10.4,4.2,8.4,0.7,2.0,0.6,0.9,1.0,4.6,5.6,8.2,2.1,0.2,3.1,2.6,11.1,.470,.499,.348,.503,.634,.511
182,Otto Porter\porteot01,2015-16,22,WAS,NBA,14.5,75,73,2276,5.4,11.3,3.8,7.1,1.6,4.2,1.5,2.0,1.5,4.7,6.2,1.9,1.7,0.5,1.1,2.6,13.8,.473,.536,.367,.541,.754,.564
183,Thomas Robinson\robinth01,2015-16,24,BRK,NBA,14.5,71,7,917,5.1,11.4,5.1,11.4,0.0,0.0,1.8,4.3,5.3,8.8,14.1,1.8,1.5,1.4,2.7,4.4,12.1,.447,.448,.000,.447,.431,.453
184,Trevor Booker\booketr01,2015-16,28,UTA,NBA,14.4,79,2,1632,4.2,8.6,3.9,7.7,0.3,0.9,1.6,2.3,3.7,6.3,10.0,1.9,1.3,0.9,1.8,3.7,10.2,.490,.513,.293,.505,.670,.533
185,Steve Novak\novakst01,2015-16,32,TOT,NBA,14.4,10,0,44,6.5,14.7,0.8,2.5,5.7,12.3,0.8,0.8,0.0,4.1,4.1,0.0,0.0,0.0,0.8,2.5,19.6,.444,.333,.467,.639,1.000,.651
186,Edy Tavares\tavarwa01,2015-16,23,ATL,NBA,14.4,11,0,73,5.4,9.4,5.4,9.4,0.0,0.0,1.5,3.9,3.5,6.9,10.4,1.5,0.5,3.0,2.5,3.9,12.3,.579,.579,,.579,.375,.555
187,Alec Burks\burksal01,2015-16,24,UTA,NBA,14.3,31,3,797,6.2,15.1,4.7,11.5,1.4,3.6,4.8,6.4,0.7,4.2,4.9,2.8,0.8,0.2,2.3,3.2,18.6,.410,.412,.405,.458,.752,.520
188,Jordan Clarkson\clarkjo01,2015-16,23,LAL,NBA,14.3,79,79,2552,6.7,15.5,5.1,11.0,1.6,4.5,2.3,2.9,1.3,3.1,4.4,2.7,1.2,0.1,1.9,2.4,17.3,.433,.468,.347,.483,.804,.516
189,Zach LaVine\lavinza01,2015-16,20,MIN,NBA,14.3,82,33,2294,6.8,15.0,4.9,10.1,1.9,5.0,2.5,3.2,0.4,3.2,3.6,3.9,1.1,0.3,2.4,3.0,18.0,.452,.482,.389,.516,.793,.548
190,Rondae Hollis-Jefferson\holliro01,2015-16,21,BRK,NBA,14.2,29,17,615,3.7,8.1,3.5,7.3,0.2,0.8,2.2,3.0,2.3,6.7,9.0,2.5,2.3,0.9,1.5,3.6,9.8,.457,.476,.286,.471,.712,.519
191,Ersan Ilyasova\ilyaser01,2015-16,28,TOT,NBA,14.2,74,56,1881,5.4,12.7,3.5,7.7,1.8,5.0,2.1,2.9,2.8,5.0,7.7,1.3,1.0,0.6,1.4,3.3,14.7,.424,.458,.371,.496,.721,.526
192,Jordan McRae\mcraejo01,2015-16,24,TOT,NBA,14.2,22,1,195,6.3,14.4,4.4,10.3,1.8,4.1,3.9,5.2,0.7,3.0,3.7,4.6,0.6,0.2,2.8,3.1,18.3,.436,.429,.455,.500,.750,.548
193,Jason Thompson\thompja02,2015-16,29,TOT,NBA,14.2,47,7,471,4.0,8.3,3.6,7.1,0.4,1.1,2.9,4.1,2.4,7.8,10.2,2.2,0.9,1.5,1.1,6.1,11.2,.481,.505,.333,.505,.704,.558
194,Joel Anthony\anthojo01,2015-16,33,DET,NBA,14.1,19,0,96,2.3,3.7,2.3,3.7,0.0,0.0,2.3,3.0,3.0,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8,.600,.600,,.600,.750,.666
195,Matt Bonner\bonnema01,2015-16,35,SAS,NBA,14.1,30,2,206,5.1,10.0,2.4,4.0,2.6,5.9,0.5,0.7,0.5,4.2,4.7,1.6,1.0,0.2,0.5,2.8,13.3,.509,.609,.441,.640,.750,.647
196,Rodney Hood\hoodro01,2015-16,23,UTA,NBA,14.1,79,79,2541,5.8,13.8,3.5,7.4,2.3,6.4,2.4,2.8,0.5,3.2,3.8,3.0,1.0,0.2,1.8,2.9,16.3,.420,.472,.359,.503,.860,.542
197,Joakim Noah\noahjo01,2015-16,30,CHI,NBA,14.1,29,2,635,2.9,7.5,2.9,7.5,0.0,0.1,1.2,2.6,4.9,9.5,14.5,6.2,1.0,1.6,2.9,4.4,7.0,.383,.386,.000,.383,.489,.406
198,Trey Burke\burketr01,2015-16,23,UTA,NBA,14.0,64,0,1366,6.9,16.7,4.6,10.0,2.3,6.7,1.8,2.2,0.5,2.5,3.0,3.9,0.9,0.2,2.1,2.3,17.9,.413,.460,.344,.483,.817,.507
199,Jamal Crawford\crawfja01,2015-16,35,LAC,NBA,14.0,79,5,2126,6.4,15.9,4.4,10.1,2.0,5.8,4.1,4.6,0.3,2.1,2.5,3.1,0.9,0.2,1.9,2.1,19.0,.404,.440,.340,.466,.904,.529
200,Boris Diaw\diawbo01,2015-16,33,SAS,NBA,14.0,76,4,1386,5.2,9.9,4.6,8.2,0.6,1.8,1.5,2.0,1.5,4.5,6.1,4.6,0.7,0.5,2.5,2.6,12.6,.527,.564,.362,.560,.737,.582
