k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,Markieff Morris\morrima02,2016-17,27,WAS,NBA,13.7,76,76,2374,6.2,13.5,5.1,10.5,1.1,3.0,2.7,3.3,1.6,5.9,7.5,1.9,1.2,0.6,2.0,3.9,16.1,.457,.483,.362,.497,.837,.540
202,Marvin Williams\willima02,2016-17,30,CHO,NBA,13.7,76,76,2295,4.7,11.0,2.7,5.5,1.9,5.6,2.1,2.4,1.4,6.4,7.8,1.7,0.9,0.8,0.9,2.1,13.3,.422,.494,.350,.510,.873,.551
203,Justin Hamilton\hamilju01,2016-17,26,BRK,NBA,13.6,64,7,1177,5.3,11.6,3.6,6.1,1.7,5.5,1.2,1.6,2.2,5.8,8.0,1.7,0.9,1.3,1.3,2.8,13.5,.459,.598,.306,.532,.750,.550
204,Kris Humphries\humphkr01,2016-17,31,ATL,NBA,13.6,56,4,689,4.5,11.2,3.6,8.4,1.0,2.8,3.3,4.3,3.1,7.6,10.8,1.5,0.8,1.1,1.5,3.6,13.4,.407,.425,.352,.451,.780,.514
205,Kevon Looney\looneke01,2016-17,20,GSW,NBA,13.6,53,4,447,4.5,8.6,4.3,7.9,0.2,0.7,1.7,2.7,3.5,6.4,10.0,2.3,1.2,1.4,1.4,5.2,10.9,.523,.551,.222,.533,.618,.553
206,Shabazz Napier\napiesh01,2016-17,25,POR,NBA,13.6,53,2,512,5.1,12.9,2.7,6.4,2.4,6.5,2.7,3.4,0.6,3.7,4.3,4.7,2.3,0.1,2.9,2.7,15.3,.399,.429,.370,.492,.776,.533
207,Victor Oladipo\oladivi01,2016-17,24,OKC,NBA,13.6,67,67,2222,6.7,15.1,4.6,9.4,2.1,5.7,1.9,2.5,0.6,4.1,4.7,2.9,1.3,0.3,1.9,2.5,17.3,.442,.491,.361,.510,.753,.534
208,Chasson Randle\randlch01,2016-17,23,TOT,NBA,13.6,26,0,299,4.8,11.8,2.9,6.1,1.9,5.7,4.9,5.2,0.7,3.1,3.9,4.1,1.1,0.2,2.3,4.7,16.5,.408,.471,.340,.490,.953,.586
209,Rajon Rondo\rondora01,2016-17,30,CHI,NBA,13.6,69,42,1843,4.5,11.0,3.5,8.4,1.0,2.6,0.6,1.0,1.4,5.5,6.9,9.0,1.9,0.2,3.3,2.8,10.5,.408,.418,.376,.453,.600,.461
210,Jason Smith\smithja02,2016-17,30,WAS,NBA,13.6,74,3,1068,5.9,11.1,4.6,8.5,1.2,2.6,1.2,1.7,2.2,6.5,8.7,1.2,0.7,1.8,2.0,5.7,14.2,.529,.546,.474,.585,.686,.598
211,Ryan Anderson\anderry01,2016-17,28,HOU,NBA,13.5,72,72,2116,5.5,13.2,2.0,4.5,3.5,8.6,2.2,2.6,1.9,3.7,5.6,1.2,0.5,0.2,0.9,2.4,16.7,.418,.446,.403,.550,.860,.583
212,Bojan Bogdanovic\bogdabo02,2016-17,27,TOT,NBA,13.5,81,54,2083,6.5,14.6,4.0,7.8,2.5,6.8,3.8,4.2,0.6,4.1,4.8,1.9,0.6,0.1,2.3,2.5,19.2,.445,.512,.367,.530,.893,.585
213,JaMychal Green\greenja01,2016-17,26,MEM,NBA,13.5,77,75,2101,4.3,8.6,3.3,6.1,0.9,2.5,2.3,2.9,2.9,6.5,9.3,1.4,0.8,0.6,1.6,4.2,11.8,.500,.549,.379,.555,.802,.601
214,Roy Hibbert\hibbero01,2016-17,30,TOT,NBA,13.5,48,13,682,4.2,7.8,4.2,7.8,0.0,0.0,3.2,4.0,2.9,5.2,8.0,1.1,0.4,2.4,1.7,5.3,11.7,.544,.544,,.544,.813,.614
215,Juan Hernangomez\hernaju01,2016-17,21,DEN,NBA,13.4,62,9,842,4.3,9.6,2.4,4.7,2.0,4.8,2.4,3.2,1.8,6.2,8.0,1.2,1.3,0.5,1.3,2.7,13.0,.451,.495,.407,.554,.750,.592
216,Terrence Ross\rosste01,2016-17,25,TOT,NBA,13.4,78,24,1955,6.0,13.7,3.4,6.5,2.6,7.2,1.2,1.4,0.3,3.5,3.8,1.6,1.6,0.6,1.3,2.6,15.8,.437,.518,.363,.532,.831,.550
217,Tony Allen\allento01,2016-17,35,MEM,NBA,13.3,71,66,1914,5.2,11.2,4.9,10.2,0.3,1.0,1.5,2.4,3.1,4.2,7.4,1.8,2.2,0.5,1.9,3.3,12.1,.461,.479,.278,.473,.615,.493
218,Marco Belinelli\belinma01,2016-17,30,CHO,NBA,13.3,74,0,1778,5.3,12.5,3.3,6.7,2.1,5.7,3.0,3.4,0.3,3.3,3.6,3.0,0.9,0.2,1.4,1.8,15.8,.429,.488,.360,.512,.893,.566
219,Jordan Clarkson\clarkjo01,2016-17,24,LAL,NBA,13.2,82,19,2397,7.2,16.1,5.4,10.7,1.8,5.3,2.0,2.5,0.7,3.0,3.7,3.2,1.3,0.1,2.5,2.3,18.1,.445,.503,.329,.500,.798,.526
220,Robert Covington\covinro01,2016-17,26,PHI,NBA,13.2,67,67,2119,5.0,12.4,2.6,5.4,2.3,7.0,2.4,3.0,1.6,5.8,7.4,1.7,2.2,1.2,2.2,3.4,14.7,.399,.484,.333,.492,.822,.534
221,Eric Gordon\gordoer01,2016-17,28,HOU,NBA,13.2,75,15,2323,6.4,15.7,2.6,5.5,3.8,10.2,2.3,2.7,0.4,2.7,3.1,2.9,0.7,0.6,1.9,2.3,18.9,.406,.468,.372,.527,.840,.557
222,Jerian Grant\grantje02,2016-17,24,CHI,NBA,13.2,63,28,1028,4.5,10.5,2.8,5.8,1.7,4.7,2.3,2.6,0.6,3.3,3.9,4.2,1.6,0.3,1.5,3.3,13.0,.425,.473,.366,.507,.890,.555
223,Cory Joseph\josepco01,2016-17,25,TOR,NBA,13.2,80,22,2003,5.4,11.9,4.5,9.5,0.9,2.4,1.7,2.2,0.9,3.3,4.2,4.8,1.2,0.2,1.9,2.5,13.3,.452,.477,.356,.489,.770,.518
224,Alex Poythress\poythal01,2016-17,23,PHI,NBA,13.2,6,1,157,5.7,12.4,4.4,8.0,1.4,4.4,1.8,2.3,2.5,4.1,6.6,1.1,0.7,0.5,0.7,3.2,14.7,.463,.543,.316,.519,.800,.548
225,Aron Baynes\baynear01,2016-17,30,DET,NBA,13.1,75,2,1163,4.4,8.6,4.4,8.6,0.0,0.0,2.4,2.9,3.4,6.9,10.3,1.0,0.5,1.2,1.5,5.1,11.3,.513,.513,,.513,.840,.570
226,Ian Clark\clarkia01,2016-17,25,GSW,NBA,13.1,77,0,1137,6.7,13.7,4.7,8.5,1.9,5.2,1.4,1.8,0.7,3.1,3.8,2.8,1.2,0.3,1.7,2.4,16.7,.487,.556,.374,.558,.759,.575
227,Sam Dekker\dekkesa01,2016-17,22,HOU,NBA,13.1,77,2,1419,5.2,10.9,3.6,6.1,1.5,4.7,1.0,1.7,2.4,4.8,7.2,1.9,1.0,0.5,1.0,2.1,12.8,.473,.591,.321,.543,.559,.549
228,Yogi Ferrell\ferreyo01,2016-17,23,TOT,NBA,13.1,46,29,1197,4.8,11.8,2.8,6.6,2.0,5.3,2.2,2.7,0.6,2.7,3.3,5.2,1.3,0.3,2.1,2.7,13.9,.406,.422,.386,.492,.831,.533
229,Maurice Harkless\harklma01,2016-17,23,POR,NBA,13.1,77,69,2223,5.1,10.1,4.0,7.0,1.1,3.1,1.2,2.0,2.0,3.5,5.5,1.4,1.4,1.1,1.4,3.5,12.5,.503,.572,.351,.558,.621,.570
230,Sean Kilpatrick\kilpase01,2016-17,27,BRK,NBA,13.1,70,24,1754,6.3,15.1,4.1,8.8,2.2,6.3,4.2,5.0,0.5,5.3,5.7,3.2,0.9,0.1,2.8,2.4,18.9,.415,.468,.341,.486,.843,.546
231,James Michael McAdoo\mcadoja01,2016-17,24,GSW,NBA,13.1,52,2,457,4.9,9.2,4.7,8.6,0.2,0.6,1.7,3.3,2.7,4.5,7.2,1.4,1.4,2.3,1.5,3.7,11.6,.530,.550,.250,.538,.500,.543
232,Jodie Meeks\meeksjo01,2016-17,29,ORL,NBA,13.1,36,10,738,5.0,12.5,2.3,5.8,2.7,6.7,3.2,3.6,0.2,3.5,3.8,2.2,1.7,0.2,1.8,2.0,16.0,.402,.395,.409,.512,.878,.567
