k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
101,Andrea Bargnani\bargnan01,2014-15,29,NYK,NBA,16.6,29,22,785,7.5,16.6,6.8,14.7,0.7,1.9,4.0,4.9,1.5,4.4,5.8,2.1,0.1,1.2,1.9,2.4,19.7,.454,.466,.366,.475,.813,.527
102,Jamal Crawford\crawfja01,2014-15,34,LAC,NBA,16.6,64,4,1703,7.0,17.7,4.5,10.0,2.5,7.7,4.8,5.3,0.4,2.2,2.6,3.3,1.2,0.3,1.9,2.3,21.4,.396,.448,.327,.467,.901,.532
103,Serge Ibaka\ibakase01,2014-15,25,OKC,NBA,16.6,64,64,2116,6.4,13.4,5.1,9.9,1.3,3.5,1.6,1.9,2.3,6.2,8.5,0.9,0.5,2.6,1.7,3.3,15.6,.476,.511,.376,.525,.836,.549
104,Mitch McGary\mcgarmi01,2014-15,22,OKC,NBA,16.6,32,2,485,6.5,12.2,6.5,12.1,0.0,0.1,1.9,3.0,3.9,8.3,12.2,1.0,1.2,1.2,2.3,5.3,14.9,.533,.540,.000,.533,.625,.550
105,Timofey Mozgov\mozgoti01,2014-15,28,TOT,NBA,16.6,81,80,2045,5.5,10.0,5.5,9.9,0.0,0.1,2.7,3.8,3.6,6.8,10.4,1.0,0.6,1.7,2.0,4.0,13.8,.555,.557,.333,.557,.718,.594
106,Nikola Pekovic\pekovni01,2014-15,29,MIN,NBA,16.6,31,29,815,6.1,14.5,6.1,14.5,0.0,0.0,4.8,5.7,3.9,6.4,10.3,1.2,0.8,0.5,1.9,2.6,17.1,.424,.424,,.424,.837,.502
107,Monta Ellis\ellismo01,2014-15,29,DAL,NBA,16.5,80,80,2699,8.0,18.1,6.9,14.3,1.1,3.8,3.0,4.0,0.5,2.1,2.5,4.4,2.0,0.3,2.6,2.6,20.2,.445,.487,.285,.475,.752,.509
108,Danny Green\greenda02,2014-15,27,SAS,NBA,16.5,81,80,2312,5.0,11.5,2.0,4.4,3.0,7.1,1.7,2.0,0.8,4.5,5.3,2.5,1.6,1.4,1.4,2.5,14.7,.436,.466,.418,.566,.874,.596
109,Carlos Boozer\boozeca01,2014-15,33,LAL,NBA,16.4,71,26,1692,7.9,15.8,7.9,15.8,0.0,0.0,2.0,3.2,2.4,7.9,10.3,2.0,0.9,0.3,2.0,3.9,17.8,.499,.499,,.499,.627,.517
110,Draymond Green\greendr01,2014-15,24,GSW,NBA,16.4,79,79,2490,4.9,11.1,3.3,6.3,1.6,4.8,1.9,2.9,1.6,7.7,9.4,4.2,1.8,1.4,1.9,3.7,13.3,.443,.523,.337,.516,.660,.540
111,Brandon Bass\bassbr01,2014-15,29,BOS,NBA,16.3,82,43,1929,6.4,12.7,6.3,12.1,0.2,0.6,3.2,4.0,2.6,4.8,7.4,1.9,0.8,0.6,1.5,2.6,16.2,.504,.515,.281,.510,.790,.557
112,Chandler Parsons\parsoch01,2014-15,26,DAL,NBA,16.3,66,66,2186,6.3,13.7,4.1,7.9,2.2,5.7,2.3,3.2,1.1,4.3,5.3,2.7,1.1,0.3,1.6,2.3,17.1,.462,.521,.380,.542,.720,.567
113,Festus Ezeli\ezelife01,2014-15,25,GSW,NBA,16.2,46,7,504,5.4,9.9,5.4,9.9,0.0,0.0,3.5,5.6,4.3,6.8,11.1,0.6,0.5,3.0,2.3,5.5,14.4,.547,.547,,.547,.628,.580
114,Manu Ginobili\ginobma01,2014-15,37,SAS,NBA,16.2,70,0,1587,5.7,13.4,3.7,7.5,2.0,5.9,3.3,4.6,0.6,4.2,4.8,6.6,1.5,0.5,3.5,3.1,16.7,.426,.489,.345,.502,.721,.544
115,Jordan Hill\hilljo01,2014-15,27,LAL,NBA,16.2,70,57,1874,6.9,14.9,6.8,14.7,0.1,0.2,2.4,3.2,3.3,7.3,10.7,2.0,0.7,1.0,2.0,3.2,16.2,.459,.462,.273,.461,.738,.494
116,Robin Lopez\lopezro01,2014-15,26,POR,NBA,16.2,59,59,1638,5.1,9.6,5.1,9.6,0.0,0.0,2.2,2.8,4.2,4.5,8.7,1.2,0.4,1.8,1.6,2.7,12.4,.535,.537,.000,.535,.772,.574
117,J.J. Redick\redicjj01,2014-15,30,LAC,NBA,16.2,78,78,2409,6.7,14.0,3.7,7.2,3.0,6.8,2.7,3.0,0.3,2.2,2.5,2.0,0.6,0.1,1.4,2.0,19.1,.477,.515,.437,.583,.901,.622
118,Chris Andersen\anderch01,2014-15,36,MIA,NBA,16.1,60,20,1132,3.8,6.6,3.7,6.2,0.1,0.4,2.4,3.6,2.4,7.1,9.5,1.4,0.8,1.9,1.3,2.8,10.2,.580,.598,.308,.589,.667,.622
119,Taj Gibson\gibsota01,2014-15,29,CHI,NBA,16.1,62,17,1692,5.4,10.8,5.4,10.8,0.0,0.0,2.8,3.9,3.4,5.0,8.4,1.5,0.8,1.6,1.6,3.4,13.6,.502,.502,,.502,.717,.545
120,Wesley Matthews\matthwe02,2014-15,28,POR,NBA,16.1,60,60,2024,6.0,13.4,2.9,5.5,3.1,7.9,1.9,2.6,0.7,3.3,3.9,2.5,1.4,0.2,1.4,2.3,17.0,.448,.534,.389,.563,.752,.586
121,Lester Hudson\hudsole01,2014-15,30,LAC,NBA,16.0,5,0,56,3.9,9.0,1.9,5.1,1.9,3.9,1.9,2.6,0.6,4.5,5.1,3.2,3.9,0.6,1.9,2.6,11.6,.429,.375,.500,.536,.750,.571
122,Bernard James\jamesbe01,2014-15,29,DAL,NBA,16.0,16,2,158,2.7,6.2,2.7,6.2,0.0,0.0,4.6,5.2,4.1,4.8,8.9,0.9,0.5,3.4,1.4,3.9,10.0,.444,.444,,.444,.870,.593
123,David West\westda01,2014-15,34,IND,NBA,16.0,66,66,1895,6.1,13.0,6.1,12.7,0.1,0.4,2.3,3.1,2.1,6.5,8.5,4.2,0.9,0.9,2.3,3.0,14.6,.471,.479,.200,.474,.739,.508
124,Aron Baynes\baynear01,2014-15,28,SAS,NBA,15.9,70,17,1122,5.9,10.5,5.9,10.4,0.0,0.1,2.9,3.3,3.5,6.7,10.2,1.1,0.5,0.7,2.1,5.2,14.8,.566,.570,.250,.567,.865,.618
125,DeMarre Carroll\carrode01,2014-15,28,ATL,NBA,15.9,70,69,2189,5.2,10.7,3.3,5.7,2.0,5.0,2.1,3.0,1.6,4.5,6.1,1.9,1.5,0.3,1.2,2.5,14.5,.487,.567,.395,.579,.702,.603
126,John Jenkins\jenkijo01,2014-15,23,ATL,NBA,15.9,24,3,297,5.9,12.0,3.4,5.7,2.5,6.3,1.9,2.3,0.2,4.5,4.7,1.6,1.2,0.0,1.0,1.8,16.4,.495,.596,.404,.601,.842,.629
127,Victor Oladipo\oladivi01,2014-15,22,ORL,NBA,15.9,72,71,2573,6.6,15.2,5.4,11.7,1.2,3.5,3.7,4.5,0.7,3.5,4.2,4.1,1.7,0.3,2.9,2.6,18.1,.436,.464,.339,.474,.819,.527
128,Kelly Olynyk\olynyke01,2014-15,23,BOS,NBA,15.9,64,13,1423,6.3,13.4,4.8,8.9,1.5,4.4,2.4,3.4,2.3,5.3,7.7,2.8,1.6,1.0,2.5,5.4,16.6,.475,.538,.349,.533,.684,.558
129,Tony Parker\parketo01,2014-15,32,SAS,NBA,15.9,68,68,1953,7.4,15.3,6.7,13.7,0.7,1.6,2.4,3.1,0.3,2.1,2.4,6.2,0.8,0.0,2.7,2.0,18.0,.486,.493,.427,.508,.783,.539
130,Derrick Rose\rosede01,2014-15,26,CHI,NBA,15.9,51,51,1530,8.0,19.6,6.2,13.3,1.8,6.4,3.6,4.4,0.8,3.0,3.8,5.9,0.8,0.4,3.8,1.5,21.3,.405,.465,.280,.450,.813,.493
131,Andrew Bogut\bogutan01,2014-15,30,GSW,NBA,15.8,67,65,1583,4.5,8.1,4.5,8.1,0.0,0.0,0.5,1.0,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6,.563,.563,,.563,.524,.565
132,Markieff Morris\morrima02,2014-15,25,PHO,NBA,15.8,82,82,2581,7.1,15.3,6.3,12.8,0.8,2.5,2.5,3.2,1.5,5.5,7.1,2.7,1.4,0.5,2.4,3.4,17.5,.465,.494,.318,.491,.763,.523
133,Dennis Schroder\schrode01,2014-15,21,ATL,NBA,15.7,77,10,1516,6.7,15.8,5.5,12.3,1.2,3.5,3.5,4.3,0.7,3.2,3.9,7.5,1.2,0.1,3.6,3.0,18.2,.427,.449,.351,.466,.827,.516
134,Deron Williams\willide01,2014-15,30,BRK,NBA,15.7,68,55,2114,5.1,13.1,3.6,9.1,1.5,4.0,3.4,4.1,0.5,3.5,4.0,7.6,1.1,0.3,2.6,2.7,15.1,.387,.395,.367,.443,.834,.504
135,Thaddeus Young\youngth01,2014-15,26,TOT,NBA,15.7,76,68,2434,6.7,14.3,6.1,12.6,0.6,1.7,1.9,3.0,1.9,4.2,6.1,2.6,1.8,0.4,1.7,2.5,15.8,.466,.484,.330,.486,.655,.507
136,Ryan Anderson\anderry01,2014-15,26,NOP,NBA,15.6,61,5,1675,6.3,15.7,3.6,8.0,2.6,7.7,2.8,3.2,2.3,4.0,6.3,1.2,0.7,0.4,1.3,2.4,17.9,.399,.457,.340,.483,.854,.524
137,Jeremy Lin\linje01,2014-15,26,LAL,NBA,15.6,74,30,1907,5.2,12.3,4.0,9.0,1.2,3.3,4.0,5.1,0.5,3.2,3.7,6.4,1.5,0.6,3.1,3.6,15.7,.424,.444,.369,.473,.795,.539
