RK,TEAM,GMS,TOTAL,AVG,PCT,year,sport,State,TeamName,Roster,Payroll
27,Trail Blazers,41,795328,19398,99.8,2018,nba,OR,Trail Blazers,15,133096018
28,Warriors,41,803436,19596,100,2018,nba,CA,Warriors,15,145299879
29,Heat,41,785250,19631,100.2,2018,nba,FL,Heat,16,123116097
30,Mavericks,41,811453,19791,103.1,2018,nba,TX,Mavericks,15,110292590
31,Raptors,41,813431,19839,100.2,2018,nba,TT,Raptors,15,137431412
32,76ers,41,833503,20329,100,2018,nba,PA,76ers,15,111962081
33,Cavaliers,41,843042,20562,100,2018,nba,OH,Cavaliers,15,123699800
34,Bulls,41,851824,20776,99.3,2018,nba,IL,Bulls,15,112014084
1,Cincinnati,8,394009,49251,75.2,2011,nfl,OH,Reds,#N/A,#N/A
2,Los Angeles,8,451153,56394,86.3,2011,nfl,CA,Rams,56,107541485
3,Tampa Bay,7,396300,56614,86.2,2011,nfl,FL,Rays,#N/A,#N/A
4,Oakland,8,473938,59242,94,2011,nfl,CA,A's,#N/A,#N/A
5,Miami,8,487089,60886,81,2011,nfl,FL,Marlins,#N/A,#N/A
6,Arizona,8,489455,61181,96.5,2011,nfl,AZ,Diamondbacks,#N/A,#N/A
7,Chicago,8,497166,62145,101,2011,nfl,IL,Bears,61,116430499
8,Jacksonville,8,498655,62331,92.8,2011,nfl,FL,Jaguars,68,93715109
9,Buffalo,7,438864,62694,85.8,2011,nfl,NY,Bills,62,105240799
10,Minnesota,8,502529,62816,98,2011,nfl,MN,Twins,#N/A,#N/A
11,Pittsburgh,8,504279,63034,97,2011,nfl,PA,Pirates,#N/A,#N/A
12,Detroit,8,509940,63742,98.8,2011,nfl,MI,Tigers,#N/A,#N/A
13,Indianapolis,8,518627,64828,102.9,2011,nfl,IN,Colts,58,116111409
14,Los Angeles,8,523143,65392,91.7,2011,nfl,CA,Rams,56,107541485
15,Cleveland,8,526874,65859,90,2011,nfl,OH,Indians,#N/A,#N/A
16,Seattle,8,531311,66413,99.1,2011,nfl,WA,Mariners,#N/A,#N/A
17,New England,8,550048,68756,100,2011,nfl,NE,Patriots,66,107017960
18,Atlanta,8,551892,68986,96.8,2011,nfl,GA,Braves,#N/A,#N/A
19,Tennessee,8,553144,69143,100,2011,nfl,TN,Titans,61,114975533
20,Philadelphia,8,553152,69144,102.3,2011,nfl,PA,Phillies,#N/A,#N/A
21,San Francisco,8,557856,69732,99.3,2011,nfl,CA,Giants,64,118768271
22,Green Bay,8,564097,70512,96.7,2011,nfl,WI,Packers,59,115538764
23,Baltimore,8,569792,71224,100.3,2011,nfl,MD,Orioles,#N/A,#N/A
24,Houston,8,571969,71496,100.6,2011,nfl,TX,Astros,#N/A,#N/A
25,Kansas City,8,576659,72082,93.9,2011,nfl,MO,Royals,#N/A,#N/A
26,Carolina,8,578342,72292,98,2011,nfl,NC,Panthers,66,122157561
27,New Orleans,8,584336,73042,100.1,2011,nfl,LA,Saints,45,103977516
28,Denver,8,602618,75327,99,2011,nfl,CO,Broncos,60,111387004
29,Washington,8,615368,76921,83.9,2011,nfl,DC,Nationals,#N/A,#N/A
30,NY Jets,8,631888,78986,95.7,2011,nfl,NY,Jets,64,121437884
31,NY Giants,8,635800,79475,96.3,2011,nfl,NY,Giants,64,118768271
32,Dallas,8,684096,85512,106.9,2011,nfl,TX,Cowboys,55,106728140
1,Oakland,8,433732,54216,86,2012,nfl,CA,A's,#N/A,#N/A
2,Tampa Bay,8,440819,55102,83.9,2012,nfl,FL,Rays,#N/A,#N/A
3,Los Angeles,7,396925,56703,86.8,2012,nfl,CA,Rams,55,116242859
4,Miami,8,459033,57379,76.3,2012,nfl,FL,Marlins,#N/A,#N/A
5,Los Angeles,8,479716,59964,84.1,2012,nfl,CA,Rams,55,116242859
6,Minnesota,8,485802,60725,94.7,2012,nfl,MN,Twins,#N/A,#N/A
7,Arizona,8,487125,60890,96,2012,nfl,AZ,Diamondbacks,#N/A,#N/A
8,Pittsburgh,8,489135,61141,94.1,2012,nfl,PA,Pirates,#N/A,#N/A
9,Cincinnati,8,489504,61188,93.4,2012,nfl,OH,Reds,#N/A,#N/A
10,Chicago,8,498633,62329,101.3,2012,nfl,IL,Bears,65,128111164
11,Detroit,8,510158,63769,98.9,2012,nfl,MI,Tigers,#N/A,#N/A
12,Buffalo,7,454653,64950,88.9,2012,nfl,NY,Bills,63,132433193
13,Jacksonville,8,519872,64984,96.8,2012,nfl,FL,Jaguars,69,131006398
14,Indianapolis,8,521518,65189,103.5,2012,nfl,IN,Colts,61,119651331
15,Cleveland,8,533058,66632,91,2012,nfl,OH,Indians,#N/A,#N/A
16,Seattle,8,543570,67946,101.4,2012,nfl,WA,Mariners,#N/A,#N/A
17,Kansas City,8,548070,68508,89.3,2012,nfl,MO,Royals,#N/A,#N/A
18,New England,8,550044,68755,100,2012,nfl,NE,Patriots,65,128199839
19,Tennessee,8,553144,69143,100,2012,nfl,TN,Titans,64,120999867
20,Philadelphia,8,553152,69144,102.3,2012,nfl,PA,Phillies,#N/A,#N/A
21,San Francisco,8,557856,69732,99.3,2012,nfl,CA,Giants,59,125489604
22,Atlanta,8,560773,70096,98.4,2012,nfl,GA,Braves,#N/A,#N/A
23,Green Bay,8,564062,70507,96.7,2012,nfl,WI,Packers,60,118996805
24,Baltimore,8,570229,71278,100.4,2012,nfl,MD,Orioles,#N/A,#N/A
25,Houston,8,573321,71665,100.9,2012,nfl,TX,Astros,#N/A,#N/A
26,New Orleans,8,583107,72888,99.9,2012,nfl,LA,Saints,66,118845223
27,Carolina,8,586347,73293,99.3,2012,nfl,NC,Panthers,59,127403460
28,Denver,8,613062,76632,100.7,2012,nfl,CO,Broncos,60,131648944
29,NY Jets,8,632704,79088,95.9,2012,nfl,NY,Jets,71,130453519
30,Washington,8,637236,79654,86.9,2012,nfl,DC,Nationals,#N/A,#N/A
31,NY Giants,8,643964,80495,97.6,2012,nfl,NY,Giants,59,125489604
32,Dallas,8,708249,88531,110.7,2012,nfl,TX,Cowboys,67,130229465
1,Oakland,8,403556,50444,80,2013,nfl,CA,A's,#N/A,#N/A
2,Los Angeles,8,455657,56957,87.2,2013,nfl,CA,Rams,55,124333057
3,Pittsburgh,8,458489,57311,88.2,2013,nfl,PA,Pirates,#N/A,#N/A
4,Tampa Bay,8,470548,58818,89.6,2013,nfl,FL,Rays,#N/A,#N/A
5,Jacksonville,7,419581,59940,89.2,2013,nfl,FL,Jaguars,61,120494441
6,Arizona,8,488271,61033,96.3,2013,nfl,AZ,Diamondbacks,#N/A,#N/A
7,Chicago,8,498864,62358,101.4,2013,nfl,IL,Bears,57,125564669
8,Cincinnati,8,506377,63297,96.6,2013,nfl,OH,Reds,#N/A,#N/A
9,Detroit,8,510369,63796,98.9,2013,nfl,MI,Tigers,#N/A,#N/A
10,Minnesota,7,448135,64019,99.8,2013,nfl,MN,Twins,#N/A,#N/A
11,Los Angeles,8,513641,64205,90.1,2013,nfl,CA,Rams,55,124333057
12,Miami,8,514553,64319,85.5,2013,nfl,FL,Marlins,#N/A,#N/A
13,Indianapolis,8,527606,65950,104.7,2013,nfl,IN,Colts,59,129046015
14,Buffalo,7,463873,66267,90.7,2013,nfl,NY,Bills,56,115151649
15,Seattle,8,545577,68197,101.8,2013,nfl,WA,Mariners,#N/A,#N/A
16,New England,8,550048,68756,100,2013,nfl,NE,Patriots,55,123765027
17,Tennessee,8,553144,69143,100,2013,nfl,TN,Titans,56,127458573
18,Philadelphia,8,553152,69144,102.3,2013,nfl,PA,Phillies,#N/A,#N/A
19,San Francisco,8,557856,69732,99.3,2013,nfl,CA,Giants,57,129256255
20,Atlanta,8,561795,70224,98.6,2013,nfl,GA,Braves,#N/A,#N/A
21,Baltimore,8,569084,71135,100.2,2013,nfl,MD,Orioles,#N/A,#N/A
22,Cleveland,8,569939,71242,97.3,2013,nfl,OH,Indians,#N/A,#N/A
23,Houston,8,573271,71658,100.9,2013,nfl,TX,Astros,#N/A,#N/A
24,New Orleans,8,583210,72901,99.9,2013,nfl,LA,Saints,55,124095472
25,Carolina,8,587544,73443,99.5,2013,nfl,NC,Panthers,59,109976646
26,Kansas City,8,602877,75359,98.2,2013,nfl,MO,Royals,#N/A,#N/A
27,Denver,8,614977,76872,101,2013,nfl,CO,Broncos,59,133046000
28,NY Jets,8,615656,76957,93.3,2013,nfl,NY,Jets,60,122145176
29,Washington,8,617767,77220,84.2,2013,nfl,DC,Nationals,#N/A,#N/A
30,Green Bay,8,623577,77947,106.9,2013,nfl,WI,Packers,59,120756853
31,NY Giants,8,641184,80148,97.1,2013,nfl,NY,Giants,57,129256255
32,Dallas,8,704345,88043,110.1,2013,nfl,TX,Cowboys,58,116978839
1,Minnesota,8,417906,52238,104.5,2014,nfl,MN,Twins,#N/A,#N/A
2,Los Angeles,8,456146,57018,87.3,2014,nfl,CA,Rams,57,131027131
3,Oakland,8,459333,57416,102.5,2014,nfl,CA,A's,#N/A,#N/A
4,Tampa Bay,8,477273,59659,90.9,2014,nfl,FL,Rays,#N/A,#N/A
5,Cincinnati,8,485628,60703,92.7,2014,nfl,OH,Reds,#N/A,#N/A
6,Chicago,8,493449,61681,100.3,2014,nfl,IL,Bears,60,131432310
7,Arizona,8,495835,61979,97.8,2014,nfl,AZ,Diamondbacks,#N/A,#N/A
8,Pittsburgh,8,497811,62226,95.7,2014,nfl,PA,Pirates,#N/A,#N/A
9,Jacksonville,7,440732,62961,93.7,2014,nfl,FL,Jaguars,64,125584374
10,Detroit,8,504198,63024,97.7,2014,nfl,MI,Tigers,#N/A,#N/A
11,Indianapolis,8,523004,65375,103.8,2014,nfl,IN,Colts,56,123726021
12,Los Angeles,8,523457,65432,91.8,2014,nfl,CA,Rams,57,131027131
13,Cleveland,8,539400,67425,92.1,2014,nfl,OH,Indians,#N/A,#N/A
14,Buffalo,8,540180,67522,93.8,2014,nfl,NY,Bills,57,147684870
15,Seattle,8,547298,68412,99.5,2014,nfl,WA,Mariners,#N/A,#N/A
16,New England,8,550048,68756,100,2014,nfl,NE,Patriots,59,134321836
17,Tennessee,8,553144,69143,100,2014,nfl,TN,Titans,61,127601550
18,Philadelphia,8,556768,69596,103,2014,nfl,PA,Phillies,#N/A,#N/A
19,Miami,8,560280,70035,92.7,2014,nfl,FL,Marlins,#N/A,#N/A
20,Atlanta,7,493515,70502,99,2014,nfl,GA,Braves,#N/A,#N/A
21,San Francisco,8,566192,70774,103.3,2014,nfl,CA,Giants,62,131935198
22,Baltimore,8,568353,71044,100.1,2014,nfl,MD,Orioles,#N/A,#N/A
23,Houston,8,574132,71766,101,2014,nfl,TX,Astros,#N/A,#N/A
24,New Orleans,8,584900,73112,100.2,2014,nfl,LA,Saints,60,131717175
25,Carolina,8,588861,73607,99.8,2014,nfl,NC,Panthers,54,133399423
26,Kansas City,8,599743,74967,97.7,2014,nfl,MO,Royals,#N/A,#N/A
27,Denver,8,615517,76939,101.1,2014,nfl,CO,Broncos,57,135047626
28,Washington,8,623715,77964,85,2014,nfl,DC,Nationals,#N/A,#N/A
29,Green Bay,8,625114,78139,107.1,2014,nfl,WI,Packers,60,134018492
30,NY Jets,8,625280,78160,94.7,2014,nfl,NY,Jets,60,118345094
31,NY Giants,8,631738,78967,95.7,2014,nfl,NY,Giants,62,131935198
32,Dallas,8,720558,90069,112.6,2014,nfl,TX,Cowboys,57,129488626
1,Los Angeles,8,419220,52402,80.2,2015,nfl,CA,Rams,54,140686890
2,Minnesota,8,419440,52430,99.8,2015,nfl,MN,Twins,#N/A,#N/A
3,Oakland,8,436910,54613,86.5,2015,nfl,CA,A's,#N/A,#N/A
4,Detroit,8,490782,61347,94.4,2015,nfl,MI,Tigers,#N/A,#N/A
5,Cincinnati,8,491118,61389,93.7,2015,nfl,OH,Reds,#N/A,#N/A
6,Jacksonville,7,430247,61463,91.5,2015,nfl,FL,Jaguars,59,136247404
7,Tampa Bay,8,492480,61560,93.5,2015,nfl,FL,Rays,#N/A,#N/A
8,Chicago,8,496287,62035,100.9,2015,nfl,IL,Bears,58,141649704
9,Tennessee,8,498435,62304,90.1,2015,nfl,TN,Titans,56,128662671
10,Arizona,8,513487,64185,98.7,2015,nfl,AZ,Diamondbacks,#N/A,#N/A
11,Pittsburgh,8,514854,64356,98.3,2015,nfl,PA,Pirates,#N/A,#N/A
12,Indianapolis,8,528381,66047,104.8,2015,nfl,IN,Colts,56,143402177
13,Cleveland,8,529488,66186,90.4,2015,nfl,OH,Indians,#N/A,#N/A
14,Los Angeles,8,534180,66772,94.6,2015,nfl,CA,Rams,54,140686890
15,New England,8,534632,66829,97.2,2015,nfl,NE,Patriots,57,141316422
16,Miami,8,537548,67193,102.9,2015,nfl,FL,Marlins,#N/A,#N/A
17,Seattle,8,552162,69020,103,2015,nfl,WA,Mariners,#N/A,#N/A
18,Philadelphia,8,555868,69483,102.8,2015,nfl,PA,Phillies,#N/A,#N/A
19,Buffalo,8,559047,69880,95.6,2015,nfl,NY,Bills,55,138342172
20,Atlanta,8,562845,70355,98.8,2015,nfl,GA,Braves,#N/A,#N/A
21,San Francisco,8,566392,70799,103.4,2015,nfl,CA,Giants,60,128321422
22,Baltimore,8,568018,71002,100,2015,nfl,MD,Orioles,#N/A,#N/A
23,Houston,8,574159,71769,101,2015,nfl,TX,Astros,#N/A,#N/A
24,New Orleans,8,584305,73038,95.5,2015,nfl,LA,Saints,58,142921439
25,Carolina,8,592454,74056,100.4,2015,nfl,NC,Panthers,55,145230447
26,Kansas City,7,518604,74086,96.5,2015,nfl,MO,Royals,#N/A,#N/A
27,Washington,8,609672,76209,89.7,2015,nfl,DC,Nationals,#N/A,#N/A
28,Denver,8,615381,76922,101,2015,nfl,CO,Broncos,54,145098899
29,NY Jets,8,625280,78160,94.7,2015,nfl,NY,Jets,55,153010332
30,Green Bay,8,627308,78413,107.2,2015,nfl,WI,Packers,55,141856037
31,NY Giants,8,632011,79001,95.8,2015,nfl,NY,Giants,60,128321422
32,Dallas,8,731672,91459,91.5,2015,nfl,TX,Cowboys,56,137816498
1,Oakland,7,382088,54584,86.6,2016,nfl,CA,A's,#N/A,#N/A
2,Los Angeles,8,456197,57024,80,2016,nfl,CA,Rams,53,149657650
3,Chicago,8,482951,60368,98.2,2016,nfl,IL,Bears,53,148323553
4,Cincinnati,7,423583,60511,92.4,2016,nfl,OH,Reds,#N/A,#N/A
5,Tampa Bay,8,484998,60624,92.3,2016,nfl,FL,Rays,#N/A,#N/A
6,Detroit,8,486342,60792,94.3,2016,nfl,MI,Tigers,#N/A,#N/A
7,Jacksonville,7,433408,61915,92.2,2016,nfl,FL,Jaguars,52,150459217
8,Cleveland,8,514489,64311,87.9,2016,nfl,OH,Indians,#N/A,#N/A
9,Pittsburgh,8,514503,64312,98.9,2016,nfl,PA,Pirates,#N/A,#N/A
10,Tennessee,8,517273,64659,93.5,2016,nfl,TN,Titans,53,150462723
11,Arizona,8,518652,64831,102.3,2016,nfl,AZ,Diamondbacks,#N/A,#N/A
12,Miami,8,524101,65512,100.3,2016,nfl,FL,Marlins,#N/A,#N/A
13,Indianapolis,8,524393,65549,104,2016,nfl,IN,Colts,53,152482343
14,Minnesota,8,534289,66786,91.5,2016,nfl,MN,Twins,#N/A,#N/A
15,New England,8,534632,66829,97.2,2016,nfl,NE,Patriots,53,147674888
16,Buffalo,8,548073,68509,93.7,2016,nfl,NY,Bills,53,152340574
17,Seattle,8,552588,69073,103.1,2016,nfl,WA,Mariners,#N/A,#N/A
18,Philadelphia,8,556768,69596,103,2016,nfl,PA,Phillies,#N/A,#N/A
19,Atlanta,8,559998,69999,98.2,2016,nfl,GA,Braves,#N/A,#N/A
20,San Francisco,8,561424,70178,102.4,2016,nfl,CA,Giants,53,155018529
21,Baltimore,8,568823,71102,100.1,2016,nfl,MD,Orioles,#N/A,#N/A
22,Houston,8,574947,71868,101.1,2016,nfl,TX,Astros,#N/A,#N/A
23,New Orleans,8,584876,73109,100.2,2016,nfl,LA,Saints,53,146288954
24,Kansas City,8,586624,73328,95.5,2016,nfl,MO,Royals,#N/A,#N/A
25,Carolina,8,590343,73792,100,2016,nfl,NC,Panthers,53,139231900
26,Los Angeles,1,74121,74121,89.8,2016,nfl,CA,Rams,53,149657650
27,Denver,8,614193,76774,100.9,2016,nfl,CO,Broncos,53,147213128
28,NY Jets,8,625280,78160,94.7,2016,nfl,NY,Jets,54,158083299
29,Green Bay,8,625727,78215,107.3,2016,nfl,WI,Packers,51,154207025
30,Washington,8,626432,78304,85.4,2016,nfl,DC,Nationals,#N/A,#N/A
31,NY Giants,8,630315,78789,95.5,2016,nfl,NY,Giants,53,155018529
32,Dallas,8,740318,92539,115.7,2016,nfl,TX,Cowboys,51,152736923
1,Los Angeles,8,202687,25335,-,2017,nfl,CA,Rams,54,156886564
2,Cincinnati,8,426207,53275,81.3,2017,nfl,OH,Reds,#N/A,#N/A
3,Oakland,8,462201,57775,91.5,2017,nfl,CA,A's,#N/A,#N/A
4,Tampa Bay,8,479618,59952,91,2017,nfl,FL,Rays,#N/A,#N/A
5,Chicago,8,489137,61142,99.4,2017,nfl,IL,Bears,53,167722301
6,Pittsburgh,8,499768,62471,91.3,2017,nfl,PA,Pirates,#N/A,#N/A
7,Los Angeles,8,507136,63392,67.7,2017,nfl,CA,Rams,54,156886564
8,Indianapolis,8,507525,63440,100.7,2017,nfl,IN,Colts,53,156274655
9,Cleveland,8,511060,63882,87.3,2017,nfl,OH,Indians,#N/A,#N/A
10,Detroit,8,513100,64137,98.7,2017,nfl,MI,Tigers,#N/A,#N/A
11,Arizona,8,513741,64217,98.8,2017,nfl,AZ,Diamondbacks,#N/A,#N/A
12,Jacksonville,8,514427,64303,95.6,2017,nfl,FL,Jaguars,53,171292956
13,Tennessee,8,525214,65651,95,2017,nfl,TN,Titans,53,161252092
14,New England,8,527024,65878,100,2017,nfl,NE,Patriots,52,163713427
15,Minnesota,8,533769,66721,91.4,2017,nfl,MN,Twins,#N/A,#N/A
16,Buffalo,8,534200,66775,91.4,2017,nfl,NY,Bills,52,154567897
17,Miami,8,541022,67627,103.5,2017,nfl,FL,Marlins,#N/A,#N/A
18,Seattle,8,551809,68976,102.9,2017,nfl,WA,Mariners,#N/A,#N/A
19,Philadelphia,8,556768,69596,100,2017,nfl,PA,Phillies,#N/A,#N/A
20,San Francisco,8,561155,70144,102.4,2017,nfl,CA,Giants,54,167429914
21,Baltimore,8,564709,70588,99.4,2017,nfl,MD,Orioles,#N/A,#N/A
22,Houston,8,574197,71774,101,2017,nfl,TX,Astros,#N/A,#N/A
23,Atlanta,8,575681,71960,95.9,2017,nfl,GA,Braves,#N/A,#N/A
24,New Orleans,8,585113,73139,95.6,2017,nfl,LA,Saints,51,161717460
25,Carolina,8,588942,73617,99.8,2017,nfl,NC,Panthers,51,175448311
26,Kansas City,8,592851,74106,97,2017,nfl,MO,Royals,#N/A,#N/A
27,Washington,8,601405,75175,88.4,2017,nfl,DC,Nationals,#N/A,#N/A
28,Denver,8,610846,76355,100.3,2017,nfl,CO,Broncos,53,156404109
29,NY Giants,8,617434,77179,93.6,2017,nfl,NY,Giants,54,167429914
30,NY Jets,8,620496,77562,94,2017,nfl,NY,Jets,53,144902320
31,Green Bay,8,624742,78092,106.8,2017,nfl,WI,Packers,53,168491403
32,Dallas,8,741775,92721,92.7,2017,nfl,TX,Cowboys,54,159808251
1,Los Angeles,8,262145,32768,121.4,2018,nfl,CA,Rams,53,179872330
2,Cincinnati,8,406028,50753,77.5,2018,nfl,OH,Reds,#N/A,#N/A
3,Tampa Bay,8,434855,54356,82.8,2018,nfl,FL,Rays,#N/A,#N/A
4,Oakland,8,463353,57919,103.4,2018,nfl,CA,A's,#N/A,#N/A
5,Indianapolis,8,473598,59199,94,2018,nfl,IN,Colts,52,144247844
6,Washington,8,488227,61028,74.4,2018,nfl,DC,Nationals,#N/A,#N/A
7,Chicago,8,494525,61815,100.5,2018,nfl,IL,Bears,53,179499788
8,Arizona,8,496111,62013,95.4,2018,nfl,AZ,Diamondbacks,#N/A,#N/A
9,Detroit,8,502361,62795,97.4,2018,nfl,MI,Tigers,#N/A,#N/A
10,Pittsburgh,8,507651,63456,92.8,2018,nfl,PA,Pirates,#N/A,#N/A
11,Tennessee,8,516161,64520,93.3,2018,nfl,TN,Titans,53,182398711
12,Buffalo,8,519695,64961,90.4,2018,nfl,NY,Bills,53,179596576
13,Miami,8,524480,65560,101.2,2018,nfl,FL,Marlins,#N/A,#N/A
14,Cleveland,8,526122,65765,97.5,2018,nfl,OH,Indians,#N/A,#N/A
15,New England,8,527024,65878,100,2018,nfl,NE,Patriots,52,175954265
16,Jacksonville,7,466719,66674,98.3,2018,nfl,FL,Jaguars,53,198525085
17,Minnesota,8,534491,66811,99.9,2018,nfl,MN,Twins,#N/A,#N/A
18,Seattle,8,552009,69001,100.4,2018,nfl,WA,Mariners,#N/A,#N/A
19,San Francisco,8,553190,69148,100.9,2018,nfl,CA,Giants,53,170995982
20,Philadelphia,8,557568,69696,100.1,2018,nfl,PA,Phillies,#N/A,#N/A
21,Baltimore,8,563451,70431,99.2,2018,nfl,MD,Orioles,#N/A,#N/A
22,Houston,8,574439,71804,99.7,2018,nfl,TX,Astros,#N/A,#N/A
23,Los Angeles,8,579439,72429,77.4,2018,nfl,CA,Rams,53,179872330
24,Atlanta,8,583184,72898,97.2,2018,nfl,GA,Braves,#N/A,#N/A
25,New Orleans,8,584411,73051,100.1,2018,nfl,LA,Saints,51,176019524
26,Carolina,8,590182,73772,100,2018,nfl,NC,Panthers,53,184421777
27,Kansas City,8,607780,75972,99.4,2018,nfl,MO,Royals,#N/A,#N/A
28,Denver,8,611571,76446,100.4,2018,nfl,CO,Broncos,53,181619996
29,NY Giants,8,615525,76940,93.3,2018,nfl,NY,Giants,53,170995982
30,Green Bay,8,622677,77834,95.6,2018,nfl,WI,Packers,53,175766368
31,NY Jets,8,623856,77982,94.5,2018,nfl,NY,Jets,52,176934695
32,Dallas,8,732958,91619,91.6,2018,nfl,TX,Cowboys,52,173992050
