Rank,Team,Roster,25-Man Payroll,Injured Reserve,Retained,Buried,Suspended,2011 Total Payroll,year,sport
5,Toronto Raptors,15,25.2,"$50,803,700","$2,083,644","$53,148,082","$17,158,918*","$4,895,918","$4,895,918",2011,nba
6,Minnesota Timberwolves,15,23.8,"$55,406,532",,"$55,406,532","$14,900,468","$2,637,468","$2,637,468",2011,nba
7,Golden State Warriors,17,24.9,"$57,198,850","$186,509","$57,385,359","$12,921,641","$658,641","$658,641",2011,nba
8,Utah Jazz,15,26.0,"$58,114,489",,"$58,183,391","$12,123,609*","$-139,391","$-139,391",2011,nba
9,New Orleans Hornets,20,24.9,"$55,116,884","$3,263,394","$58,480,742","$11,826,258","$-436,742","$-436,742",2011,nba
10,Cleveland Cavaliers,15,25.1,"$48,030,927","$2,134,028","$60,086,899","$19,843,826","$-2,042,899","$7,580,826",2011,nba
11,New York Knicks,14,26.4,"$59,695,415","$1,675,000","$61,370,415","$8,936,585","$-3,326,415","$-3,326,415",2011,nba
12,Oklahoma City Thunder,15,25.7,"$56,856,253","$4,975,000","$61,831,253","$8,475,747","$-3,787,253","$-3,787,253",2011,nba
13,Detroit Pistons,13,26.0,"$55,626,387","$8,430,293","$64,056,680","$6,250,320","$-6,012,680","$-6,012,680",2011,nba
14,Philadelphia 76ers,14,23.7,"$58,022,021","$6,745,204","$64,767,225","$5,539,775","$-6,723,225","$-6,723,225",2011,nba
15,Phoenix Suns,13,28.1,"$56,292,681","$8,617,223","$64,909,904","$5,397,096*","$-6,865,904","$-6,865,904",2011,nba
16,Charlotte Bobcats,16,25.9,"$57,917,825","$7,693,548","$65,611,373","$4,695,627","$-7,567,373","$-7,567,373",2011,nba
17,Portland Trail Blazers,15,27.1,"$64,247,715","$1,892,632","$66,140,347","$4,166,653","$-8,096,347","$-8,096,347",2011,nba
18,Milwaukee Bucks,15,26.1,"$65,940,004","$276,603","$66,354,411","$3,952,589","$-8,310,411","$-8,310,411",2011,nba
19,Memphis Grizzlies,16,25.2,"$67,634,641","$323,632","$67,958,273","$2,348,727","$-9,914,273","$-9,914,273",2011,nba
20,Washington Wizards,17,24.6,"$66,770,575","$1,169,389","$68,146,670","$2,160,330","$-10,102,670","$-10,102,670",2011,nba
21,Orlando Magic,15,25.9,"$68,849,150","$414,443","$69,263,593","$1,043,407","$-11,219,593","$-11,219,593",2011,nba
22,Los Angeles Clippers,17,26.6,"$68,433,967","$1,139,922","$69,573,889","$733,111","$-11,529,889","$-11,529,889",2011,nba
23,Chicago Bulls,17,29.2,"$68,873,614","$1,914,250","$70,787,864","$-480,864","$-12,743,864","$-12,743,864",2011,nba
24,Atlanta Hawks,17,27.6,"$70,958,314",,"$70,958,314","$-651,314","$-12,914,314","$-12,914,314",2011,nba
25,San Antonio Spurs,18,26.6,"$70,669,541","$2,975,203","$73,774,561","$-3,467,561","$-15,730,561","$-15,730,561",2011,nba
26,Dallas Mavericks,14,28.9,"$74,325,300","$885,120","$75,210,420","$-4,903,420","$-17,166,420","$-17,166,420",2011,nba
27,Boston Celtics,17,27.9,"$76,053,505","$491,109","$76,544,614","$-6,237,614","$-18,500,614","$-18,500,614",2011,nba
28,Miami Heat,18,27.7,"$73,036,309","$5,538,553","$78,613,056","$-8,306,056","$-20,569,056","$-20,569,056",2011,nba
29,Los Angeles Lakers,12,26.9,"$81,371,048","$288,710","$81,659,758","$-11,352,758","$-23,615,758","$-23,615,758",2011,nba
30,Denver Nuggets,15,25.5,"$52,473,071","$4,676,951","$89,634,590","$13,156,978","$-31,590,590","$893,978",2011,nba
1,Phoenix Suns,15,26.2,"$51,913,298","$1,321,604","$53,234,902","$17,072,098","$4,809,098","$4,809,098",2012,nba
2,Sacramento Kings,13,25.2,"$51,000,236","$2,575,106","$53,575,342","$16,731,658","$4,468,658","$4,468,658",2012,nba
3,Houston Rockets,15,23.9,"$44,545,613","$10,889,825","$55,435,438","$14,871,562","$2,608,562","$2,608,562",2012,nba
4,Charlotte Bobcats,16,25.4,"$57,257,078","$192,791","$57,500,127","$12,806,873","$543,873","$543,873",2012,nba
5,Portland Trail Blazers,15,24.3,"$54,632,812","$3,746,337","$58,379,149","$11,927,851*","$-335,149","$-335,149",2012,nba
6,Washington Wizards,15,24.9,"$57,476,259","$1,056,096","$58,601,257","$11,705,743","$-557,257","$-557,257",2012,nba
7,Milwaukee Bucks,15,26.7,"$61,658,839",,"$61,658,839","$8,648,161","$-3,614,839","$-3,614,839",2012,nba
8,Dallas Mavericks,15,28.2,"$58,996,275","$2,716,323","$61,941,526","$8,365,474","$-3,897,526","$-3,897,526",2012,nba
9,Minnesota Timberwolves,15,25.8,"$60,238,958","$1,869,887","$62,360,135","$7,946,865","$-4,316,135","$-4,316,135",2012,nba
10,Memphis Grizzlies,15,25.5,"$62,366,281","$854,389","$63,276,388","$7,030,612","$-5,232,388","$-5,232,388",2012,nba
11,Cleveland Cavaliers,15,24.6,"$49,406,697","$4,557,453","$63,587,875","$16,342,850","$-5,543,875","$4,079,850",2012,nba
