state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
ND,2016,0,0,4.142857143,0,0,4850243,0,0,4850243
OH,2016,14.86363636,2.8,3.88172043,6577239.778,3014285.714,3625389.115,6577239.778,3014285.714,3625389.115
OK,2016,12.5,0.9,4.037037037,7852102,1293750,4271921.071,7852102,1293750,4271921.071
OR,2016,8.75,1.633333333,3.377358491,2700000,6461691.4,3501751.143,2700000,6461691.4,3501751.143
PA,2016,10.26923077,0.65,3.927536232,3751643.7,2437500,4367579.947,3751643.7,2437500,4367579.947
RI,2016,6.7,0,0.5,242224,0,925000,242224,0,925000
SC,2016,12.7,2.86,3.589285714,7043750,3207030,4897659.379,7043750,3207030,4897659.379
SD,2016,0,0,3.25,0,0,3250000,0,0,3250000
TN,2016,13.50909091,0.975,3.366666667,6541233.429,7351083.3,4106220.5,6541233.429,7351083.3,4106220.5
TX,2016,16.30625,1.45,3.218181818,12797484.27,5764828.882,3651727.19,12797484.27,5764828.882,3651727.19
UT,2016,15.5,0,3.265306122,8727511,0,4296899.3,8727511,0,4296899.3
VT,2016,0,0,0,0,0,0,0,0,0
VA,2016,11.6,1.2,2.745098039,3857842.889,7866428.571,3913933.762,3857842.889,7866428.571,3913933.762
WA,2016,11.48,0,2.806451613,7270340.667,0,2396034.2,7270340.667,0,2396034.2
WV,2016,25.7,3,3.409090909,22116750,2256050,4403670.2,22116750,2256050,4403670.2
WI,2016,13.95,0,4.258064516,10557390,18000000,4431175.45,10557390,0,4431175.45
WY,2016,0,0,2.666666667,0,0,2658125,0,0,2658125
AL,2017,6.725,2.675,3.698924731,10851041.5,4534700,3685709.804,10851041.5,4534700,3685709.804
AK,2017,0,0,2.625,0,0,3508281,0,0,3508281
AZ,2017,12.51,1.542857143,3.923076923,9074844.556,8247878.727,3912486.313,9074844.556,8247878.727,3912486.313
AR,2017,13.95,1,2.52173913,3514916.5,5570000,2478193.286,3514916.5,5570000,2478193.286
CA,2017,15.53095238,1.766666667,3.68503937,9886355.474,6034484.841,4541500.661,9886355.474,6034484.841,4541500.661
CO,2017,12.15,0,3.375,6184905.5,7250000,3874103.4,6184905.5,0,3874103.4
CT,2017,17.35,0.4,1.769230769,10385716.5,3267500,2411961.833,10385716.5,3267500,2411961.833
DC,2017,10.38333333,0,0,5000000,0,0,5000000,0,0
DE,2017,0,0,3.333333333,0,0,1550000,0,0,1550000
FL,2017,12.49333333,1.76875,3.696202532,9875791.8,8330391.364,3925515.58,9875791.8,8330391.364,3925515.58
GA,2017,11.5,3.75,4.344827586,9610552.333,3444375,6211624.406,9610552.333,3444375,6211624.406
HI,2017,0,1.8,2,0,2500000,0,0,2500000,0
ID,2017,0,0,4.095238095,0,0,4296178.615,0,0,4296178.615
IL,2017,11.67142857,1.1,2.181818182,7000895.4,8840116.667,3155216.75,7000895.4,8840116.667,3155216.75
IN,2017,16.7,3.1,3.983333333,10443633.64,6503333.333,3997839.844,10443633.64,6503333.333,3997839.844
IA,2017,11.575,0,3.594594595,3236917.5,0,5445560.4,3236917.5,0,5445560.4
KS,2017,12.77222222,0,4.375,3538131.286,1787500,5578921.4,3538131.286,0,5578921.4
KY,2017,14.32941176,0.2,3.475,5603107.467,4570555.333,3841132.238,5603107.467,4570555.333,3841132.238
LA,2017,14.69333333,1.166666667,3.87654321,8289426.875,5920238.286,4617598.667,8289426.875,5920238.286,4617598.667
ME,2017,0,0,1,0,0,0,0,0,0
MD,2017,4.833333333,0,2.7,2323863.667,7750000,2526335.875,2323863.667,0,2526335.875
MA,2017,14.42,0,3.481481481,15278001,2100000,10232300.33,15278001,0,10232300.33
MI,2017,10.78823529,0.1,4.096385542,5995395.077,4466666.5,5238875,5995395.077,4466666.5,5238875
MN,2017,13.6,0,3.363636364,0,0,2330883.4,0,0,2330883.4
MS,2017,0,2.875,3.62962963,0,4927222.222,5547263.548,0,4927222.222,5547263.548
MO,2017,0,1.566666667,3.027777778,0,12232142.83,2477769.286,0,12232142.83,2477769.286
MT,2017,0,0,2.333333333,0,0,9096200,0,0,9096200
NE,2017,11.3,0.1,3.272727273,4528331.333,6250000,4351927.769,4528331.333,6250000,4351927.769
NV,2017,12.33333333,0.5,3.714285714,912590.4,950000,6178704.6,912590.4,950000,6178704.6
NH,2017,0,0,2,0,0,1800000,0,0,1800000
NJ,2017,7.6,3.4,2.428571429,1312611,6137500,4739901.111,1312611,6137500,4739901.111
NM,2017,10.23333333,0,2.333333333,3726178.333,0,2783343.667,3726178.333,0,2783343.667
NY,2017,10.18,0,2.8,6366030.273,3375000,3974242.333,6366030.273,0,3974242.333
NC,2017,13.7875,1.18,3.348484848,10610251.5,5121041.667,3852124.939,10610251.5,5121041.667,3852124.939
ND,2017,0,0,4.75,0,0,2683375,0,0,2683375
OH,2017,12.04166667,1.366666667,3.978723404,9048646.571,3637500,4224287.519,9048646.571,3637500,4224287.519
OK,2017,13.86,1.4,3.186440678,11800165,2437400,5994048.893,11800165,2437400,5994048.893
OR,2017,8.466666667,1.7,2.944444444,1471382,7395614.25,3452608.912,1471382,7395614.25,3452608.912
PA,2017,10.50769231,0.4,3.515151515,8767412.375,1800000,4189403.389,8767412.375,1800000,4189403.389
RI,2017,0.266666667,0,0.5,4046760,0,1337500,4046760,0,1337500
SC,2017,12.625,2.216666667,3.736842105,277496,3926220,5779055.113,277496,3926220,5779055.113
SD,2017,0,0,3,0,0,2300000,0,0,2300000
TN,2017,15,0.76,3.719298246,3855006.143,7395833.3,4337930.152,3855006.143,7395833.3,4337930.152
TX,2017,15.05882353,1.37,3.16875,12226877.92,7205906.5,4016550.558,12226877.92,7205906.5,4016550.558
UT,2017,14.77142857,0,3.509803922,10207965.67,0,4468393,10207965.67,0,4468393
VT,2017,0,0,0,0,0,0,0,0,0
VA,2017,9.8,1.166666667,2.326086957,3177274,8938333.333,3082952.211,3177274,8938333.333,3082952.211
WA,2017,12.04545455,0.1,2.897435897,7026639.375,0,2636092.526,7026639.375,0,2636092.526
WV,2017,22.6,3.7,3.086956522,23775506,3276050,4399134.818,23775506,3276050,4399134.818
WI,2017,13.33,0,3.852941176,7419512.111,18000000,4956408.292,7419512.111,0,4956408.292
WY,2017,0,0,3.222222222,0,0,3725000,0,0,3725000
AL,2018,13.95,1.133333333,4.225,10977083.5,8064285.714,4123154.808,10977083.5,8064285.714,4123154.808
AK,2018,0,0,3.428571429,0,0,6130781.333,0,0,6130781.333
AZ,2018,12.7,1.775,4.368421053,13260652.14,9593518.444,5498891.333,13260652.14,9593518.444,5498891.333
AR,2018,16,1.1,2.941176471,3760686.5,6225000,3281135.667,3760686.5,6225000,3281135.667
CA,2018,14.64102564,2.15,4.100917431,12062270.3,6606342.583,5407395.702,12062270.3,6606342.583,5407395.702
CO,2018,10.83333333,0,4.1,6596303.5,7000000,5753230.615,6596303.5,0,5753230.615
CT,2018,17.7,0.2,2.3,11238064.25,1750000,2501432.75,11238064.25,1750000,2501432.75
DC,2018,19.75,0,0,85458,0,0,85458,0,0
DE,2018,0,0,4.5,0,0,1483120,0,0,1483120
FL,2018,11.68571429,1.713333333,3.276595745,10799435,9746111.053,4496782.069,10799435,9746111.053,4496782.069
GA,2018,11.93333333,0.475,4.3125,13418820.25,5166161.857,7056467.885,13418820.25,5166161.857,7056467.885
HI,2018,0,3.5,3,0,2550000,0,0,2550000,0
ID,2018,4.9,0,3.227272727,0,0,4273491.917,0,0,4273491.917
IL,2018,12.9,1.433333333,2.533333333,7299589.25,9875000,7626008.455,7299589.25,9875000,7626008.455
IN,2018,13.08461538,1.4,4.431372549,10742156.3,6500833.333,5195445,10742156.3,6500833.333,5195445
IA,2018,8.866666667,0,4.060606061,1512601,0,6117699.176,1512601,0,6117699.176
KS,2018,12.61875,0,7.5,10703866.67,824250,7323749.75,10703866.67,0,7323749.75
KY,2018,13.47222222,0.85,4.103448276,6289126.88,6301388.667,3819190.333,6289126.88,6301388.667,3819190.333
LA,2018,12.40909091,3,3.985294118,11519398.2,3985416.667,4770360.22,11519398.2,3985416.667,4770360.22
ME,2018,0,0,0.5,0,0,0,0,0,0
MD,2018,13.03333333,0,2.8125,2469184,7750000,2789017,2469184,0,2789017
MA,2018,14.1,0,4.130434783,12963572.25,7000000,8068135.667,12963572.25,0,8068135.667
MI,2018,13.4125,0.1,3.895522388,6505254.667,10083333,6558409.886,6505254.667,10083333,6558409.886
MN,2018,0,0,3.888888889,0,0,2130008,0,0,2130008
MS,2018,0,0.666666667,4.659090909,0,9111111,5204931.733,0,9111111,5204931.733
MO,2018,0,1.18,3,0,13448809.5,4222445.375,0,13448809.5,4222445.375
MT,2018,0,0,3.666666667,0,0,5837500,0,0,5837500
NE,2018,12.56666667,1.3,2.95,6881111.333,6812500,4916523.455,6881111.333,6812500,4916523.455
NV,2018,12,0.1,3.166666667,1149406,0,5197500,1149406,0,5197500
NH,2018,0,0,4,0,0,1677500,0,0,1677500
NJ,2018,11.5,1.9,2.1875,0,6582500,4439296.091,0,6582500,4439296.091
NM,2018,16.13333333,0,2.833333333,4123062,0,3406468.5,4123062,0,3406468.5
NY,2018,12.03636364,0,3.6875,6544283,1500000,6038981,6544283,0,6038981
NC,2018,13.06521739,0.8,3.436363636,11501513.5,6762777.778,3583422.094,11501513.5,6762777.778,3583422.094
ND,2018,0,0,4.142857143,0,0,2814714,0,0,2814714
OH,2018,15.01428571,0.5,4.355263158,12635797.4,6700000,3847234.132,12635797.4,6700000,3847234.132
OK,2018,13.22,0.1,3.47826087,14395852,2834133.333,5423808.083,14395852,2834133.333,5423808.083
OR,2018,10.9,0.5,3.590909091,85458,6187500,3974182.852,85458,6187500,3974182.852
PA,2018,9.590909091,0.7,4.346153846,10453642.29,4000000,5168726.182,10453642.29,4000000,5168726.182
RI,2018,20.3,0,1,4221000,0,1345000,4221000,0,1345000
SC,2018,16.73333333,1.483333333,4.222222222,0,4442833.333,5672704.298,0,4442833.333,5672704.298
SD,2018,-2.9,0,3.5,0,0,2262500,0,0,2262500
TN,2018,12.0875,1,3.254545455,6738901.429,4229629.556,3773228.824,6738901.429,4229629.556,3773228.824
TX,2018,15.2375,2.542857143,3.410447761,12287812.54,8023203.565,4532465.62,12287812.54,8023203.565,4532465.62
UT,2018,16.66666667,0,3.292682927,8442388.75,0,5604864.684,8442388.75,0,5604864.684
VT,2018,0,0,0,0,0,0,0,0,0
VA,2018,11.49090909,0.7,2.35,5503108.625,9288333.333,4457716.667,5503108.625,9288333.333,4457716.667
WA,2018,14.83,0,3.193548387,6680886.556,550300,3294052.611,6680886.556,0,3294052.611
WV,2018,24.1,1.25,2.578947368,25434263,6187500,2808639.333,25434263,6187500,2808639.333
WI,2018,11.8,0,5.4,5335777.889,24000000,4767251.3,5335777.889,0,4767251.3
WY,2018,0,0,2.833333333,0,0,3925000,0,0,3925000
