state,year,per,war,av,per_spend_discrepancy,war_spend_discrepancy,av_spend_discrepancy,per_spend,war_spend,av_spend
IN,2012,12.07142857,1.5,2.551282051,4902361.5,1608833.333,2869983.231,4902361.5,1608833.333,2869983.231
IA,2012,10.7,0.5,2.961538462,7575814.333,900000,3183341.15,7575814.333,900000,3183341.15
KS,2012,13.08181818,1.46,1.714285714,4972114.6,6034500,1451263.25,4972114.6,6034500,1451263.25
KY,2012,12.2,1.466666667,3.045454545,2742183.043,3412254.167,3806037.111,2742183.043,3412254.167,3806037.111
LA,2012,14.5,1.716666667,3.454545455,4837495,2527638.235,3940166.575,4837495,2527638.235,3940166.575
ME,2012,0,0,2.8,0,0,2059875,0,0,2059875
MD,2012,11.86,1.55,3.137931034,1730003.6,484100,4148887.643,1730003.6,484100,4148887.643
MA,2012,14.5,1.066666667,3.971428571,3984676.8,4207500,3505503.45,3984676.8,4207500,3505503.45
MI,2012,10.4,0.466666667,3.282608696,4058620.538,1996100,3745776.846,4058620.538,1996100,3745776.846
MN,2012,9.75,0.8,3.5,6427194.5,1342500,1708333,6427194.5,1342500,1708333
MS,2012,8.125,1.22,3.465517241,0,4210905.8,3582131.5,0,4210905.8,3582131.5
MO,2012,-7.3,3.666666667,2.945945946,0,5091928.571,2990710.875,0,5091928.571,2990710.875
MT,2012,0,0,1.083333333,0,0,2497916.5,0,0,2497916.5
NE,2012,9.4,2.4,2.525,2927194.5,1679142.857,4251839.733,2927194.5,1679142.857,4251839.733
NV,2012,14.11666667,1,2.588235294,5867032.2,1270000,5510895.833,5867032.2,1270000,5510895.833
NH,2012,0,0,4,0,0,1300000,0,0,1300000
NJ,2012,1.9,1.875,2.68,6698565,1641000,2806116.778,6698565,1641000,2806116.778
NM,2012,9.933333333,0,4.090909091,13058606,0,2676854,13058606,0,2676854
NY,2012,10.53333333,1.5,2.931034483,6124321.25,2526607.143,3751311.273,6124321.25,2526607.143,3751311.273
NC,2012,14.31904762,1.1375,2.9125,5889997.059,1871634.353,3780648.303,5889997.059,1871634.353,3780648.303
ND,2012,0,0,2,0,0,3025316.667,0,0,3025316.667
OH,2012,13.40769231,1.433333333,2.963636364,4548935.6,2882420,3121140.4,4548935.6,2882420,3121140.4
OK,2012,12.3625,1.2,3.513513514,2787324.75,4225000,4999380.233,2787324.75,4225000,4999380.233
OR,2012,12.36666667,2.75,2.524590164,1824942.667,2855000,3088103.958,1824942.667,2855000,3088103.958
PA,2012,14.19,0.2,2.933333333,3164891.25,1323750,4194485,3164891.25,1323750,4194485
RI,2012,10.5,1.1,0.5,3404809.667,1500000,1105667,3404809.667,1500000,1105667
SC,2012,14.22,0.642857143,3.348148148,2600803.5,2460000,3309836.462,2600803.5,2460000,3309836.462
SD,2012,0,0,0.5,0,0,2032500,0,0,2032500
TN,2012,15.28333333,2.375,2.743243243,5775987,2413740,3830339.412,5775987,2413740,3830339.412
TX,2012,11.024,1.712,2.937799043,4112968.733,2440201.563,2553771.152,4112968.733,2440201.563,2553771.152
UT,2012,11.36666667,0.2,3.411764706,7669520,6850000,3809923.391,7669520,6850000,3809923.391
VT,2012,0,0,0,0,0,0,0,0,0
VA,2012,10.15,1.033333333,2.884615385,2071549.25,4675577,4198934.417,2071549.25,4675577,4198934.417
WA,2012,11.32,0.1,2.972222222,2896021.25,8016460,2710119.308,2896021.25,8016460,2710119.308
WV,2012,12.25,0.1,1.722222222,1054389,485000,1519088,1054389,485000,1519088
WI,2012,14.6,0.6,3.607142857,5086968.5,2300000,2925557.091,5086968.5,2300000,2925557.091
WY,2012,0,0,2.125,0,0,1586666.5,0,0,1586666.5
AL,2013,10.04,1.757142857,4.144578313,6951961.667,3965576.923,3369470.667,6951961.667,3965576.923,3369470.667
AK,2013,0,0,2.545454545,0,0,778247.5,0,0,778247.5
AZ,2013,14.65,2.338461538,3.65625,7839456.429,3807022.222,4586645.429,7839456.429,3807022.222,4586645.429
AR,2013,10.85,1.85,2.409090909,656812.5,6637000,3372583.333,656812.5,6637000,3372583.333
CA,2013,14.35652174,1.245652174,3.118110236,5328187.171,3533250.593,3014621.241,5328187.171,3533250.593,3014621.241
CO,2013,14.72,0.8,3.954545455,5300500,4475000,2615193.267,5300500,4475000,2615193.267
CT,2013,13.89,0.8,2.3125,6080761.375,1594000,2356036.2,6080761.375,1594000,2356036.2
DC,2013,15.43333333,0,0,4802796.75,0,0,4802796.75,0,0
DE,2013,0,0,4,0,0,0,0,0,0
FL,2013,12.02222222,1.8875,3.294871795,4040422.933,3185102.139,3283379.532,4040422.933,3185102.139,3283379.532
GA,2013,15.98571429,2.38,4.430769231,6535317.571,3626750,4356684.676,6535317.571,3626750,4356684.676
HI,2013,0,0,2.333333333,0,0,3275000.5,0,0,3275000.5
ID,2013,12.5,0.4,3.208333333,0,2775000,4705602.091,0,2775000,4705602.091
IL,2013,12.1375,2.433333333,3.051282051,5263977.143,4729371.875,3134471.579,5263977.143,4729371.875,3134471.579
IN,2013,10.61538462,2.05,3.5,5236659,2302047.222,2907776.588,5236659,2302047.222,2907776.588
IA,2013,12.5,0,3.522727273,11581176.5,0,3270902.9,11581176.5,0,3270902.9
KS,2013,10.32857143,0.65,2.916666667,3323121.5,3290916.667,2175195.8,3323121.5,3290916.667,2175195.8
KY,2013,12.98928571,3.05,3.424242424,2991275.72,2071488.571,2937172.188,2991275.72,2071488.571,2937172.188
LA,2013,14.12727273,1.14,3.6625,3602026,2082516.667,3808654.459,3602026,2082516.667,3808654.459
ME,2013,0,0,1.75,0,504500,1315980.333,0,0,1315980.333
MD,2013,13.95,0.6,4.3,4650037.6,502633.3333,3210052,4650037.6,502633.3333,3210052
MA,2013,11.95,2.1,4.703703704,3661785.2,1245500,4259858.4,3661785.2,1245500,4259858.4
MI,2013,12.31333333,0.133333333,3.481012658,3988952.364,2624700,3544232.222,3988952.364,2624700,3544232.222
MN,2013,8.45,0,3.6,12000000,1762500,1061179,12000000,0,1061179
MS,2013,10.1,1.133333333,4.107142857,630468,4286707.692,2752267.333,630468,4286707.692,2752267.333
MO,2013,0,1.46,2.545454545,0,7181136.364,2530403.4,0,7181136.364,2530403.4
MT,2013,0,0,1.454545455,0,0,1710042.333,0,0,1710042.333
NE,2013,11.15,2.35,3.518518519,3822428,2305071.429,3476710,3822428,2305071.429,3476710
NV,2013,14.25,0.28,2.526315789,5850958.2,1098000,5355836,5850958.2,1098000,5355836
NH,2013,0,1.4,4,0,0,2650000,0,0,2650000
NJ,2013,18.6,2.633333333,2.62962963,4096596,2090140,3425257.556,4096596,2090140,3425257.556
