year,state,war
2011,AL,1.5875
2011,AR,0.9333333333333332
2011,AZ,2.186666666666667
2011,CA,1.265454545454545
2011,CT,0.7
2011,FL,2.072
2011,GA,1.8750000000000002
2011,ID,2.6
2011,IL,3.1
2011,IN,1.5666666666666667
2011,KS,1.0333333333333334
2011,KY,0.75
2011,LA,0.8666666666666667
2011,MA,1.85
2011,MD,1.8
2011,MI,0.5
2011,MN,2.3
2011,MO,2.3999999999999995
2011,MS,0.76
2011,NC,1.2000000000000002
2011,NE,7.3
2011,NJ,1.4666666666666666
2011,NV,0.26666666666666666
2011,NY,0.4
2011,OH,1.2272727272727275
2011,OK,0.3166666666666667
2011,OR,2.575
2011,PA,0.6
2011,RI,0.9
2011,SC,1.4199999999999997
2011,TN,0.8999999999999998
2011,TX,1.5035714285714288
2011,UT,0.1
2011,VA,0.9333333333333331
2011,WA,1.425
2011,WI,0.2
2012,AL,1.53
2012,AR,1.8
2012,AZ,1.9272727272727275
2012,CA,1.1149999999999998
2012,CO,0.5
2012,CT,0.9500000000000001
2012,FL,1.9074074074074072
2012,GA,2.3
2012,IA,0.5
2012,ID,3.4
2012,IL,1.9
2012,IN,1.5
2012,KS,1.46
2012,KY,1.4666666666666666
2012,LA,1.7166666666666661
2012,MA,1.0666666666666667
2012,MD,1.55
2012,MI,0.46666666666666673
2012,MN,0.8
2012,MO,3.6666666666666665
2012,MS,1.22
2012,NC,1.1375
2012,NE,2.4
2012,NJ,1.875
2012,NV,1.0
2012,NY,1.5
2012,OH,1.4333333333333333
2012,OK,1.2
2012,OR,2.75
2012,PA,0.2
2012,RI,1.1
2012,SC,0.6428571428571429
2012,TN,2.3750000000000004
2012,TX,1.7120000000000004
2012,UT,0.2
2012,VA,1.0333333333333332
2012,WA,0.1
2012,WI,0.6
2012,WV,0.1
2013,AL,1.7571428571428573
2013,AR,1.85
2013,AZ,2.338461538461538
2013,CA,1.2456521739130444
2013,CO,0.8
2013,CT,0.8
2013,FL,1.8875
2013,GA,2.38
2013,ID,0.4
2013,IL,2.433333333333333
2013,IN,2.05
2013,KS,0.65
2013,KY,3.0500000000000003
2013,LA,1.1400000000000001
2013,MA,2.0999999999999996
2013,MD,0.6
2013,MI,0.13333333333333333
2013,MO,1.4599999999999997
2013,MS,1.1333333333333333
2013,NC,1.0999999999999999
2013,NE,2.35
2013,NH,1.4
2013,NJ,2.6333333333333333
2013,NV,0.28
2013,NY,0.25
2013,OH,1.0
2013,OK,0.7166666666666668
2013,OR,5.7
2013,PA,1.1199999999999999
2013,SC,1.5428571428571427
2013,TN,2.3833333333333333
2013,TX,1.9913043478260875
2013,VA,1.3333333333333333
2013,WA,0.4
2013,WV,2.3
2014,AL,2.4166666666666665
2014,AR,0.925
2014,AZ,2.522222222222222
2014,CA,1.490322580645162
2014,CO,0.1
2014,CT,1.5
2014,FL,2.705263157894736
2014,GA,1.7833333333333334
2014,HI,2.3
2014,IL,2.2666666666666666
2014,IN,1.15
2014,KS,2.0
2014,KY,1.25
2014,LA,1.433333333333333
2014,MI,1.2
2014,MO,2.3
2014,MS,2.0
2014,NC,2.0333333333333337
2014,NE,2.4
2014,NH,0.1
2014,NJ,2.025
2014,NV,0.3333333333333333
2014,NY,0.1
2014,OH,2.75
2014,OK,1.14
2014,OR,2.65
2014,PA,1.2200000000000002
2014,SC,2.0571428571428574
2014,TN,1.4249999999999998
2014,TX,1.9625000000000006
2014,VA,0.6142857142857142
2014,WA,0.2
2014,WI,0.1
2015,AL,2.1714285714285717
2015,AR,5.2
2015,AZ,2.7
2015,CA,1.3666666666666674
2015,CT,1.6
2015,FL,1.872222222222222
2015,GA,1.375
2015,HI,2.3
2015,IL,2.4
2015,IN,3.033333333333333
2015,KS,0.1
2015,KY,1.7333333333333334
2015,LA,0.9
2015,MA,0.2
2015,MI,0.1
2015,MO,2.95
2015,MS,2.14
2015,NC,1.7249999999999999
2015,NE,2.8
2015,NJ,1.325
2015,NV,0.44999999999999996
2015,NY,0.1
2015,OH,1.4200000000000002
2015,OK,0.2
2015,OR,0.6250000000000001
2015,PA,0.2
2015,SC,1.86
2015,TN,0.8200000000000001
2015,TX,1.763157894736843
2015,VA,1.1333333333333333
2015,WA,0.1
2015,WV,0.4
2016,AL,2.52
2016,AR,3.4
2016,AZ,3.6714285714285713
2016,CA,1.7954545454545459
2016,CT,0.6
2016,FL,1.7047619047619047
2016,GA,1.385714285714286
2016,HI,1.5
2016,IL,2.2666666666666666
2016,IN,0.35
2016,KS,1.1
2016,KY,2.15
2016,LA,2.725
2016,MI,1.8
2016,MO,2.325
2016,MS,2.4
2016,NC,1.433333333333333
2016,NE,0.9
2016,NJ,2.0500000000000003
2016,OH,2.8000000000000003
2016,OK,0.9
2016,OR,1.633333333333333
2016,PA,0.6499999999999999
2016,SC,2.86
2016,TN,0.9750000000000001
2016,TX,1.4500000000000004
2016,VA,1.2
2016,WV,3.0
2017,AL,2.6750000000000003
2017,AR,1.0
2017,AZ,1.542857142857143
2017,CA,1.7666666666666675
2017,CT,0.4
2017,FL,1.7687500000000003
2017,GA,3.75
2017,HI,1.8
2017,IL,1.1
2017,IN,3.1
2017,KY,0.2
2017,LA,1.1666666666666667
2017,MI,0.1
2017,MO,1.5666666666666667
2017,MS,2.8750000000000004
2017,NC,1.18
2017,NE,0.1
2017,NJ,3.4
2017,NV,0.5
2017,OH,1.3666666666666665
2017,OK,1.4
2017,OR,1.7
2017,PA,0.4
2017,SC,2.2166666666666663
2017,TN,0.76
2017,TX,1.37
2017,VA,1.1666666666666667
2017,WA,0.1
2017,WV,3.7
2018,AL,1.1333333333333333
2018,AR,1.1
2018,AZ,1.7750000000000001
2018,CA,2.1500000000000004
2018,CT,0.2
2018,FL,1.7133333333333336
2018,GA,0.475
2018,HI,3.5
2018,IL,1.4333333333333333
2018,IN,1.4
2018,KY,0.8500000000000001
2018,LA,3.0
2018,MI,0.1
2018,MO,1.18
2018,MS,0.6666666666666666
2018,NC,0.8
2018,NE,1.3
2018,NJ,1.9
2018,NV,0.1
2018,OH,0.5000000000000001
2018,OK,0.1
2018,OR,0.5
2018,PA,0.7
2018,SC,1.4833333333333332
2018,TN,1.0
2018,TX,2.5428571428571436
2018,VA,0.7000000000000001
2018,WV,1.25
