k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Orien Greene\greenor01,2010-11,28,NJN,NBA,33.0,3,0,5,7.2,14.4,7.2,14.4,0.0,0.0,7.2,14.4,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,21.6,.500,.500,,.500,.500,.521
2,LeBron James\jamesle01,2010-11,26,MIA,NBA,27.3,79,79,3063,8.9,17.5,7.8,14.2,1.1,3.3,5.9,7.8,0.9,6.0,6.9,6.5,1.5,0.6,3.3,1.9,24.8,.510,.552,.330,.541,.759,.594
3,Dwight Howard\howardw01,2010-11,25,ORL,NBA,26.1,78,78,2935,7.6,12.8,7.6,12.7,0.0,0.1,6.7,11.2,3.8,9.7,13.5,1.3,1.3,2.3,3.4,3.2,21.9,.593,.597,.000,.593,.596,.616
4,Dwyane Wade\wadedw01,2010-11,29,MIA,NBA,25.6,76,76,2823,8.8,17.6,8.0,15.0,0.8,2.6,6.3,8.3,1.6,4.6,6.2,4.4,1.4,1.1,3.0,2.5,24.8,.500,.534,.306,.523,.758,.581
5,Kevin Love\loveke01,2010-11,22,MIN,NBA,24.3,73,73,2611,6.6,14.1,5.4,11.2,1.2,2.9,5.8,6.9,4.5,10.8,15.3,2.5,0.6,0.4,2.1,2.0,20.4,.470,.483,.417,.513,.850,.593
6,Kobe Bryant\bryanko01,2010-11,32,LAL,NBA,23.9,82,82,2779,9.6,21.2,8.1,16.6,1.5,4.6,6.3,7.6,1.1,4.4,5.4,5.0,1.3,0.2,3.1,2.2,26.9,.451,.487,.323,.487,.828,.548
7,Chris Paul\paulch01,2010-11,25,NOH,NBA,23.7,80,80,2880,5.4,11.6,4.5,9.3,0.9,2.3,4.2,4.8,0.5,3.6,4.1,9.8,2.3,0.1,2.2,2.4,15.8,.463,.482,.388,.502,.878,.578
8,Kevin Durant\duranke01,2010-11,22,OKC,NBA,23.6,78,78,3038,8.4,18.2,6.7,13.3,1.7,4.9,7.0,8.0,0.7,5.6,6.3,2.5,1.0,0.9,2.6,1.9,25.6,.462,.504,.350,.509,.880,.589
9,Russell Westbrook\westbru01,2010-11,22,OKC,NBA,23.6,82,82,2847,7.8,17.6,7.3,16.3,0.4,1.3,6.7,8.0,1.5,3.3,4.8,8.5,2.0,0.4,4.0,2.6,22.7,.442,.451,.330,.454,.842,.538
10,Derrick Rose\rosede01,2010-11,22,CHI,NBA,23.5,81,81,3026,8.5,19.0,6.9,14.4,1.5,4.6,5.7,6.6,1.0,3.0,3.9,7.4,1.0,0.6,3.3,1.6,24.1,.445,.481,.332,.485,.858,.550
11,Dirk Nowitzki\nowitdi01,2010-11,32,DAL,NBA,23.4,73,73,2504,8.8,17.0,7.8,14.5,0.9,2.4,5.7,6.4,0.7,6.7,7.4,2.7,0.5,0.7,2.0,2.5,24.2,.517,.538,.393,.545,.892,.612
12,Pau Gasol\gasolpa01,2010-11,30,LAL,NBA,23.3,82,82,3037,7.0,13.3,7.0,13.2,0.0,0.0,4.2,5.1,3.2,6.7,9.9,3.2,0.6,1.5,1.7,2.4,18.3,.529,.530,.333,.530,.823,.589
13,Amar'e Stoudemire\stoudam01,2010-11,28,NYK,NBA,22.7,78,78,2870,9.3,18.6,9.2,18.3,0.1,0.3,5.9,7.5,2.5,5.5,8.0,2.5,0.9,1.9,3.1,3.4,24.7,.502,.503,.435,.505,.792,.565
14,Zach Randolph\randoza01,2010-11,29,MEM,NBA,22.6,75,74,2724,7.9,15.7,7.8,15.1,0.1,0.6,4.0,5.2,4.3,7.8,12.1,2.2,0.8,0.3,2.0,2.3,19.9,.503,.515,.186,.507,.758,.552
15,Tim Duncan\duncati01,2010-11,34,SAS,NBA,21.9,76,76,2156,7.0,14.0,7.0,13.9,0.0,0.1,3.1,4.3,2.8,8.5,11.3,3.4,0.8,2.4,2.0,2.0,17.1,.500,.502,.000,.500,.716,.537
16,Blake Griffin\griffbl01,2010-11,21,LAC,NBA,21.9,82,82,3112,8.1,15.9,8.0,15.6,0.1,0.3,5.2,8.0,3.1,8.3,11.4,3.6,0.7,0.5,2.6,2.9,21.3,.506,.510,.292,.508,.642,.549
17,Carmelo Anthony\anthoca01,2010-11,26,TOT,NBA,21.7,77,77,2751,9.0,19.7,7.7,16.4,1.2,3.3,6.6,7.9,1.5,5.8,7.4,2.9,0.9,0.6,2.7,2.9,25.8,.455,.470,.378,.487,.838,.557
18,Manu Ginobili\ginobma01,2010-11,33,SAS,NBA,21.7,80,79,2426,6.5,15.1,4.3,8.6,2.3,6.5,5.3,6.1,0.6,3.8,4.4,5.8,1.8,0.4,2.6,2.4,20.7,.433,.497,.349,.509,.871,.581
19,LaMarcus Aldridge\aldrila01,2010-11,25,POR,NBA,21.5,81,81,3211,7.9,15.9,7.9,15.6,0.0,0.3,3.9,5.0,3.1,4.8,7.9,1.9,0.9,1.1,1.7,2.5,19.8,.500,.505,.174,.501,.791,.549
20,Kevin Martin\martike02,2010-11,27,HOU,NBA,21.4,80,80,2603,7.6,17.5,5.2,11.2,2.4,6.3,8.2,9.3,0.4,3.2,3.6,2.7,1.1,0.2,2.5,2.1,25.9,.436,.467,.383,.506,.888,.601
21,Andrew Bynum\bynuman01,2010-11,23,LAL,NBA,21.1,54,47,1500,5.7,9.9,5.7,9.9,0.0,0.0,3.3,5.0,4.1,8.1,12.2,1.8,0.5,2.5,1.8,3.4,14.7,.574,.574,,.574,.660,.606
22,Deron Williams\willide01,2010-11,26,TOT,NBA,21.1,65,65,2465,6.3,14.2,4.7,9.6,1.5,4.6,5.1,6.0,0.6,3.2,3.8,9.7,1.2,0.2,3.4,2.8,19.1,.439,.491,.331,.493,.845,.566
23,Steve Nash\nashst01,2010-11,36,PHO,NBA,20.8,75,75,2497,5.8,11.7,4.6,8.7,1.2,3.0,3.3,3.6,0.6,3.2,3.7,12.3,0.7,0.1,3.8,1.3,15.9,.492,.525,.395,.542,.912,.601
24,Al Horford\horfoal01,2010-11,24,ATL,NBA,20.7,77,77,2704,6.8,12.3,6.8,12.2,0.0,0.1,2.0,2.5,2.4,7.1,9.6,3.5,0.8,1.1,1.6,2.6,15.7,.557,.557,.500,.558,.798,.587
25,Kevin Garnett\garneke01,2010-11,34,BOS,NBA,20.6,71,71,2220,7.0,13.3,7.0,13.2,0.0,0.1,3.0,3.5,1.3,8.9,10.2,2.8,1.5,0.9,1.9,2.4,17.1,.528,.530,.200,.529,.862,.575
26,Nene Hilario\hilarne01,2010-11,28,DEN,NBA,20.4,75,75,2291,6.3,10.3,6.3,10.2,0.0,0.1,4.5,6.3,2.3,6.7,9.0,2.3,1.3,1.1,2.1,3.7,17.1,.615,.618,.200,.615,.711,.657
27,Tony Parker\parketo01,2010-11,28,SAS,NBA,20.4,78,78,2528,7.9,15.2,7.5,14.2,0.4,1.0,3.3,4.3,0.4,3.0,3.4,7.3,1.3,0.0,2.8,1.9,19.5,.519,.531,.357,.531,.769,.569
28,David West\westda01,2010-11,30,NOH,NBA,20.4,70,70,2451,7.8,15.3,7.7,15.1,0.0,0.1,3.9,4.8,2.3,5.5,7.8,2.4,1.0,0.9,2.1,3.0,19.4,.508,.510,.222,.509,.807,.558
29,Al Jefferson\jeffeal01,2010-11,26,UTA,NBA,20.1,82,82,2940,8.0,16.2,8.0,16.2,0.0,0.0,2.7,3.5,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.7,.496,.496,,.496,.761,.528
30,Paul Millsap\millspa01,2010-11,25,UTA,NBA,19.8,76,76,2605,7.3,13.7,7.1,13.3,0.1,0.3,3.5,4.7,2.3,5.7,8.0,2.6,1.4,1.0,2.0,3.8,18.2,.531,.535,.391,.536,.757,.578
31,Yao Ming\mingya01,2010-11,30,HOU,NBA,19.8,5,5,91,7.1,14.6,7.1,14.6,0.0,0.0,5.9,6.3,2.8,7.9,10.7,1.6,0.0,3.2,2.8,5.1,20.2,.486,.486,,.486,.938,.579
32,Hamed Haddadi\haddaha01,2010-11,25,MEM,NBA,19.7,31,0,168,6.4,12.4,6.4,12.2,0.0,0.2,3.2,4.9,5.1,9.4,14.6,1.1,0.4,2.8,2.4,6.2,16.1,.517,.526,.000,.517,.652,.550
33,Paul Pierce\piercpa01,2010-11,33,BOS,NBA,19.7,80,80,2774,6.6,13.3,5.1,9.4,1.4,3.9,5.0,5.8,0.4,5.1,5.6,3.4,1.0,0.7,2.2,3.0,19.6,.497,.547,.374,.551,.860,.620
34,Chris Bosh\boshch01,2010-11,26,MIA,NBA,19.4,77,77,2795,6.7,13.6,6.7,13.3,0.1,0.3,4.9,6.1,1.8,6.4,8.3,1.9,0.8,0.6,1.8,2.2,18.5,.496,.502,.240,.499,.815,.569
35,Stephen Curry\curryst01,2010-11,22,GSW,NBA,19.4,74,74,2489,7.3,15.2,5.1,10.3,2.2,4.9,3.1,3.3,0.8,3.4,4.1,6.2,1.6,0.3,3.3,3.4,19.9,.480,.498,.442,.551,.934,.595
36,Devin Ebanks\ebankde01,2010-11,21,LAL,NBA,19.4,20,0,118,6.4,15.6,5.8,14.0,0.6,1.5,5.5,7.0,4.6,3.7,8.2,0.6,1.2,1.5,1.8,2.1,18.9,.412,.413,.400,.431,.783,.507
37,Lamar Odom\odomla01,2010-11,31,LAL,NBA,19.4,82,35,2639,6.5,12.2,5.5,9.8,0.9,2.4,2.3,3.4,2.4,7.3,9.7,3.4,0.6,0.8,1.9,2.7,16.1,.530,.566,.382,.568,.675,.589
