k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
70,Brandan Wright\wrighbr03,2015-16,28,MEM,NBA,18.3,12,2,212,5.9,8.8,5.9,8.8,0.0,0.0,2.2,4.1,2.4,4.9,7.3,1.0,0.8,2.5,1.7,3.6,14.1,.673,.673,,.673,.542,.663
71,Al Jefferson\jeffeal01,2015-16,31,CHO,NBA,18.2,47,18,1096,8.0,16.6,8.0,16.6,0.0,0.0,2.4,3.6,1.9,8.0,9.9,2.3,1.0,1.3,1.1,3.8,18.5,.485,.485,,.485,.649,.507
72,Tyreke Evans\evansty01,2015-16,26,NOP,NBA,17.9,25,25,765,6.4,14.8,4.8,10.8,1.6,4.0,3.5,4.4,0.9,5.1,6.1,7.7,1.5,0.4,3.4,3.1,17.8,.433,.450,.388,.486,.796,.534
73,Jeff Teague\teaguje01,2015-16,27,ATL,NBA,17.9,79,78,2255,6.9,15.8,5.2,11.4,1.8,4.4,4.2,5.0,0.5,2.9,3.4,7.5,1.5,0.4,3.5,2.7,19.8,.439,.454,.400,.495,.837,.551
74,Aron Baynes\baynear01,2015-16,29,DET,NBA,17.8,81,1,1233,5.7,11.2,5.7,11.2,0.0,0.1,3.7,4.8,4.1,7.1,11.2,1.5,0.6,1.5,2.0,4.4,15.0,.505,.508,.000,.505,.764,.563
75,James Ennis\ennisja01,2015-16,25,TOT,NBA,17.8,22,5,329,5.9,12.4,3.1,6.0,2.8,6.3,2.7,3.7,2.3,2.3,4.6,2.3,1.8,0.5,2.1,3.1,17.4,.478,.509,.448,.593,.735,.621
76,Manu Ginobili\ginobma01,2015-16,38,SAS,NBA,17.8,58,0,1134,6.3,13.8,4.0,8.1,2.2,5.7,2.9,3.6,0.8,3.8,4.6,5.6,2.1,0.3,3.1,3.1,17.6,.453,.496,.391,.533,.813,.573
77,Delon Wright\wrighde01,2015-16,23,TOR,NBA,17.8,27,1,229,5.7,12.6,4.9,10.5,0.8,2.0,4.1,5.5,1.3,4.6,5.8,4.9,1.3,0.5,2.5,1.1,16.2,.450,.463,.385,.481,.743,.540
78,Festus Ezeli\ezelife01,2015-16,26,GSW,NBA,17.7,46,13,770,5.8,10.7,5.8,10.7,0.0,0.0,3.3,6.2,4.3,7.8,12.0,1.5,0.8,2.3,1.8,4.4,15.0,.548,.548,,.548,.530,.559
79,Marc Gasol\gasolma01,2015-16,31,MEM,NBA,17.7,52,52,1791,6.6,14.2,6.6,14.2,0.0,0.1,4.1,4.9,1.2,6.1,7.3,3.9,1.0,1.4,2.4,2.8,17.3,.464,.463,.667,.465,.829,.528
80,CJ McCollum\mccolcj01,2015-16,24,POR,NBA,17.7,80,80,2780,8.3,18.5,5.7,12.4,2.6,6.1,2.4,2.9,0.6,2.7,3.4,4.4,1.3,0.3,2.5,2.4,21.6,.448,.463,.417,.517,.827,.544
81,Kristaps Porzingis\porzikr01,2015-16,20,NYK,NBA,17.7,72,72,2047,6.6,15.6,5.1,11.3,1.4,4.3,3.5,4.2,2.3,6.9,9.3,1.7,0.9,2.4,2.1,3.6,18.1,.421,.454,.333,.467,.838,.518
82,Lou Williams\willilo02,2015-16,29,LAL,NBA,17.7,67,35,1907,5.3,13.1,3.3,7.0,2.1,6.0,6.6,8.0,0.6,2.6,3.2,3.2,1.2,0.4,2.0,2.0,19.4,.408,.464,.344,.488,.830,.584
83,Jeff Withey\witheje01,2015-16,25,UTA,NBA,17.7,51,10,658,4.8,8.9,4.8,8.8,0.0,0.1,2.4,3.2,3.1,6.4,9.5,1.1,1.1,2.9,1.5,4.1,11.9,.537,.544,.000,.537,.729,.577
84,Cristiano Felicio\feliccr01,2015-16,23,CHI,NBA,17.6,31,4,321,4.5,8.1,4.5,7.6,0.0,0.4,2.8,3.9,3.4,8.1,11.4,2.9,0.7,1.5,1.5,3.5,11.8,.556,.588,.000,.556,.714,.601
85,Robin Lopez\lopezro01,2015-16,27,NYK,NBA,17.6,82,82,2219,5.8,10.7,5.8,10.7,0.0,0.0,2.1,2.6,4.3,5.4,9.8,1.8,0.3,2.1,2.2,3.0,13.7,.539,.540,.000,.539,.795,.574
86,Ricky Rubio\rubiori01,2015-16,25,MIN,NBA,17.6,76,76,2323,3.4,9.1,2.4,6.1,1.0,2.9,4.1,4.9,0.6,4.4,5.1,10.2,2.5,0.2,3.0,3.1,11.9,.374,.396,.326,.427,.847,.529
87,David West\westda01,2015-16,35,SAS,NBA,17.6,78,19,1404,6.3,11.5,6.2,11.3,0.1,0.2,1.6,2.1,1.8,6.1,7.9,3.7,1.1,1.4,1.7,3.6,14.2,.545,.546,.429,.548,.788,.573
88,Rudy Gobert\goberru01,2015-16,23,UTA,NBA,17.5,61,60,1932,3.7,6.6,3.7,6.6,0.0,0.0,3.0,5.3,3.9,8.6,12.4,1.7,0.8,2.5,2.1,3.0,10.4,.559,.559,,.559,.569,.582
89,Kyle O'Quinn\oquinky01,2015-16,25,NYK,NBA,17.5,65,1,764,6.1,12.8,5.8,11.7,0.2,1.0,2.2,2.8,3.6,8.2,11.8,3.4,0.9,2.3,2.9,5.0,14.6,.476,.498,.227,.485,.767,.520
90,J.J. Redick\redicjj01,2015-16,31,LAC,NBA,17.5,75,75,2097,7.2,15.1,3.8,7.9,3.4,7.2,3.1,3.5,0.2,2.2,2.4,1.8,0.7,0.1,1.3,2.3,21.0,.480,.484,.475,.593,.888,.632
91,Thaddeus Young\youngth01,2015-16,27,BRK,NBA,17.5,73,73,2407,7.4,14.4,7.3,14.0,0.1,0.4,1.6,2.4,2.6,7.2,9.9,2.0,1.7,0.6,2.0,2.7,16.5,.514,.523,.233,.518,.644,.533
92,Brandon Bass\bassbr01,2015-16,30,LAL,NBA,17.4,66,0,1342,4.7,8.5,4.7,8.5,0.0,0.1,3.4,4.0,2.8,4.9,7.6,2.0,0.9,1.5,1.1,3.4,12.7,.549,.552,.000,.549,.845,.619
93,Miles Plumlee\plumlmi01,2015-16,27,MIL,NBA,17.4,61,14,870,5.8,9.6,5.8,9.6,0.0,0.0,1.4,2.4,3.9,5.7,9.6,0.7,0.9,2.1,1.7,3.0,13.0,.601,.601,,.601,.576,.606
94,Jordan Adams\adamsjo01,2015-16,21,MEM,NBA,17.3,2,0,15,4.8,14.4,4.8,12.0,0.0,2.4,7.2,12.0,0.0,4.8,4.8,7.2,7.2,0.0,4.8,4.8,16.8,.333,.400,.000,.333,.600,.427
95,Mario Chalmers\chalmma01,2015-16,29,TOT,NBA,17.3,61,7,1373,4.8,11.6,3.6,7.7,1.2,3.9,5.7,6.9,0.6,3.5,4.1,6.0,2.3,0.3,2.9,4.7,16.5,.410,.461,.309,.462,.832,.561
96,Amar'e Stoudemire\stoudam01,2015-16,33,MIA,NBA,17.3,52,36,762,5.9,10.4,5.9,10.4,0.0,0.0,2.4,3.2,3.1,7.4,10.5,1.3,0.9,1.9,2.2,4.3,14.2,.566,.566,,.566,.746,.599
97,Ryan Anderson\anderry01,2015-16,27,NOP,NBA,17.2,66,7,2008,7.1,16.7,4.8,10.2,2.3,6.4,3.6,4.1,2.3,4.8,7.1,1.3,0.7,0.4,1.6,2.0,20.2,.427,.466,.366,.498,.873,.546
98,Mason Plumlee\plumlma01,2015-16,25,POR,NBA,17.2,82,82,2084,4.6,8.9,4.6,8.9,0.0,0.1,3.7,5.8,3.5,7.4,10.8,3.9,1.2,1.5,2.7,4.4,12.9,.516,.520,.000,.516,.642,.564
99,Derrick Williams\willide02,2015-16,24,NYK,NBA,17.2,80,9,1435,6.4,14.2,5.3,10.4,1.1,3.8,4.9,6.4,1.2,6.2,7.4,1.9,0.7,0.2,1.5,1.7,18.7,.450,.506,.293,.488,.758,.550
100,Gorgui Dieng\dienggo01,2015-16,26,MIN,NBA,17.1,82,39,2220,5.0,9.4,4.9,9.1,0.1,0.3,3.3,4.0,2.5,6.9,9.5,2.3,1.5,1.6,2.3,3.6,13.4,.532,.540,.300,.537,.827,.601
