k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,LeBron James\jamesle01,2012-13,28,MIA,NBA,31.6,76,76,2877,9.6,16.9,8.3,13.8,1.3,3.2,5.0,6.7,1.2,6.4,7.6,6.9,1.6,0.8,2.8,1.4,25.5,.565,.602,.406,.603,.753,.640
2,Henry Sims\simshe01,2012-13,22,NOH,NBA,29.2,2,0,5,14.4,21.6,14.4,21.6,0.0,0.0,0.0,0.0,14.4,0.0,14.4,0.0,0.0,0.0,7.2,7.2,28.8,.667,.667,,.667,,.667
3,Kevin Durant\duranke01,2012-13,24,OKC,NBA,28.3,81,81,3119,8.4,16.5,6.8,12.7,1.6,3.9,7.8,8.7,0.5,6.9,7.4,4.3,1.3,1.2,3.2,1.7,26.3,.510,.539,.416,.559,.905,.647
4,Chris Paul\paulch01,2012-13,27,LAC,NBA,26.4,70,70,2335,6.4,13.2,5.2,9.6,1.2,3.6,4.4,5.0,0.8,3.2,4.0,10.5,2.6,0.2,2.5,2.2,18.3,.481,.538,.328,.526,.885,.594
5,Carmelo Anthony\anthoca01,2012-13,28,NYK,NBA,24.8,67,67,2482,9.7,21.6,7.4,15.6,2.3,6.0,6.2,7.4,1.9,4.7,6.7,2.5,0.8,0.5,2.5,3.0,27.8,.449,.476,.379,.502,.830,.560
6,Brook Lopez\lopezbr01,2012-13,24,BRK,NBA,24.7,74,74,2253,9.1,17.5,9.1,17.5,0.0,0.0,4.7,6.3,3.3,4.9,8.2,1.1,0.5,2.5,2.1,2.4,23.0,.521,.522,.000,.521,.758,.567
7,Tim Duncan\duncati01,2012-13,36,SAS,NBA,24.4,69,69,2078,8.5,16.9,8.5,16.8,0.0,0.1,4.2,5.2,2.1,9.7,11.9,3.2,0.9,3.2,2.5,2.0,21.3,.502,.504,.286,.503,.817,.554
8,Dwyane Wade\wadedw01,2012-13,31,MIA,NBA,24.0,69,69,2391,8.6,16.5,8.3,15.5,0.3,1.0,4.6,6.4,1.3,3.9,5.2,5.3,1.9,0.8,2.9,2.1,22.0,.521,.537,.258,.528,.725,.571
9,Russell Westbrook\westbru01,2012-13,24,OKC,NBA,23.9,82,82,2861,8.5,19.3,7.2,15.5,1.2,3.8,5.8,7.2,1.4,4.0,5.4,7.6,1.8,0.3,3.4,2.4,23.9,.438,.466,.323,.470,.800,.532
10,Kobe Bryant\bryanko01,2012-13,34,LAL,NBA,23.0,78,78,3013,8.8,19.1,7.2,14.2,1.6,4.9,6.3,7.5,0.8,4.4,5.2,5.6,1.3,0.3,3.4,2.1,25.5,.463,.510,.324,.504,.839,.570
11,James Harden\hardeja01,2012-13,23,HOU,NBA,23.0,78,78,2985,7.1,16.1,4.9,10.3,2.2,5.9,8.1,9.6,0.7,3.8,4.6,5.5,1.7,0.5,3.6,2.1,24.4,.438,.477,.368,.504,.851,.600
12,Tony Parker\parketo01,2012-13,30,SAS,NBA,23.0,66,66,2174,8.6,16.5,8.2,15.4,0.4,1.1,4.6,5.5,0.3,3.0,3.3,8.3,0.9,0.1,2.8,1.5,22.2,.522,.534,.353,.534,.845,.588
13,Blake Griffin\griffbl01,2012-13,23,LAC,NBA,22.4,80,80,2598,8.0,14.9,7.9,14.5,0.1,0.4,3.9,5.9,2.6,6.6,9.2,4.1,1.3,0.7,2.6,3.2,20.0,.538,.548,.179,.541,.660,.572
14,Amar'e Stoudemire\stoudam01,2012-13,30,NYK,NBA,22.1,29,0,682,8.1,14.1,8.1,14.1,0.0,0.0,5.5,6.9,3.2,4.5,7.7,0.7,0.5,1.1,2.6,4.7,21.8,.577,.577,,.577,.808,.637
15,Andray Blatche\blatcan01,2012-13,26,BRK,NBA,21.9,82,8,1555,8.0,15.7,7.9,15.1,0.1,0.5,3.4,5.0,3.7,5.9,9.7,2.0,2.0,1.3,2.8,3.8,19.5,.512,.524,.136,.514,.685,.547
