k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
101,Mike Conley\conlemi01,2011-12,24,MEM,NBA,16.8,62,61,2174,4.9,11.3,3.9,8.7,1.0,2.6,2.3,2.6,0.4,2.2,2.6,6.7,2.3,0.2,2.1,2.2,13.0,.433,.450,.377,.477,.861,.523
102,Gustavo Ayon\ayongu01,2011-12,26,NOH,NBA,16.7,54,24,1088,4.6,8.6,4.6,8.6,0.0,0.0,1.3,2.1,2.8,5.9,8.8,2.4,1.8,1.5,1.5,3.9,10.6,.536,.538,.000,.536,.619,.552
103,Jose Calderon\caldejo01,2011-12,30,TOR,NBA,16.7,53,53,1799,4.4,9.5,3.2,6.4,1.2,3.2,1.2,1.4,0.4,2.8,3.2,9.4,0.9,0.1,2.1,1.9,11.1,.457,.500,.371,.519,.882,.547
104,Ramon Sessions\sessira01,2011-12,25,TOT,NBA,16.7,64,23,1707,5.1,11.9,4.2,9.9,0.9,2.0,4.1,5.2,0.7,3.8,4.5,7.5,0.9,0.1,3.0,2.1,15.2,.428,.425,.443,.466,.782,.535
105,Mike Dunleavy\dunlemi02,2011-12,31,MIL,NBA,16.6,55,3,1445,6.0,12.6,3.9,7.4,2.1,5.2,2.9,3.6,0.7,4.4,5.1,2.9,0.7,0.2,1.4,2.2,16.9,.474,.527,.399,.557,.811,.597
106,Kawhi Leonard\leonaka01,2011-12,20,SAS,NBA,16.6,64,39,1534,4.7,9.5,3.7,6.9,1.0,2.6,1.6,2.1,2.4,5.2,7.7,1.6,2.0,0.6,1.0,2.1,11.9,.493,.536,.376,.543,.773,.573
107,Jason Smith\smithja02,2011-12,25,NOH,NBA,16.6,40,29,947,6.9,13.2,6.8,12.9,0.0,0.3,1.3,1.8,2.7,4.7,7.5,1.3,0.8,1.6,1.5,3.9,15.1,.520,.531,.111,.522,.702,.537
108,Danilo Gallinari\gallida01,2011-12,23,DEN,NBA,16.5,43,40,1351,5.1,12.4,3.5,7.5,1.6,4.9,4.8,5.6,0.7,4.6,5.4,3.1,1.1,0.6,1.8,2.3,16.7,.414,.470,.328,.479,.871,.563
109,Paul George\georgpa01,2011-12,21,IND,NBA,16.5,66,66,1958,5.2,11.7,3.5,7.4,1.7,4.3,2.7,3.3,1.0,5.8,6.8,2.9,2.0,0.7,2.2,3.5,14.7,.440,.472,.385,.510,.802,.555
110,Kevin Martin\martike02,2011-12,28,HOU,NBA,16.5,40,40,1264,6.3,15.3,4.1,8.9,2.2,6.4,4.6,5.1,0.4,2.6,3.0,3.1,0.8,0.1,2.0,2.0,19.4,.413,.462,.347,.486,.894,.554
111,Tyreke Evans\evansty01,2011-12,22,SAC,NBA,16.4,63,61,2162,6.8,15.0,6.5,13.3,0.3,1.6,3.3,4.3,1.1,3.7,4.8,4.7,1.4,0.5,2.8,2.3,17.3,.453,.484,.202,.464,.779,.512
112,DeAndre Jordan\jordade01,2011-12,23,LAC,NBA,16.4,66,66,1798,4.1,6.5,4.1,6.5,0.0,0.0,1.5,2.8,4.0,6.9,10.9,0.3,0.6,2.7,1.5,3.8,9.7,.632,.634,.000,.632,.525,.626
113,Jason Thompson\thompja02,2011-12,25,SAC,NBA,16.4,64,47,1657,5.1,9.6,5.1,9.6,0.0,0.0,2.4,3.9,3.6,6.0,9.6,1.7,0.9,1.0,1.5,3.2,12.7,.535,.537,.000,.535,.602,.558
114,Hamed Haddadi\haddaha01,2011-12,26,MEM,NBA,16.3,35,0,206,4.5,8.4,4.5,8.2,0.0,0.2,3.1,4.5,4.9,7.5,12.4,1.4,0.2,4.5,3.7,7.5,12.2,.542,.553,.000,.542,.692,.589
115,John Lucas III\lucasjo02,2011-12,29,CHI,NBA,16.3,49,2,726,7.1,17.8,4.4,10.8,2.7,6.9,1.4,1.6,1.1,2.7,3.8,5.4,0.9,0.0,2.1,2.1,18.3,.399,.404,.393,.476,.875,.496
