k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Sim Bhullar\bhullsi01,2014-15,22,SAC,NBA,44.3,3,0,3,12.0,24.0,12.0,24.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,12.0,0.0,12.0,0.0,0.0,24.0,.500,.500,,.500,,.500
2,Eric Moreland\moreler01,2014-15,23,SAC,NBA,40.8,3,0,2,18.0,18.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,18.0,18.0,0.0,0.0,0.0,0.0,18.0,36.0,1.000,1.000,,1.000,,1.000
3,Tyrus Thomas\thomaty01,2014-15,28,MEM,NBA,31.4,2,0,7,5.1,5.1,5.1,5.1,0.0,0.0,10.3,10.3,0.0,0.0,0.0,5.1,0.0,0.0,0.0,0.0,20.6,1.000,1.000,,1.000,1.000,1.064
4,Anthony Davis\davisan02,2014-15,21,NOP,NBA,30.8,68,68,2455,9.4,17.6,9.4,17.4,0.0,0.2,5.4,6.8,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.3,.535,.540,.083,.536,.805,.591
5,Russell Westbrook\westbru01,2014-15,26,OKC,NBA,29.1,67,67,2302,9.8,23.0,8.5,18.5,1.3,4.5,8.5,10.2,1.9,5.7,7.6,9.0,2.2,0.2,4.6,2.9,29.5,.426,.457,.299,.455,.835,.536
6,Stephen Curry\curryst01,2014-15,26,GSW,NBA,28.0,80,80,2613,9.0,18.5,5.1,9.6,3.9,8.9,4.2,4.6,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2,.487,.528,.443,.594,.914,.638
7,Kevin Durant\duranke01,2014-15,26,OKC,NBA,27.6,27,27,913,9.4,18.4,6.9,12.1,2.5,6.3,5.8,6.7,0.6,6.4,7.0,4.3,0.9,1.0,2.9,1.6,27.0,.510,.565,.403,.578,.854,.633
8,James Harden\hardeja01,2014-15,25,HOU,NBA,26.7,81,81,2981,7.8,17.8,5.3,11.0,2.5,6.7,8.6,10.0,0.9,4.6,5.5,6.8,1.9,0.7,3.9,2.5,26.8,.440,.480,.375,.511,.868,.605
9,Hassan Whiteside\whiteha01,2014-15,25,MIA,NBA,26.2,48,32,1142,7.7,12.2,7.7,12.2,0.0,0.0,2.5,4.9,4.6,10.6,15.2,0.2,0.9,3.9,1.8,4.1,17.8,.628,.628,,.628,.500,.619
10,Chris Paul\paulch01,2014-15,29,LAC,NBA,26.0,82,82,2857,7.2,14.7,5.4,10.3,1.8,4.4,3.6,4.0,0.7,4.1,4.7,10.6,2.0,0.2,2.4,2.6,19.7,.485,.523,.398,.545,.900,.596
11,LeBron James\jamesle01,2014-15,30,CLE,NBA,25.9,69,69,2493,9.0,18.5,7.3,13.6,1.7,4.9,5.4,7.6,0.7,5.3,6.0,7.4,1.6,0.7,3.9,1.9,25.2,.488,.536,.354,.535,.710,.577
12,DeMarcus Cousins\couside01,2014-15,24,SAC,NBA,25.2,59,59,2013,8.9,19.1,8.9,18.9,0.0,0.1,7.6,9.7,3.3,10.1,13.4,3.8,1.6,1.8,4.5,4.3,25.4,.467,.469,.250,.468,.782,.545
13,LaMarcus Aldridge\aldrila01,2014-15,29,POR,NBA,22.8,71,71,2512,9.4,20.3,8.9,18.8,0.5,1.5,4.4,5.2,2.5,7.9,10.4,1.8,0.7,1.0,1.7,1.8,23.8,.466,.475,.352,.479,.845,.528
