k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,Pascal Siakam\siakapa01,2017-18,23,TOR,NBA,14.5,81,5,1679,5.4,10.7,4.8,7.8,0.6,2.8,1.2,1.9,1.7,6.1,7.8,3.4,1.3,0.9,1.4,3.6,12.6,.508,.612,.220,.537,.621,.549
202,Nicolas Batum\batumni01,2017-18,29,CHO,NBA,14.4,64,64,1981,4.9,11.8,3.2,6.8,1.7,5.0,2.0,2.4,1.0,4.5,5.6,6.3,1.2,0.4,2.4,1.3,13.4,.415,.473,.336,.486,.831,.523
203,Tim Hardaway\hardati02,2017-18,25,NYK,NBA,14.4,57,54,1885,6.9,16.3,4.4,8.5,2.5,7.8,2.8,3.4,0.6,3.7,4.3,3.0,1.2,0.2,1.8,2.3,19.0,.421,.516,.317,.496,.816,.533
204,Joe Ingles\inglejo01,2017-18,30,UTA,NBA,14.4,82,81,2578,4.7,10.0,1.8,3.5,2.8,6.5,0.9,1.2,0.3,4.5,4.8,5.5,1.3,0.3,2.2,2.5,13.1,.467,.516,.440,.609,.795,.623
205,Frank Kaminsky\kaminfr01,2017-18,24,CHO,NBA,14.4,79,4,1835,6.0,14.0,4.0,8.7,2.0,5.4,3.0,3.8,0.9,4.7,5.7,2.5,0.7,0.4,1.3,1.9,17.1,.429,.459,.380,.501,.799,.545
206,Mike Muscala\muscami01,2017-18,26,ATL,NBA,14.4,53,7,1060,4.9,10.6,2.8,4.9,2.1,5.7,1.9,2.1,1.9,5.9,7.8,1.7,1.1,0.9,1.4,2.7,13.8,.458,.559,.371,.558,.919,.597
207,Tarik Black\blackta01,2017-18,26,HOU,NBA,14.3,51,2,536,5.0,8.5,5.0,7.8,0.1,0.7,1.9,4.2,4.2,6.7,10.9,0.9,1.4,2.0,2.4,7.2,12.1,.591,.638,.091,.594,.460,.582
208,Malcolm Brogdon\brogdma01,2017-18,25,MIL,NBA,14.3,48,20,1436,6.1,12.6,4.6,8.6,1.6,4.0,1.9,2.1,0.6,3.3,3.9,3.8,1.0,0.3,1.7,3.2,15.7,.485,.532,.385,.547,.882,.578
209,DeMarre Carroll\carrode01,2017-18,31,BRK,NBA,14.3,73,73,2180,5.4,13.0,3.0,6.5,2.4,6.5,3.1,4.1,1.7,6.2,7.9,2.4,1.0,0.5,1.7,2.7,16.2,.414,.457,.371,.506,.764,.550
210,Jerian Grant\grantje02,2017-18,25,CHI,NBA,14.3,74,26,1686,4.5,10.7,3.2,6.7,1.3,4.0,3.0,4.0,0.7,3.0,3.7,7.3,1.3,0.2,1.9,2.8,13.2,.416,.468,.326,.476,.745,.528
211,Rodney Hood\hoodro01,2017-18,25,TOT,NBA,14.3,60,23,1616,7.2,16.7,4.3,9.3,2.8,7.4,2.5,2.9,0.5,3.2,3.7,2.1,1.0,0.3,1.6,2.3,19.6,.429,.467,.381,.513,.860,.546
212,Skal Labissiere\labissk01,2017-18,21,SAC,NBA,14.3,60,28,1240,6.0,13.3,5.4,11.8,0.5,1.5,2.8,3.4,2.9,5.5,8.4,2.1,0.7,1.4,2.1,3.8,15.2,.448,.459,.353,.467,.805,.513
213,Caris LeVert\leverca01,2017-18,23,BRK,NBA,14.3,71,10,1864,6.2,14.2,4.5,9.5,1.6,4.7,2.6,3.6,1.0,4.0,5.0,5.8,1.6,0.4,3.0,3.1,16.6,.435,.480,.347,.493,.711,.525
214,Tyson Chandler\chandty01,2017-18,35,PHO,NBA,14.2,46,46,1151,3.8,5.8,3.8,5.8,0.0,0.0,1.8,2.9,4.2,8.9,13.1,1.7,0.5,0.8,1.8,3.3,9.4,.647,.647,,.647,.624,.658
215,Kyle Kuzma\kuzmaky01,2017-18,22,LAL,NBA,14.2,77,37,2401,7.0,15.6,4.6,9.1,2.4,6.5,2.2,3.1,1.3,5.9,7.2,2.1,0.7,0.5,2.1,2.4,18.6,.450,.511,.366,.527,.707,.549
216,Shabazz Napier\napiesh01,2017-18,26,POR,NBA,14.2,74,10,1535,5.2,12.5,3.3,7.3,1.9,5.1,2.7,3.2,0.6,3.4,4.0,3.5,1.9,0.3,2.1,2.0,15.1,.420,.450,.376,.497,.841,.544
217,Marco Belinelli\belinma01,2017-18,31,TOT,NBA,14.1,80,2,1947,6.2,14.1,3.5,6.8,2.8,7.3,2.7,3.0,0.4,2.4,2.8,2.7,1.2,0.2,1.7,1.7,18.0,.441,.509,.377,.539,.908,.581
218,Davis Bertans\bertada01,2017-18,25,SAS,NBA,14.1,77,10,1086,5.3,12.1,2.2,3.8,3.1,8.4,1.3,1.6,0.6,4.5,5.1,2.5,0.9,0.9,1.2,3.1,15.1,.440,.588,.373,.568,.816,.588
219,Bismack Biyombo\biyombi01,2017-18,25,ORL,NBA,14.1,82,25,1495,4.4,8.5,4.4,8.5,0.0,0.0,2.5,3.8,3.5,7.8,11.3,1.6,0.5,2.3,2.0,3.8,11.3,.520,.521,.000,.520,.650,.556
220,Gerald Green\greenge01,2017-18,32,HOU,NBA,14.1,41,2,929,6.5,16.0,2.2,4.5,4.3,11.5,2.0,2.3,0.6,4.6,5.2,1.0,0.9,0.6,1.2,3.4,19.3,.407,.504,.369,.540,.850,.566
221,Tyus Jones\jonesty01,2017-18,21,MIN,NBA,14.1,82,11,1467,3.7,8.0,2.6,4.9,1.1,3.2,1.7,2.0,0.4,2.8,3.2,5.7,2.3,0.1,1.4,2.7,10.2,.457,.528,.349,.526,.877,.572
222,JaMychal Green\greenja01,2017-18,27,MEM,NBA,14.0,55,54,1542,5.2,11.4,4.2,8.4,1.0,3.0,1.9,2.6,3.4,7.4,10.8,1.8,0.7,0.6,1.8,3.6,13.3,.457,.499,.339,.501,.721,.530
223,Cameron Payne\payneca01,2017-18,23,CHI,NBA,14.0,25,14,582,5.4,13.3,3.2,7.7,2.2,5.6,0.7,1.0,1.1,3.2,4.3,7.0,1.6,0.6,2.2,2.7,13.7,.405,.419,.385,.486,.750,.498
224,Bojan Bogdanovic\bogdabo02,2017-18,28,IND,NBA,13.9,80,80,2464,5.9,12.4,3.6,6.8,2.3,5.6,2.6,3.0,0.4,3.5,3.9,1.7,0.8,0.1,1.5,1.9,16.7,.474,.534,.402,.565,.868,.605
225,Mike James\jamesmi02,2017-18,27,TOT,NBA,13.9,36,10,687,6.4,16.8,5.1,11.7,1.4,5.1,3.4,4.4,0.7,4.0,4.7,6.6,1.5,0.4,2.6,2.5,17.6,.383,.435,.265,.424,.762,.469
226,Eric Moreland\moreler01,2017-18,26,DET,NBA,13.9,67,3,805,3.0,5.5,3.0,5.5,0.0,0.0,0.5,1.3,3.6,8.8,12.4,3.5,1.4,2.3,1.9,5.2,6.4,.541,.541,,.541,.379,.531
227,JaKarr Sampson\sampsja02,2017-18,24,SAC,NBA,13.9,22,6,344,4.6,8.5,4.1,7.4,0.5,1.0,1.0,1.7,2.2,6.0,8.2,0.9,0.8,2.3,0.8,5.0,10.8,.543,.549,.500,.574,.625,.585
228,Anthony Tolliver\tollian01,2017-18,32,DET,NBA,13.9,79,14,1757,4.5,9.7,1.2,2.2,3.3,7.5,2.2,2.7,1.0,3.9,4.9,1.8,0.7,0.4,1.2,3.0,14.4,.464,.561,.436,.632,.797,.663
229,Marvin Williams\willima02,2017-18,31,CHO,NBA,13.9,78,78,2006,4.6,10.1,2.4,4.6,2.3,5.5,1.8,2.2,1.3,5.3,6.6,1.7,1.0,0.7,1.2,2.1,13.4,.458,.512,.413,.570,.829,.603
230,Danilo Gallinari\gallida01,2017-18,29,LAC,NBA,13.8,21,21,671,5.5,13.7,3.5,7.8,1.9,6.0,4.3,4.7,0.5,4.9,5.4,2.2,0.6,0.5,1.4,1.6,17.2,.398,.455,.324,.469,.931,.545
231,Brandon Ingram\ingrabr01,2017-18,20,LAL,NBA,13.8,59,59,1975,6.5,13.9,5.8,12.0,0.7,1.9,3.5,5.1,1.0,4.7,5.7,4.2,0.8,0.8,2.7,3.0,17.3,.470,.483,.390,.497,.681,.536
232,Mario Hezonja\hezonma01,2017-18,22,ORL,NBA,13.7,75,30,1657,5.9,13.4,4.0,7.6,2.0,5.8,1.9,2.3,0.9,5.2,6.1,2.3,1.8,0.7,1.9,2.9,15.7,.442,.523,.337,.515,.819,.544
233,Mike Scott\scottmi01,2017-18,29,WAS,NBA,13.7,76,1,1406,7.1,13.4,5.4,9.2,1.7,4.2,1.3,1.9,1.3,5.0,6.3,2.0,0.6,0.3,2.0,3.8,17.1,.527,.582,.405,.590,.658,.599
234,Marreese Speights\speigma01,2017-18,30,ORL,NBA,13.7,52,3,675,7.4,18.6,2.8,6.2,4.6,12.4,2.1,2.9,1.1,6.0,7.1,2.1,0.4,1.2,2.1,5.7,21.4,.395,.448,.369,.519,.727,.539
235,Jaylen Brown\brownja02,2017-18,21,BOS,NBA,13.6,70,70,2152,6.2,13.4,4.2,8.3,2.0,5.1,2.5,3.9,1.1,4.7,5.8,1.9,1.2,0.4,2.1,3.0,17.0,.465,.507,.395,.540,.644,.562
236,Reggie Bullock\bullore01,2017-18,26,DET,NBA,13.6,62,52,1732,5.5,11.3,3.0,5.5,2.6,5.8,0.8,1.0,0.6,2.6,3.2,2.0,1.0,0.3,1.0,1.5,14.5,.489,.536,.445,.603,.796,.615
237,Luke Kornet\kornelu01,2017-18,22,NYK,NBA,13.6,20,1,326,5.4,13.8,2.3,5.1,3.1,8.7,0.9,1.2,1.2,5.9,7.1,2.9,0.7,1.8,1.3,3.1,14.8,.392,.457,.354,.504,.727,.516
238,Chandler Parsons\parsoch01,2017-18,29,MEM,NBA,13.6,36,8,691,5.6,12.2,3.0,5.9,2.7,6.3,0.9,1.4,0.7,4.0,4.7,3.6,0.9,0.6,1.8,2.8,14.8,.462,.504,.421,.571,.630,.578
239,Josh Richardson\richajo01,2017-18,24,MIA,NBA,13.6,81,81,2689,5.3,11.8,3.6,7.3,1.7,4.5,1.6,1.9,0.9,2.9,3.8,3.1,1.6,1.0,1.9,2.7,14.0,.451,.495,.378,.523,.845,.551
240,Tristan Thompson\thomptr01,2017-18,26,CLE,NBA,13.6,53,22,1072,4.4,7.9,4.4,7.9,0.0,0.0,1.4,2.7,4.2,7.6,11.8,1.1,0.5,0.6,1.2,3.4,10.3,.562,.562,,.562,.544,.569
