k,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
201,Lester Hudson\hudsole01,2011-12,27,TOT,NBA,13.9,16,0,334,6.7,17.5,5.0,10.6,1.7,6.9,3.7,4.4,0.8,4.2,5.0,3.9,1.5,0.3,3.4,2.8,18.8,.383,.469,.250,.432,.829,.483
202,Luc Mbah a Moute\mbahalu01,2011-12,25,MIL,NBA,13.9,43,22,1009,4.7,9.3,4.7,9.2,0.0,0.1,2.4,3.7,2.7,5.4,8.1,1.0,1.4,0.8,1.4,3.3,11.9,.510,.514,.250,.511,.641,.544
203,Michael Redd\reddmi01,2011-12,32,PHO,NBA,13.9,51,2,770,6.7,16.8,4.8,10.7,2.0,6.2,4.1,5.2,0.7,2.9,3.6,1.5,0.6,0.0,1.7,1.4,19.5,.400,.447,.318,.458,.793,.511
204,Corey Brewer\breweco01,2011-12,25,DEN,NBA,13.7,59,17,1287,5.6,13.0,4.7,9.4,0.9,3.6,2.5,3.6,1.2,3.0,4.2,2.5,2.0,0.5,1.6,3.2,14.7,.434,.500,.260,.470,.692,.505
205,Josh Harrellson\harrejo01,2011-12,22,NYK,NBA,13.7,37,4,540,4.2,9.9,2.9,6.0,1.3,3.9,1.1,1.7,3.1,6.5,9.6,0.7,1.5,1.3,1.3,3.2,10.8,.423,.478,.339,.490,.615,.505
206,Mike James\jamesmi01,2011-12,36,CHI,NBA,13.7,11,0,120,6.0,14.7,4.2,11.7,1.8,3.0,2.1,2.4,0.6,2.4,3.0,8.7,1.2,0.6,4.2,6.0,15.9,.408,.359,.600,.469,.875,.505
207,Shannon Brown\brownsh01,2011-12,26,PHO,NBA,13.6,59,19,1400,6.5,15.4,4.7,10.5,1.7,4.8,2.1,2.5,1.0,3.1,4.0,1.8,1.1,0.4,1.6,1.7,16.7,.420,.446,.362,.477,.808,.507
208,Vince Carter\cartevi01,2011-12,35,DAL,NBA,13.6,61,40,1542,5.2,12.7,3.5,7.9,1.7,4.8,2.2,2.7,0.7,4.0,4.8,3.2,1.3,0.6,2.0,3.1,14.4,.411,.442,.361,.480,.826,.519
209,Darren Collison\collida01,2011-12,24,IND,NBA,13.6,60,56,1878,4.4,10.0,3.8,8.2,0.7,1.8,2.4,2.9,0.6,3.0,3.6,5.5,0.9,0.3,2.2,1.9,11.9,.440,.457,.362,.472,.830,.526
210,Kyle Korver\korveky01,2011-12,30,CHI,NBA,13.6,65,7,1469,4.4,10.1,1.5,3.5,2.9,6.6,1.3,1.6,0.6,3.3,3.9,2.7,0.9,0.4,1.3,2.7,13.0,.432,.426,.435,.575,.833,.600
211,Tracy McGrady\mcgratr01,2011-12,32,ATL,NBA,13.6,52,0,837,4.3,9.9,3.7,8.5,0.6,1.4,2.4,3.6,1.0,5.6,6.6,4.7,0.7,0.6,2.3,1.5,11.7,.437,.434,.455,.470,.675,.510
212,Jannero Pargo\pargoja01,2011-12,32,ATL,NBA,13.6,50,0,671,5.6,13.6,2.8,6.2,2.8,7.4,1.0,1.1,0.5,3.4,3.9,5.2,1.1,0.1,2.6,3.4,15.1,.415,.452,.384,.520,.950,.539
213,Luke Ridnour\ridnolu01,2011-12,30,MIN,NBA,13.6,53,53,1750,5.0,11.3,4.0,8.2,1.0,3.1,2.2,2.4,0.4,2.5,2.9,5.2,1.2,0.3,2.0,2.8,13.1,.440,.485,.322,.485,.891,.530
214,Craig Smith\smithcr01,2011-12,28,POR,NBA,13.6,47,0,464,4.6,9.1,4.6,9.0,0.0,0.1,2.9,4.1,2.6,6.0,8.5,1.5,1.2,0.4,1.9,4.3,12.1,.504,.509,.000,.504,.717,.556
215,Greg Stiemsma\stiemgr01,2011-12,26,BOS,NBA,13.6,55,3,766,3.1,5.7,3.1,5.7,0.0,0.0,1.4,1.9,2.3,6.1,8.3,1.3,1.7,4.0,1.6,6.8,7.6,.545,.545,,.545,.707,.579
216,Randy Foye\foyera01,2011-12,28,LAC,NBA,13.5,65,48,1682,5.5,13.8,2.8,6.7,2.7,7.0,1.6,1.8,0.5,2.4,3.0,3.1,1.0,0.5,1.6,2.8,15.2,.398,.410,.386,.496,.859,.522
217,Ben Gordon\gordobe01,2011-12,28,DET,NBA,13.5,52,21,1398,6.0,13.6,4.4,9.9,1.6,3.8,3.0,3.5,0.4,2.8,3.1,3.3,0.9,0.3,3.0,2.9,16.7,.442,.446,.429,.501,.860,.549
218,Ian Mahinmi\mahinia01,2011-12,25,DAL,NBA,13.5,61,12,1139,4.1,7.5,4.1,7.5,0.0,0.0,3.0,4.6,3.4,5.7,9.1,0.4,1.2,1.0,1.6,5.6,11.2,.546,.549,.000,.546,.639,.585
219,Brian Scalabrine\scalabr01,2011-12,33,CHI,NBA,13.5,28,0,122,4.1,8.9,3.8,6.8,0.3,2.1,0.9,1.8,2.4,3.8,6.2,4.4,1.5,1.8,2.7,2.7,9.4,.467,.565,.143,.483,.500,.490
220,Omer Asik\asikom01,2011-12,25,CHI,NBA,13.4,66,2,971,2.9,5.8,2.9,5.8,0.0,0.0,1.7,3.8,4.7,8.3,13.0,1.2,1.1,2.5,2.5,4.5,7.6,.506,.506,,.506,.456,.509
221,Jeff Ayres\pendeje02,2011-12,24,IND,NBA,13.4,20,1,106,5.1,12.2,5.1,12.2,0.0,0.0,1.4,2.4,4.1,7.1,11.2,1.4,1.0,0.7,0.7,5.4,11.5,.417,.417,,.417,.571,.435
222,Raymond Felton\feltora01,2011-12,27,POR,NBA,13.4,60,56,1906,4.9,12.1,3.8,8.3,1.2,3.8,1.9,2.3,0.5,2.3,2.8,7.4,1.5,0.2,3.2,2.3,12.9,.407,.453,.305,.455,.806,.491
223,Andre Emmett\emmetan01,2011-12,29,NJN,NBA,13.3,6,0,45,3.2,5.6,3.2,4.8,0.0,0.8,4.0,6.4,1.6,3.2,4.8,0.8,1.6,0.8,1.6,1.6,10.4,.571,.667,.000,.571,.625,.618
224,Rudy Fernandez\fernaru01,2011-12,26,DEN,NBA,13.3,31,1,710,5.0,11.4,3.0,5.2,2.0,6.2,1.5,2.2,0.5,2.8,3.3,3.8,1.6,0.2,2.0,1.9,13.6,.440,.573,.328,.529,.698,.549
225,Gary Forbes\forbega01,2011-12,26,TOR,NBA,13.3,48,2,713,5.7,13.7,4.2,9.5,1.5,4.2,3.3,4.6,1.4,3.8,5.2,2.7,1.2,0.2,2.7,2.8,16.1,.413,.441,.349,.467,.725,.513
226,Chandler Parsons\parsoch01,2011-12,23,HOU,NBA,13.3,63,57,1804,4.9,11.0,3.8,7.4,1.2,3.6,0.9,1.6,1.8,4.2,6.0,2.7,1.5,0.6,1.6,2.8,12.0,.452,.507,.337,.506,.551,.513
227,Jason Richardson\richaja01,2011-12,31,ORL,NBA,13.3,54,54,1591,5.5,13.5,3.2,7.2,2.3,6.3,0.9,1.6,0.8,3.6,4.4,2.4,1.2,0.5,1.4,2.1,14.2,.408,.442,.368,.493,.594,.502
228,Larry Sanders\sandela01,2011-12,23,MIL,NBA,13.3,52,0,643,4.7,10.3,4.7,10.2,0.0,0.1,1.0,2.1,3.5,5.5,9.0,1.8,1.8,4.3,2.4,7.4,10.4,.457,.462,.000,.457,.474,.463
229,Tristan Thompson\thomptr01,2011-12,20,CLE,NBA,13.3,60,25,1424,4.9,11.2,4.9,11.1,0.0,0.1,2.7,4.9,4.7,5.1,9.8,0.7,0.7,1.6,2.0,3.4,12.5,.439,.441,.000,.439,.552,.469
230,C.J. Watson\watsocj01,2011-12,27,CHI,NBA,13.3,49,25,1159,5.0,13.6,2.9,8.2,2.1,5.4,2.6,3.2,0.7,2.6,3.3,6.2,1.4,0.2,3.0,3.2,14.7,.368,.352,.393,.446,.808,.491
231,Matt Bonner\bonnema01,2011-12,31,SAS,NBA,13.2,65,2,1326,4.2,9.5,1.3,2.7,2.9,6.8,0.4,0.6,0.8,5.0,5.8,1.7,0.4,0.6,0.4,1.8,11.6,.440,.490,.420,.590,.762,.597
232,Glen Davis\davisgl01,2011-12,26,ORL,NBA,13.2,61,13,1427,5.7,13.5,5.6,13.1,0.1,0.4,2.9,4.2,2.7,5.7,8.4,1.2,1.1,0.5,1.9,2.7,14.3,.421,.429,.143,.423,.683,.466
233,Alonzo Gee\geeal01,2011-12,24,CLE,NBA,13.2,63,31,1827,4.5,10.9,3.6,8.2,0.9,2.7,3.3,4.2,2.0,4.4,6.3,2.2,1.6,0.3,2.2,2.9,13.1,.412,.442,.321,.452,.788,.516
234,Richard Hamilton\hamilri01,2011-12,33,CHI,NBA,13.2,28,28,697,7.2,16.0,6.4,13.6,0.9,2.4,1.5,1.9,1.0,2.4,3.4,4.3,0.6,0.1,2.5,2.9,16.8,.452,.466,.370,.479,.784,.500
235,Timofey Mozgov\mozgoti01,2011-12,25,DEN,NBA,13.2,44,35,687,5.2,10.0,5.2,10.0,0.0,0.0,2.0,3.0,2.8,6.6,9.4,1.2,0.8,2.2,2.8,4.5,12.5,.526,.526,,.526,.684,.556
236,Sebastian Telfair\telfase01,2011-12,26,PHO,NBA,13.2,60,1,895,5.7,13.8,4.3,9.5,1.3,4.2,2.1,2.7,0.8,2.9,3.7,5.6,1.6,0.5,2.7,4.8,14.8,.412,.456,.314,.461,.791,.495
237,Jason Kidd\kiddja01,2011-12,38,DAL,NBA,13.1,48,48,1379,2.6,7.1,0.5,1.3,2.1,5.8,0.6,0.7,0.4,4.8,5.2,6.9,2.1,0.3,2.4,2.2,7.8,.363,.400,.354,.507,.786,.524
238,Anthony Morrow\morroan01,2011-12,26,NJN,NBA,13.1,62,18,1636,6.0,14.5,3.7,8.2,2.3,6.3,2.1,2.3,0.7,2.1,2.8,1.3,1.0,0.2,1.5,1.9,16.4,.413,.446,.371,.494,.933,.531
239,Beno Udrih\udrihbe01,2011-12,29,MIL,NBA,13.1,59,0,1080,4.9,11.1,4.3,9.1,0.6,2.0,1.3,1.8,0.9,2.5,3.4,7.6,1.2,0.0,2.6,2.3,11.6,.440,.473,.288,.465,.709,.488
240,Hakim Warrick\warriha01,2011-12,29,PHO,NBA,13.1,35,0,503,5.3,12.9,5.2,12.2,0.1,0.7,5.4,7.1,2.2,4.4,6.6,2.1,0.6,0.2,2.6,2.5,16.1,.411,.429,.100,.414,.768,.503
241,Terrence Williams\willite01,2011-12,24,TOT,NBA,13.1,30,0,550,5.6,13.0,4.5,9.9,1.0,3.0,1.8,3.0,0.9,5.8,6.7,4.3,1.3,0.5,2.8,2.3,13.9,.429,.454,.348,.470,.587,.488
242,Michael Beasley\beaslmi01,2011-12,23,MIN,NBA,13.0,47,7,1087,7.3,16.5,6.1,13.1,1.3,3.3,2.0,3.1,1.3,5.6,6.9,1.5,0.6,0.6,2.6,2.7,17.9,.445,.462,.376,.483,.642,.502
243,Mario Chalmers\chalmma01,2011-12,25,MIA,NBA,13.0,64,64,1825,4.4,9.8,2.4,4.7,2.0,5.1,1.6,2.0,0.3,3.1,3.4,4.4,1.9,0.2,2.8,3.3,12.4,.448,.513,.388,.549,.792,.578
244,Byron Mullens\mulleby01,2011-12,22,CHA,NBA,13.0,65,25,1465,6.2,14.5,5.9,13.3,0.3,1.3,2.3,2.8,2.4,5.7,8.0,1.4,0.5,1.3,1.8,3.4,14.9,.425,.443,.235,.435,.821,.473
245,Julyan Stone\stoneju01,2011-12,23,DEN,NBA,13.0,22,2,179,2.6,6.2,2.2,4.0,0.4,2.2,1.6,2.2,1.0,4.0,5.0,7.4,1.6,1.2,2.2,3.6,7.2,.419,.550,.182,.452,.727,.502
246,MarShon Brooks\brookma01,2011-12,23,NJN,NBA,12.9,56,47,1648,6.0,14.0,5.0,10.7,1.0,3.3,2.5,3.2,1.5,2.8,4.4,2.9,1.1,0.3,2.6,2.5,15.5,.428,.463,.313,.465,.764,.502
