Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2009,1,1,Nationals,RHP,Stephen Strasburg,San Diego State,4YR,CA,Y,"$7,500,000"
2009,1,2,Mariners,OF,Dustin Ackley,North Carolina,4YR,NC,Y,"$6,000,000"
2009,1,3,Padres,OF,Donavan Tate,Cartersville (Ga.) HS,HS,GA,Y,"$6,250,000"
2009,1,4,Pirates,C,Tony Sanchez,Boston College,4YR,MA,Y,"$2,500,000"
2009,1,5,Orioles,RHP,Matt Hobgood,Norco (Calif.) HS,HS,CA,Y,"$2,422,000"
2009,1,6,Giants,RHP,Zack Wheeler,"East Paulding HS, Dallas, Ga.",HS,GA,Y,"$3,300,000"
2009,1,7,Braves,LHP,Mike Minor,Vanderbilt,4YR,TN,Y,"$2,420,000"
2009,1,8,Reds,RHP,Mike Leake,Arizona State,4YR,AZ,Y,"$2,270,000"
2009,1,9,Tigers,RHP,Jacob Turner,"Westminster Christian Academy, St. Louis",HS,MO,Y,"$4,700,000"
2009,1,10,Nationals,RHP,Drew Storen,Stanford,4YR,CA,Y,"$1,600,000"
2009,1,11,Rockies,LHP,Tyler Matzek,"Capistrano Valley HS, Mission Viejo, Calif.",HS,CA,Y,"$3,900,000"
2009,1,12,Royals,RHP,Aaron Crow,Fort Worth (American Association),NS,TX,Y,"$1,500,000"
2009,1,13,Athletics,SS,Grant Green,Southern California,4YR,CA,Y,"$2,750,000"
2009,1,14,Rangers,LHP,Matt Purke,Klein (Texas) HS,HS,TX,N,
2009,1,15,Indians,RHP,Alex White,North Carolina,4YR,NC,Y,"$2,250,000"
2009,1,16,Diamondbacks,3B,Bobby Borchering,"Bishop Verot HS, Fort Myers, Fla.",HS,FL,Y,"$1,800,000"
2009,1,17,Diamondbacks,OF,A.J. Pollock,Notre Dame,4YR,IN,Y,"$1,400,000"
2009,1,18,Marlins,LHP,Chad James,Yukon (Okla.) HS,HS,OK,Y,"$1,700,000"
2009,1,19,Cardinals,RHP,Shelby Miller,Brownwood (Texas) HS,HS,TX,Y,"$2,875,000"
2009,1,20,Blue Jays,RHP,Chad Jenkins,Kennesaw State,4YR,GA,Y,"$1,359,000"
2009,1,21,Astros,SS,Jio Mier,"Bonita HS, La Verne, Calif.",HS,CA,Y,"$1,358,000"
2009,1,22,Twins,RHP,Kyle Gibson,Missouri,4YR,MO,Y,"$1,850,000"
2009,1,23,White Sox,OF,Jared Mitchell,Louisiana State,4YR,LA,Y,"$1,200,000"
2009,1,24,Angels,OF,Randal Grichuk,"Lamar Consolidated HS, Rosenberg, Texas",HS,TX,Y,"$1,242,000"
2009,1,25,Angels,OF,Mike Trout,Millville (N.J.) HS,HS,NJ,Y,"$1,215,000"
2009,1,26,Brewers,RHP,Eric Arnett,Indiana,4YR,IN,Y,"$1,197,000"
2009,1,27,Mariners,SS,Nick Franklin,"Lake Brantley HS, Altamonte Springs, Fla.",HS,FL,Y,"$1,280,000"
2009,1,28,Red Sox,OF,Rey Fuentes,"Fernando Callejo HS, Manati, P.R.",HS,PR,Y,"$1,134,000"
2009,1,29,Yankees,OF,Slade Heathcott,"Texas HS, Texarkana, Texas",HS,TX,Y,"$2,200,000"
2009,1,30,Rays,2B,LeVon Washington,"Buchholz HS, Gainesville, Fla.",HS,FL,N,
2009,1,31,Cubs,OF,Brett Jackson,California,4YR,CA,Y,"$972,000"
