Year,RD,Pick,Team,Pos,Player,School,Type,ST,Signed,Bonus
2016,1,1,Phillies,OF,Mickey Moniak,"La Costa Canyon HS, Carlsbad, Calif.",HS,CA,Y,"$6,100,000"
2016,1,2,Reds,3B,Nick Senzel,Tennessee,4YR,TN,Y,"$6,200,000"
2016,1,3,Braves,RHP,Ian Anderson,"Shenendehowa HS, Clifton Park, N.Y.",HS,NY,Y,"$4,000,000"
2016,1,4,Rockies,RHP,Riley Pint,"St. Thomas Aquinas HS, Overland Park, Kan.",HS,KS,Y,"$4,800,000"
2016,1,5,Brewers,OF,Corey Ray,Louisville,4YR,KY,Y,"$4,125,000"
2016,1,6,Athletics,LHP,A.J. Puk,Florida,4YR,FL,Y,"$4,069,200"
2016,1,7,Marlins,LHP,Braxton Garrett,Florence (Ala.) HS,HS,AL,Y,"$4,145,900"
2016,1,8,Padres,RHP,Cal Quantrill,Stanford,4YR,CA,Y,"$3,963,045"
2016,1,9,Tigers,RHP,Matt Manning,"Sheldon HS, Sacramento",HS,CA,Y,"$3,505,800"
2016,1,10,White Sox,C,Zack Collins,Miami,4YR,FL,Y,"$3,380,600"
2016,1,11,Mariners,OF,Kyle Lewis,Mercer,4YR,GA,Y,"$3,286,700"
2016,1,12,Red Sox,LHP,Jay Groome,Barnegat (N.J.) HS,HS,NJ,Y,"$3,650,000"
2016,1,13,Rays,3B,Josh Lowe,"Pope HS, Marietta, Ga.",HS,GA,Y,"$2,597,500"
2016,1,14,Indians,OF,Will Benson,"The Westminster Schools, Atlanta",HS,GA,Y,"$2,500,000"
2016,1,15,Twins,OF,Alex Kirilloff,"Plum HS, Pittsburgh",HS,PA,Y,"$2,817,100"
2016,1,16,Angels,C,Matt Thaiss,Virginia,4YR,VA,Y,"$2,150,000"
2016,1,17,Astros,RHP,Forrest Whitley,"Alamo Heights HS, San Antonio",HS,TX,Y,"$3,148,000"
2016,1,18,Yankees,OF,Blake Rutherford,"Chaminade College Prep, Canoga Park, Calif.",HS,CA,Y,"$3,282,000"
2016,1,19,Mets,RHP,Justin Dunn,Boston College,4YR,MA,Y,"$2,378,800"
2016,1,20,Dodgers,SS,Gavin Lux,"Indian Trail HS, Kenosha, Wis.",HS,WI,Y,"$2,314,500"
2016,1,21,Blue Jays,RHP,T.J. Zeuch,Pittsburgh,4YR,PA,Y,"$2,175,000"
2016,1,22,Pirates,3B,Will Craig,Wake Forest,4YR,NC,Y,"$2,253,700"
2016,1,23,Cardinals,SS,Delvin Perez,"International Baseball Academy, Ceiba, P.R.",HS,PR,Y,"$2,222,500"
2016,1,24,Padres,SS,Hudson Potts,"Carroll HS, Southlake, Texas",HS,TX,Y,"$1,000,000"
2016,1,25,Padres,LHP,Eric Lauer,Kent State,4YR,OH,Y,"$2,000,000"
2016,1,26,White Sox,RHP,Zack Burdi,Louisville,4YR,KY,Y,"$2,128,500"
2016,1,27,Orioles,RHP,Cody Sedlock,Illinois,4YR,IL,Y,"$2,097,200"
2016,1,28,Nationals,SS,Carter Kieboom,"Walton HS, Marietta, Ga.",HS,GA,Y,"$2,000,000"
2016,1,29,Nationals,RHP,Dane Dunning,Florida,4YR,FL,Y,"$2,000,000"
2016,1,30,Rangers,LHP,Cole Ragans,"North Florida Christian HS, Tallahassee, Fla.",HS,FL,Y,"$2,003,400"
2016,1,31,Mets,LHP,Anthony Kay,Connecticut,4YR,CT,Y,"$1,100,000"
2016,1,32,Dodgers,C,Will Smith,Louisville,4YR,KY,Y,"$1,772,500"
2016,1,33,Cardinals,OF,Dylan Carlson,Elk Grove (Calif.) HS,HS,CA,Y,"$1,350,000"
2016,1,34,Cardinals,RHP,Dakota Hudson,Mississippi State,4YR,MS,Y,"$2,000,000"
