Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1801,Larry Sanders\sandela01,2011-12,23,MIL,NBA,13.3,52,0,643,84,184,84,182,0,2,18,38,62,98,160,33,32,76,43,133,186,.457,.462,.000,.457,.474,.463
1802,Kurt Thomas\thomaku01,2012-13,40,NYK,NBA,13.3,39,17,392,45,83,44,82,1,1,6,13,24,65,89,21,10,16,8,52,97,.542,.537,1.000,.548,.462,.547
1803,Tristan Thompson\thomptr01,2011-12,20,CLE,NBA,13.3,60,25,1424,194,442,194,440,0,2,106,192,187,202,389,27,27,62,81,134,494,.439,.441,.000,.439,.552,.469
1804,Anthony Tolliver\tollian01,2010-11,25,MIN,NBA,13.3,65,4,1362,141,313,94,198,47,115,105,131,92,203,295,82,28,28,49,145,434,.450,.475,.409,.526,.802,.585
1805,P.J. Tucker\tuckepj01,2013-14,28,PHO,NBA,13.3,81,81,2490,265,615,191,424,74,191,156,201,161,368,529,141,110,23,102,204,760,.431,.450,.387,.491,.776,.540
1806,Jarvis Varnado\varnaja01,2013-14,25,TOT,NBA,13.3,24,0,339,36,60,36,60,0,0,27,52,19,44,63,13,10,29,10,62,99,.600,.600,,.600,.519,.597
1807,C.J. Watson\watsocj01,2011-12,27,CHI,NBA,13.3,49,25,1159,161,437,93,264,68,173,84,104,21,84,105,200,45,8,97,103,474,.368,.352,.393,.446,.808,.491
1808,Nick Young\youngni01,2012-13,27,PHI,NBA,13.3,59,17,1411,224,542,149,332,75,210,105,128,24,106,130,84,36,14,50,84,628,.413,.449,.357,.482,.820,.525
1809,Tony Allen\allento01,2012-13,31,MEM,NBA,13.2,79,79,2109,284,638,281,614,3,24,134,187,121,242,363,98,119,44,94,211,705,.445,.458,.125,.447,.717,.489
1810,Al-Farouq Aminu\aminual01,2013-14,23,NOP,NBA,13.2,80,65,2045,234,494,221,446,13,48,91,137,129,367,496,114,82,38,88,147,572,.474,.496,.271,.487,.664,.516
1811,Matt Bonner\bonnema01,2011-12,31,SAS,NBA,13.2,65,2,1326,154,350,49,100,105,250,16,21,29,185,214,61,15,21,14,68,429,.440,.490,.420,.590,.762,.597
1812,Avery Bradley\bradlav01,2015-16,25,BOS,NBA,13.2,76,72,2536,456,1019,309,612,147,407,96,123,48,172,220,158,117,19,109,164,1155,.447,.505,.361,.520,.780,.538
1813,Kentavious Caldwell-Pope\caldwke01,2017-18,24,LAL,NBA,13.2,74,74,2458,340,798,181,383,159,415,153,194,60,327,387,162,106,16,97,145,992,.426,.473,.383,.526,.789,.561
1814,Wilson Chandler\chandwi01,2014-15,27,DEN,NBA,13.2,78,75,2471,418,975,279,569,139,406,110,142,96,379,475,134,58,29,110,231,1085,.429,.490,.342,.500,.775,.523
1815,Jordan Clarkson\clarkjo01,2016-17,24,LAL,NBA,13.2,82,19,2397,477,1071,360,715,117,356,134,168,49,197,246,213,88,8,164,150,1205,.445,.503,.329,.500,.798,.526
1816,Nick Collison\collini01,2017-18,37,OKC,NBA,13.2,15,0,75,13,19,13,19,0,0,5,13,7,13,20,4,0,0,7,7,31,.684,.684,,.684,.385,.627
1817,Robert Covington\covinro01,2016-17,26,PHI,NBA,13.2,67,67,2119,292,732,155,320,137,412,143,174,92,344,436,102,127,69,131,203,864,.399,.484,.333,.492,.822,.534
1818,Robert Covington\covinro01,2015-16,25,PHI,NBA,13.2,67,49,1903,274,712,104,230,170,482,140,177,65,354,419,97,105,40,143,232,858,.385,.452,.353,.504,.791,.543
1819,Glen Davis\davisgl01,2011-12,26,ORL,NBA,13.2,61,13,1427,225,534,223,520,2,14,114,167,107,224,331,47,43,19,75,106,566,.421,.429,.143,.423,.683,.466
1820,Goran Dragic\dragigo01,2010-11,24,TOT,NBA,13.2,70,5,1234,192,441,136,286,56,155,83,133,36,106,142,204,50,10,117,125,523,.435,.476,.361,.499,.624,.524
1821,Jordan Farmar\farmajo01,2015-16,29,MEM,NBA,13.2,12,10,291,42,100,26,55,16,45,10,10,4,21,25,37,15,2,18,22,110,.420,.473,.356,.500,1.000,.527
1822,Channing Frye\fryech01,2013-14,30,PHO,NBA,13.2,82,82,2312,336,778,176,346,160,432,78,95,73,343,416,98,60,63,89,245,910,.432,.509,.370,.535,.821,.555
1823,Alonzo Gee\geeal01,2011-12,24,CLE,NBA,13.2,63,31,1827,227,551,183,414,44,137,167,212,101,221,322,113,83,17,114,149,665,.412,.442,.321,.452,.788,.516
1824,Daniel Gibson\gibsoda01,2010-11,24,CLE,NBA,13.2,67,15,1865,264,660,146,367,118,293,134,163,24,153,177,201,48,21,80,154,780,.400,.398,.403,.489,.822,.533
1825,Eric Gordon\gordoer01,2016-17,28,HOU,NBA,13.2,75,15,2323,412,1016,166,355,246,661,147,175,29,172,201,188,48,41,121,150,1217,.406,.468,.372,.527,.840,.557
1826,Jerian Grant\grantje02,2016-17,24,CHI,NBA,13.2,63,28,1028,128,301,79,167,49,134,65,73,17,94,111,121,47,8,44,93,370,.425,.473,.366,.507,.890,.555
1827,Danny Green\greenda02,2010-11,23,SAS,NBA,13.2,8,0,92,17,35,10,16,7,19,0,0,3,12,15,2,2,1,5,7,41,.486,.625,.368,.586,,.586
1828,Richard Hamilton\hamilri01,2011-12,33,CHI,NBA,13.2,28,28,697,140,310,123,264,17,46,29,37,20,46,66,84,12,1,49,56,326,.452,.466,.370,.479,.784,.500
1829,Gerald Henderson\hendege02,2010-11,23,CHA,NBA,13.2,68,30,1661,259,570,252,534,7,36,128,163,49,158,207,101,50,32,64,118,653,.454,.472,.194,.461,.785,.509
