Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1601,Jordan Hamilton\hamiljo02,2011-12,21,DEN,NBA,13.9,26,2,258,48,111,31,64,17,47,2,5,11,51,62,20,4,3,16,15,115,.432,.484,.362,.509,.400,.508
1602,Lester Hudson\hudsole01,2011-12,27,TOT,NBA,13.9,16,0,334,62,162,46,98,16,64,34,41,7,39,46,36,14,3,32,26,174,.383,.469,.250,.432,.829,.483
1603,Serge Ibaka\ibakase01,2015-16,26,OKC,NBA,13.9,78,78,2500,416,869,356,685,60,184,91,121,141,392,533,66,38,148,108,211,983,.479,.520,.326,.513,.752,.533
1604,Mike James\jamesmi02,2017-18,27,TOT,NBA,13.9,36,10,687,123,321,97,223,26,98,64,84,13,77,90,126,28,7,49,48,336,.383,.435,.265,.424,.762,.469
1605,Kyle Korver\korveky01,2012-13,31,ATL,NBA,13.9,74,60,2259,277,601,88,187,189,414,67,78,23,270,293,146,70,37,70,170,810,.461,.471,.457,.618,.859,.637
1606,Robin Lopez\lopezro01,2010-11,22,PHO,NBA,13.9,67,56,991,179,357,179,357,0,0,74,100,82,134,216,8,18,45,48,143,432,.501,.501,,.501,.740,.539
1607,Kenyon Martin\martike01,2012-13,35,NYK,NBA,13.9,18,11,431,56,93,56,93,0,0,17,40,34,61,95,8,16,17,16,64,129,.602,.602,,.602,.425,.583
1608,O.J. Mayo\mayooj01,2012-13,25,DAL,NBA,13.9,82,82,2913,461,1026,319,677,142,349,191,233,36,255,291,361,93,23,210,195,1255,.449,.471,.407,.519,.820,.556
1609,Luc Mbah a Moute\mbahalu01,2011-12,25,MIL,NBA,13.9,43,22,1009,133,261,132,257,1,4,66,103,77,150,227,29,40,22,39,93,333,.510,.514,.250,.511,.641,.544
1610,Andre Miller\millean02,2013-14,37,TOT,NBA,13.9,58,2,982,106,231,95,210,11,21,60,77,28,102,130,197,34,9,61,75,283,.459,.452,.524,.483,.779,.534
1611,Eric Moreland\moreler01,2017-18,26,DET,NBA,13.9,67,3,805,66,122,66,122,0,0,11,29,81,197,278,78,31,51,42,116,143,.541,.541,,.541,.379,.531
1612,Anthony Morrow\morroan01,2013-14,28,NOP,NBA,13.9,76,9,1426,238,520,150,325,88,195,72,87,29,111,140,59,38,12,51,102,636,.458,.462,.451,.542,.828,.570
1613,Jameer Nelson\nelsoja01,2013-14,31,ORL,NBA,13.9,68,68,2179,294,747,158,356,136,391,96,112,29,202,231,476,52,5,166,146,820,.394,.444,.348,.485,.857,.515
1614,Elfrid Payton\paytoel01,2015-16,21,ORL,NBA,13.9,73,69,2145,318,730,288,638,30,92,112,190,77,184,261,468,89,20,177,159,778,.436,.451,.326,.456,.589,.478
1615,Julius Randle\randlju01,2015-16,21,LAL,NBA,13.9,81,60,2286,358,835,348,799,10,36,193,270,172,657,829,144,53,29,149,242,919,.429,.436,.278,.435,.715,.482
1616,Michael Redd\reddmi01,2011-12,32,PHO,NBA,13.9,51,2,770,144,360,102,228,42,132,88,111,14,63,77,33,13,0,37,29,418,.400,.447,.318,.458,.793,.511
1617,Brandon Roy\roybr01,2010-11,26,POR,NBA,13.9,47,23,1310,209,523,171,409,38,114,117,138,28,93,121,129,37,12,55,76,573,.400,.418,.333,.436,.848,.491
1618,JaKarr Sampson\sampsja02,2017-18,24,SAC,NBA,13.9,22,6,344,44,81,39,71,5,10,10,16,21,57,78,9,8,22,8,48,103,.543,.549,.500,.574,.625,.585
1619,Luis Scola\scolalu01,2016-17,36,BRK,NBA,13.9,36,1,461,71,151,54,101,17,50,25,37,51,88,139,37,14,4,34,63,184,.470,.535,.340,.526,.676,.550
1620,Henry Sims\simshe01,2015-16,25,BRK,NBA,13.9,14,4,263,33,77,33,77,0,0,25,30,21,51,72,9,9,14,12,37,91,.429,.429,,.429,.833,.504
1621,Donald Sloan\sloando01,2015-16,28,BRK,NBA,13.9,61,33,1318,154,350,116,251,38,99,78,104,17,156,173,268,32,4,80,73,424,.440,.462,.384,.494,.750,.536
1622,Anthony Tolliver\tollian01,2017-18,32,DET,NBA,13.9,79,14,1757,219,472,60,107,159,365,106,133,50,191,241,90,32,21,58,144,703,.464,.561,.436,.632,.797,.663
1623,Ronny Turiaf\turiaro01,2013-14,31,MIN,NBA,13.9,31,10,606,64,107,64,107,0,0,21,50,55,119,174,24,8,50,24,65,149,.598,.598,,.598,.420,.578
1624,Jarrod Uthoff\uthofja01,2016-17,23,DAL,NBA,13.9,9,0,115,16,38,13,29,3,9,5,7,8,14,22,9,2,4,3,8,40,.421,.448,.333,.461,.714,.487
1625,C.J. Watson\watsocj01,2012-13,28,BRK,NBA,13.9,80,8,1521,192,459,104,245,88,214,71,91,38,107,145,161,66,12,69,123,543,.418,.424,.411,.514,.780,.544
1626,Martell Webster\webstma02,2012-13,26,WAS,NBA,13.9,76,62,2200,281,636,142,307,139,329,168,198,53,241,294,143,49,17,90,166,869,.442,.463,.422,.551,.848,.601
1627,Andrew Wiggins\wiggian01,2014-15,19,MIN,NBA,13.9,82,82,2969,497,1137,458,1011,39,126,354,466,134,240,374,170,86,50,177,190,1387,.437,.453,.310,.454,.760,.517
1628,Marvin Williams\willima02,2017-18,31,CHO,NBA,13.9,78,78,2006,258,563,132,258,126,305,102,123,74,296,370,96,56,38,66,116,744,.458,.512,.413,.570,.829,.603
1629,Mo Williams\willima01,2010-11,28,TOT,NBA,13.9,58,56,1788,291,730,212,486,79,244,151,177,21,132,153,380,53,10,171,150,812,.399,.436,.324,.453,.853,.503
1630,Alexis Ajinca\ajincal01,2015-16,27,NOP,NBA,13.8,59,17,861,150,315,150,314,0,1,52,62,75,194,269,31,19,36,54,134,352,.476,.478,.000,.476,.839,.514
1631,Andrew Bogut\bogutan01,2012-13,28,GSW,NBA,13.8,32,32,786,83,184,82,183,1,1,19,38,68,177,245,67,20,55,35,85,186,.451,.448,1.000,.454,.500,.463
1632,Ronnie Brewer\brewero02,2010-11,25,CHI,NBA,13.8,81,1,1781,205,427,199,400,6,27,87,133,55,207,262,140,106,22,55,82,503,.480,.498,.222,.487,.654,.518
1633,Jordan Crawford\crawfjo02,2012-13,24,TOT,NBA,13.8,70,14,1709,301,725,218,479,83,246,129,159,44,165,209,225,39,7,141,106,814,.415,.455,.337,.472,.811,.512
1634,Seth Curry\curryse01,2015-16,25,SAC,NBA,13.8,44,9,692,102,224,52,113,50,111,45,54,9,51,60,67,22,3,36,41,299,.455,.460,.450,.567,.833,.603
1635,Seth Curry\curryse01,2013-14,23,TOT,NBA,13.8,2,0,13,1,3,0,2,1,1,0,0,0,1,1,0,2,0,0,0,3,.333,.000,1.000,.500,,.500
1636,Derrick Favors\favorde01,2010-11,19,TOT,NBA,13.8,78,27,1535,215,416,215,416,0,0,103,173,171,241,412,39,29,68,77,246,533,.517,.517,,.517,.595,.542
1637,Evan Fournier\fournev01,2012-13,20,DEN,NBA,13.8,38,4,428,75,152,53,98,22,54,30,39,6,29,35,44,19,1,32,65,202,.493,.541,.407,.566,.769,.597
1638,Danilo Gallinari\gallida01,2017-18,29,LAC,NBA,13.8,21,21,671,102,256,66,145,36,111,81,87,9,92,101,41,12,10,26,30,321,.398,.455,.324,.469,.931,.545
1639,Devin Harris\harride01,2016-17,33,DAL,NBA,13.8,65,0,1087,136,341,78,164,58,177,107,129,11,116,127,136,43,7,57,101,437,.399,.476,.328,.484,.829,.549
1640,Ersan Ilyasova\ilyaser01,2013-14,26,MIL,NBA,13.8,55,47,1478,237,579,200,448,37,131,107,130,107,235,342,72,46,8,61,135,618,.409,.446,.282,.441,.823,.486
1641,Brandon Ingram\ingrabr01,2017-18,20,LAL,NBA,13.8,59,59,1975,358,761,317,656,41,105,192,282,57,257,314,230,45,43,149,163,949,.470,.483,.390,.497,.681,.536
1642,Tyler Johnson\johnsty01,2015-16,23,MIA,NBA,13.8,36,5,863,118,243,91,172,27,71,51,64,28,81,109,79,24,14,47,66,314,.486,.529,.380,.541,.797,.579
1643,Tyus Jones\jonesty01,2016-17,20,MIN,NBA,13.8,60,0,774,75,181,49,108,26,73,33,43,10,57,67,156,48,5,38,50,209,.414,.454,.356,.486,.767,.523
1644,Kosta Koufos\koufoko01,2016-17,27,SAC,NBA,13.8,71,62,1419,216,392,216,391,0,1,38,62,118,285,403,47,36,48,61,172,470,.551,.552,.000,.551,.613,.560
1645,Courtney Lee\leeco01,2013-14,28,TOT,NBA,13.8,79,47,1973,295,614,223,420,72,194,99,112,29,158,187,115,65,28,73,127,761,.480,.531,.371,.539,.884,.574
1646,Jeremy Lin\linje01,2015-16,27,CHO,NBA,13.8,78,13,2048,300,728,224,502,76,226,238,292,42,211,253,235,58,42,150,165,914,.412,.446,.336,.464,.815,.534
1647,Shaun Livingston\livinsh01,2015-16,30,GSW,NBA,13.8,78,3,1520,203,379,201,367,2,12,80,93,42,127,169,237,57,27,78,140,488,.536,.548,.167,.538,.860,.581
1648,Josh McRoberts\mcrobjo01,2013-14,26,CHA,NBA,13.8,78,78,2360,247,566,142,275,105,291,62,85,85,288,373,333,58,46,83,189,661,.436,.516,.361,.529,.729,.548
1649,C.J. Miles\milescj01,2016-17,29,IND,NBA,13.8,76,29,1776,281,647,112,238,169,409,84,93,30,199,229,48,46,25,40,151,815,.434,.471,.413,.565,.903,.592
1650,Elfrid Payton\paytoel01,2014-15,20,ORL,NBA,13.8,82,63,2489,301,708,290,666,11,42,118,214,107,242,349,533,142,20,203,193,731,.425,.435,.262,.433,.551,.456
1651,Bobby Portis\portibo01,2015-16,20,CHI,NBA,13.8,62,4,1102,186,436,170,384,16,52,48,66,123,214,337,52,25,22,54,100,436,.427,.443,.308,.445,.727,.469
1652,Dwight Powell\poweldw01,2014-15,23,TOT,NBA,13.8,29,0,236,31,67,28,56,3,11,25,33,18,32,50,9,9,6,11,40,90,.463,.500,.273,.485,.758,.552
1653,Brian Roberts\roberbr01,2015-16,30,TOT,NBA,13.8,51,0,470,74,165,59,123,15,42,42,47,6,35,41,54,10,2,23,35,205,.448,.480,.357,.494,.894,.552
1654,Thabo Sefolosha\sefolth01,2014-15,30,ATL,NBA,13.8,52,7,976,104,249,79,171,25,78,45,58,53,170,223,75,53,21,38,67,278,.418,.462,.321,.468,.776,.506
1655,Malcolm Thomas\thomama01,2012-13,24,TOT,NBA,13.8,12,0,57,5,10,5,10,0,0,5,8,5,11,16,4,2,2,3,8,15,.500,.500,,.500,.625,.555
1656,Al-Farouq Aminu\aminual01,2012-13,22,NOH,NBA,13.7,76,71,2066,225,474,221,455,4,19,101,137,139,446,585,103,92,51,116,153,555,.475,.486,.211,.479,.737,.519
1657,Malik Beasley\beaslma01,2016-17,20,DEN,NBA,13.7,22,1,165,33,73,24,45,9,28,8,10,5,12,17,11,7,0,8,10,83,.452,.533,.321,.514,.800,.536
