Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
3391,Eric Moreland\moreler01,2015-16,24,SAC,NBA,7.4,8,0,48,3,6,3,6,0,0,2,4,3,8,11,1,0,4,3,4,8,.500,.500,,.500,.500,.515
3392,Johnny O'Bryant\obryajo01,2015-16,22,MIL,NBA,7.4,66,4,857,86,209,85,208,1,1,27,40,65,111,176,32,18,8,31,100,200,.411,.409,1.000,.414,.675,.441
3393,Jason Terry\terryja01,2013-14,36,BRK,NBA,7.4,35,0,570,55,152,16,49,39,103,10,15,4,33,37,56,13,0,27,48,159,.362,.327,.379,.490,.667,.501
3394,Greivis Vasquez\vasqugr01,2015-16,29,MIL,NBA,7.4,23,0,460,45,138,27,65,18,73,22,26,5,42,47,91,10,0,40,42,130,.326,.415,.247,.391,.846,.435
3395,Shayne Whittington\whittsh01,2015-16,24,IND,NBA,7.4,7,0,41,5,11,5,9,0,2,1,2,5,7,12,3,1,1,5,7,11,.455,.556,.000,.455,.500,.463
3396,Joel Anthony\anthojo01,2010-11,28,MIA,NBA,7.3,75,11,1463,53,99,53,99,0,0,47,73,104,162,266,24,10,93,36,194,153,.535,.535,,.535,.644,.583
3397,Ryan Arcidiacono\arcidry01,2017-18,23,CHI,NBA,7.3,24,0,304,17,41,8,10,9,31,5,6,1,24,25,35,13,0,13,18,48,.415,.800,.290,.524,.833,.550
3398,Tony Battie\battito01,2011-12,35,PHI,NBA,7.3,27,11,295,19,51,19,50,0,1,4,4,8,59,67,16,4,6,4,26,42,.373,.380,.000,.373,1.000,.398
3399,Jared Cunningham\cunnija01,2014-15,23,LAC,NBA,7.3,19,0,89,12,33,8,20,4,13,7,13,1,8,9,10,3,0,7,12,35,.364,.400,.308,.424,.538,.452
3400,Tyler Ennis\ennisty01,2014-15,20,TOT,NBA,7.3,33,1,411,52,144,40,101,12,43,5,7,7,28,35,73,18,5,42,36,121,.361,.396,.279,.403,.714,.411
