Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1,Naz Mitrou-Long\mitrona01,2017-18,24,UTA,NBA,133.8,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,1.000,,1.000,1.500,,1.500
2,DeAndre Liggins\liggide01,2013-14,25,MIA,NBA,129.1,1,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,2,1.000,1.000,,1.000,,1.000
3,Sim Bhullar\bhullsi01,2014-15,22,SAC,NBA,44.3,3,0,3,1,2,1,2,0,0,0,0,0,1,1,1,0,1,0,0,2,.500,.500,,.500,,.500
4,Anthony Brown\brownan02,2017-18,25,MIN,NBA,41.9,1,0,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,1.000,,1.000,1.500,,1.500
5,Eric Moreland\moreler01,2014-15,23,SAC,NBA,40.8,3,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1.000,1.000,,1.000,,1.000
6,Edmond Sumner\sumneed01,2017-18,22,IND,NBA,39.8,1,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1.000,1.000,,1.000,,1.000
7,Vince Hunter\huntevi01,2017-18,23,MEM,NBA,35.8,4,0,7,3,5,3,5,0,0,0,0,2,1,3,0,0,1,1,0,6,.600,.600,,.600,,.600
8,David Stockton\stockda01,2017-18,26,UTA,NBA,33.9,3,0,9,2,3,0,0,2,3,4,4,0,0,0,0,0,0,1,3,10,.667,,.667,1.000,1.000,1.050
9,Orien Greene\greenor01,2010-11,28,NJN,NBA,33.0,3,0,5,1,2,1,2,0,0,1,2,0,0,0,1,1,0,0,0,3,.500,.500,,.500,.500,.521
10,Thanasis Antetokounmpo\antetth01,2015-16,23,NYK,NBA,32.9,2,0,6,3,4,3,3,0,1,0,0,0,1,1,0,0,0,0,2,6,.750,1.000,.000,.750,,.750
11,Rakeem Christmas\chrisra01,2015-16,24,IND,NBA,32.0,1,0,6,2,2,2,2,0,0,0,0,1,0,1,0,0,0,0,1,4,1.000,1.000,,1.000,,1.000
12,LeBron James\jamesle01,2012-13,28,MIA,NBA,31.6,76,76,2877,765,1354,662,1100,103,254,403,535,97,513,610,551,129,67,226,110,2036,.565,.602,.406,.603,.753,.640
13,Stephen Curry\curryst01,2015-16,27,GSW,NBA,31.5,79,79,2700,805,1598,403,712,402,886,363,400,68,362,430,527,169,15,262,161,2375,.504,.566,.454,.630,.908,.669
14,Jarnell Stokes\stokeja01,2016-17,23,DEN,NBA,31.5,2,0,7,1,1,1,1,0,0,1,2,1,1,2,2,1,0,0,3,3,1.000,1.000,,1.000,.500,.798
15,Tyrus Thomas\thomaty01,2014-15,28,MEM,NBA,31.4,2,0,7,1,1,1,1,0,0,2,2,0,0,0,1,0,0,0,0,4,1.000,1.000,,1.000,1.000,1.064
16,Tony Mitchell\mitchto03,2013-14,24,MIL,NBA,30.9,3,0,10,3,5,3,4,0,1,0,0,1,0,1,1,1,0,0,0,6,.600,.750,.000,.600,,.600
17,Anthony Davis\davisan02,2014-15,21,NOP,NBA,30.8,68,68,2455,642,1199,641,1187,1,12,371,461,173,523,696,149,100,200,95,141,1656,.535,.540,.083,.536,.805,.591
18,Demetrius Jackson\jacksde01,2016-17,22,BOS,NBA,30.8,5,0,17,3,4,2,3,1,1,3,6,2,2,4,3,0,0,0,0,10,.750,.667,1.000,.875,.500,.753
19,LeBron James\jamesle01,2011-12,27,MIA,NBA,30.7,62,62,2326,621,1169,567,1020,54,149,387,502,94,398,492,387,115,50,213,96,1683,.531,.556,.362,.554,.771,.605
20,Russell Westbrook\westbru01,2016-17,28,OKC,NBA,30.6,81,81,2802,824,1941,624,1358,200,583,710,840,137,727,864,840,132,31,438,190,2558,.425,.459,.343,.476,.845,.554
21,Kevin Durant\duranke01,2013-14,25,OKC,NBA,29.8,81,81,3122,849,1688,657,1197,192,491,703,805,58,540,598,445,103,59,285,174,2593,.503,.549,.391,.560,.873,.635
