Rk,Player,Season,Age,Tm,Lg,PER,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1501,Rondae Hollis-Jefferson\holliro01,2015-16,21,BRK,NBA,14.2,29,17,615,63,138,59,124,4,14,37,52,39,115,154,43,39,16,26,61,167,.457,.476,.286,.471,.712,.519
1502,Ersan Ilyasova\ilyaser01,2015-16,28,TOT,NBA,14.2,74,56,1881,280,661,184,402,96,259,111,154,144,259,403,67,52,33,71,171,767,.424,.458,.371,.496,.721,.526
1503,Jarrett Jack\jackja01,2010-11,27,TOT,NBA,14.2,83,15,1722,260,637,227,529,33,108,182,214,20,153,173,242,54,6,110,102,735,.408,.429,.306,.434,.850,.503
1504,Reggie Jackson\jacksre01,2012-13,22,OKC,NBA,14.2,70,0,993,149,325,125,221,24,104,52,62,21,145,166,122,29,13,53,84,374,.458,.566,.231,.495,.839,.531
1505,Jonas Jerebko\jerebjo01,2011-12,24,DET,NBA,14.2,64,13,1468,212,453,180,347,32,106,100,124,96,212,308,43,41,21,66,162,556,.468,.519,.302,.503,.806,.548
1506,Kosta Koufos\koufoko01,2014-15,25,MEM,NBA,14.2,81,3,1348,182,358,182,358,0,0,55,85,121,305,426,37,29,63,69,148,419,.508,.508,,.508,.647,.530
1507,Kyle Kuzma\kuzmaky01,2017-18,22,LAL,NBA,14.2,77,37,2401,468,1039,309,605,159,434,147,208,88,395,483,141,49,34,140,160,1242,.450,.511,.366,.527,.707,.549
1508,Jon Leuer\leuerjo01,2016-17,27,DET,NBA,14.2,75,34,1944,310,646,261,479,49,167,98,113,102,300,402,111,31,26,66,145,767,.480,.545,.293,.518,.867,.551
1509,Jordan McRae\mcraejo01,2015-16,24,TOT,NBA,14.2,22,1,195,34,78,24,56,10,22,21,28,4,16,20,25,3,1,15,17,99,.436,.429,.455,.500,.750,.548
1510,Shabazz Napier\napiesh01,2017-18,26,POR,NBA,14.2,74,10,1535,223,531,141,313,82,218,116,138,26,144,170,150,81,14,90,84,644,.420,.450,.376,.497,.841,.544
1511,Gary Neal\nealga01,2011-12,27,SAS,NBA,14.2,56,7,1206,212,486,129,288,83,198,50,64,12,106,118,117,27,2,60,75,557,.436,.448,.419,.522,.781,.542
1512,Jason Thompson\thompja02,2015-16,29,TOT,NBA,14.2,47,7,471,52,108,47,93,5,15,38,54,32,102,134,29,12,20,15,80,147,.481,.505,.333,.505,.704,.558
1513,Beno Udrih\udrihbe01,2012-13,30,TOT,NBA,14.2,66,9,1457,210,476,176,374,34,102,84,103,34,107,141,302,41,3,108,90,538,.441,.471,.333,.477,.816,.516
1514,Greivis Vasquez\vasqugr01,2011-12,25,NOH,NBA,14.2,66,26,1706,225,523,182,388,43,135,96,117,23,150,173,359,60,8,148,126,589,.430,.469,.319,.471,.821,.513
1515,Lou Williams\willilo02,2013-14,27,ATL,NBA,14.2,60,7,1445,197,493,118,262,79,231,152,179,10,114,124,210,45,4,92,65,625,.400,.450,.342,.480,.849,.547
1516,Nick Young\youngni01,2014-15,29,LAL,NBA,14.2,42,0,1000,174,476,91,251,83,225,132,148,17,79,96,41,23,11,44,83,563,.366,.363,.369,.453,.892,.520
1517,Steven Adams\adamsst01,2014-15,21,OKC,NBA,14.1,70,67,1771,217,399,217,397,0,2,103,205,199,324,523,66,38,86,99,222,537,.544,.547,.000,.544,.502,.549
1518,Joel Anthony\anthojo01,2015-16,33,DET,NBA,14.1,19,0,96,6,10,6,10,0,0,6,8,8,13,21,1,2,12,2,15,18,.600,.600,,.600,.750,.666
1519,D.J. Augustin\augusdj01,2011-12,24,CHA,NBA,14.1,48,46,1408,183,487,122,308,61,179,105,120,24,85,109,307,36,1,110,65,532,.376,.396,.341,.438,.875,.493
1520,J.J. Barea\bareajo01,2012-13,28,MIN,NBA,14.1,74,2,1713,316,758,219,478,97,280,105,134,34,173,207,294,32,0,145,131,834,.417,.458,.346,.481,.784,.510
1521,Brandon Bass\bassbr01,2011-12,26,BOS,NBA,14.1,59,39,1868,303,632,303,632,0,0,132,163,95,270,365,55,34,54,65,135,738,.479,.479,,.479,.810,.524
1522,Jerryd Bayless\bayleje01,2010-11,22,TOT,NBA,14.1,71,14,1496,218,517,169,371,49,146,166,206,26,139,165,266,38,5,127,149,651,.422,.456,.336,.469,.806,.536
1523,Marco Belinelli\belinma01,2017-18,31,TOT,NBA,14.1,80,2,1947,337,764,188,369,149,395,148,163,20,131,151,148,66,12,94,91,971,.441,.509,.377,.539,.908,.581
1524,Davis Bertans\bertada01,2017-18,25,SAS,NBA,14.1,77,10,1086,161,366,67,114,94,252,40,49,18,135,153,74,26,28,36,93,456,.440,.588,.373,.568,.816,.588
1525,Bismack Biyombo\biyombi01,2017-18,25,ORL,NBA,14.1,82,25,1495,183,352,183,351,0,1,102,157,144,324,468,66,21,95,84,158,468,.520,.521,.000,.520,.650,.556
1526,Matt Bonner\bonnema01,2015-16,35,SAS,NBA,14.1,30,2,206,29,57,14,23,15,34,3,4,3,24,27,9,6,1,3,16,76,.509,.609,.441,.640,.750,.647
1527,Michael Carter-Williams\cartemi01,2014-15,23,TOT,NBA,14.1,66,63,2149,364,919,328,766,36,153,202,291,64,289,353,442,111,30,253,167,966,.396,.428,.235,.416,.694,.461
1528,Samuel Dalembert\dalemsa01,2010-11,29,SAC,NBA,14.1,80,46,1938,268,567,268,565,0,2,108,148,212,445,657,67,36,116,132,225,644,.473,.474,.000,.473,.730,.509
1529,Luol Deng\denglu01,2011-12,26,CHI,NBA,14.1,54,54,2129,311,755,232,540,79,215,127,165,77,273,350,157,56,36,96,81,828,.412,.430,.367,.464,.770,.500
1530,Boris Diaw\diawbo01,2013-14,31,SAS,NBA,14.1,79,24,1974,302,580,257,468,45,112,68,92,74,252,326,222,44,32,121,140,717,.521,.549,.402,.559,.739,.578
1531,Jordan Farmar\farmajo01,2010-11,24,NJN,NBA,14.1,73,18,1796,255,651,146,347,109,304,82,100,24,149,173,368,62,6,139,128,701,.392,.421,.359,.475,.820,.504
1532,Danny Green\greenda02,2012-13,25,SAS,NBA,14.1,80,80,2201,297,663,120,250,177,413,67,79,36,208,244,141,92,54,94,124,838,.448,.480,.429,.581,.848,.600
1533,Gerald Green\greenge01,2017-18,32,HOU,NBA,14.1,41,2,929,168,413,58,115,110,298,51,60,15,118,133,25,24,15,31,87,497,.407,.504,.369,.540,.850,.566
1534,Rodney Hood\hoodro01,2015-16,23,UTA,NBA,14.1,79,79,2541,408,972,247,523,161,449,172,200,38,229,267,213,73,16,125,202,1149,.420,.472,.359,.503,.860,.542
1535,Joe Johnson\johnsjo02,2014-15,33,BRK,NBA,14.1,80,80,2791,446,1025,325,688,121,337,141,176,53,331,384,292,59,14,137,120,1154,.435,.472,.359,.494,.801,.523
1536,Joe Johnson\johnsjo02,2012-13,31,BRK,NBA,14.1,72,72,2642,445,1052,297,657,148,395,132,161,53,165,218,253,49,14,123,99,1170,.423,.452,.375,.493,.820,.521
1537,Tyus Jones\jonesty01,2017-18,21,MIN,NBA,14.1,82,11,1467,150,328,105,199,45,129,71,81,16,116,132,232,95,6,59,110,416,.457,.528,.349,.526,.877,.572
1538,Corey Maggette\maggeco01,2011-12,32,CHA,NBA,14.1,32,28,881,139,373,115,307,24,66,178,208,21,104,125,39,23,1,59,83,480,.373,.375,.364,.405,.856,.517
1539,Ian Mahinmi\mahinia01,2016-17,30,WAS,NBA,14.1,31,0,555,65,111,65,111,0,0,43,75,47,103,150,19,33,24,34,90,173,.586,.586,,.586,.573,.601
1540,Kenyon Martin\martike01,2010-11,33,DEN,NBA,14.1,48,48,1233,185,362,183,353,2,9,42,72,67,230,297,109,43,35,59,136,414,.511,.518,.222,.514,.583,.526
1541,Wesley Matthews\matthwe02,2011-12,25,POR,NBA,14.1,66,53,2228,314,763,185,426,129,337,147,171,56,168,224,113,96,15,73,148,904,.412,.434,.383,.496,.860,.539
1542,Wesley Matthews\matthwe02,2012-13,26,POR,NBA,14.1,69,69,2403,352,808,183,383,169,425,149,187,35,156,191,174,90,18,109,172,1022,.436,.478,.398,.540,.797,.574
1543,Jodie Meeks\meeksjo01,2014-15,27,DET,NBA,14.1,60,0,1462,222,534,148,322,74,212,145,160,12,92,104,79,59,6,57,76,663,.416,.460,.349,.485,.906,.548
1544,C.J. Miles\milescj01,2014-15,27,IND,NBA,14.1,70,40,1841,329,827,175,381,154,446,130,161,18,196,214,75,60,26,73,132,942,.398,.459,.345,.491,.807,.525
1545,Patty Mills\millspa02,2012-13,24,SAS,NBA,14.1,58,2,656,113,241,61,111,52,130,16,19,9,41,50,62,26,4,39,55,294,.469,.550,.400,.577,.842,.590
1546,Joakim Noah\noahjo01,2015-16,30,CHI,NBA,14.1,29,2,635,51,133,51,132,0,1,22,45,87,168,255,110,18,29,52,77,124,.383,.386,.000,.383,.489,.406
1547,Thomas Robinson\robinth01,2013-14,22,POR,NBA,14.1,70,0,873,141,293,141,292,0,1,57,101,105,202,307,34,23,20,57,131,339,.481,.483,.000,.481,.564,.502
