k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
801,Rod Barajas\barajro01,0.3,2011,2012,35-36,202,698,626,58,136,24,0,27,78,51,9,140,11,2,7,9,0,0,.217,.285,.385,.670,*2/H3,LAD-PIT
802,Miguel Cairo\cairomi01,0.3,2011,2012,37-38,172,432,395,42,93,15,4,9,46,22,1,56,8,3,4,7,7,4,.235,.287,.362,.649,/5H34D,CIN
803,Adam Kennedy\kennead01,0.3,2011,2012,35-36,200,610,548,58,133,31,2,9,54,45,4,100,2,8,7,8,9,3,.243,.299,.356,.655,/5H43D7,SEA-LAD
804,Bryan LaHair\lahaibr01,0.3,2011,2012,28-29,150,449,399,51,105,22,1,18,46,48,3,142,0,0,2,9,4,2,.263,.341,.459,.799,/3H97,CHC
805,Scott Podsednik\podsesc01,0.3,2012,2012,36-36,63,216,199,19,60,7,0,1,12,6,0,35,1,8,2,3,8,2,.302,.322,.352,.674,/78H9D,BOS
806,Luis Rodriguez\rodrilu01,0.3,2011,2011,31-31,44,139,117,10,23,10,0,2,14,16,0,21,2,2,2,0,1,2,.197,.299,.333,.633,/*654H3,SEA
807,Shaun Anderson\andersh01,0.2,2019,2019,24-24,5,9,7,0,2,1,0,0,0,0,0,5,1,1,0,0,0,0,.286,.375,.429,.804,/*1,SFG
808,Homer Bailey\baileho02,0.2,2011,2019,25-33,151,330,277,18,45,6,0,0,11,9,0,102,1,43,0,8,0,0,.162,.192,.184,.376,*1/H,CIN-KCR
809,Jon Berti\bertijo01,0.2,2018,2019,28-29,26,83,74,14,18,3,1,2,6,7,0,20,1,0,1,1,2,0,.243,.313,.392,.705,/*5H846,TOR-MIA
810,Greg Bird\birdgr01,0.2,2015,2019,22-26,186,700,611,75,129,32,1,32,98,74,1,189,8,0,7,8,0,0,.211,.301,.424,.725,*3/HD,NYY
