k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
1201,Hector Rondon\rondohe01,0.0,2013,2019,25-31,293,3,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,.333,.333,.333,.667,*1,CHC-HOU
1202,Zac Rosscup\rosscza01,0.0,2013,2019,25-31,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,CHC-COL-LAD-TOR-SEA
1203,Jose Ruiz\ruizjo01,0.0,2017,2019,22-24,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,SDP-CHW
1204,Nick Rumbelow\rumbeni01,0.0,2015,2019,23-27,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,NYY-SEA
1205,Kyle Ryan\ryanky01,0.0,2014,2019,22-27,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,DET-CHC
1206,Connor Sadzeck\sadzeco01,0.0,2018,2019,26-27,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TEX-SEA
1207,Jaime Schultz\schulja02,0.0,2018,2019,27-28,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TBR-LAD
1208,Tanner Scott\scottta01,0.0,2017,2019,22-24,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,BAL
1209,Justin Shafer\shafeju01,0.0,2018,2019,25-26,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,/*1,TOR
1210,Bryan Shaw\shawbr01,0.0,2011,2019,23-31,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,*1,ARI-CLE-COL
1211,Matt Shoemaker\shoemma01,0.0,2013,2019,26-32,16,8,6,0,0,0,0,0,0,1,0,3,0,1,0,0,0,0,.000,.143,.000,.143,*1,LAA-TOR
1212,Burch Smith\smithbu03,0.0,2013,2019,23-29,13,11,10,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,.100,.182,.100,.282,/*1,SDP-KCR-MIL
