k,Player,WAR/pos,From,To,Age,G,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos,Tm
401,Kevin Plawecki\plaweke01,2.8,2015,2019,24-28,266,889,778,74,165,39,2,16,82,83,10,190,20,2,6,21,1,1,.212,.302,.329,.631,*2/H31,NYM-CLE
402,Nate Schierholtz\schiena01,2.8,2011,2014,27-30,488,1517,1391,150,340,73,13,43,167,93,8,285,15,2,16,18,20,14,.244,.296,.408,.704,*9H/78D,SFG-PHI-CHC-WSN
403,Johnny Damon\damonjo01,2.8,2011,2012,37-38,214,871,789,104,198,35,9,20,92,68,1,119,7,2,5,4,23,6,.251,.314,.394,.708,*D/7H3,TBR-CLE
404,Tommy La Stella\lasteto01,2.7,2014,2019,25-30,460,1196,1052,124,287,56,2,25,133,113,5,139,11,3,4,25,4,3,.273,.348,.401,.749,H45/D31,ATL-CHC-LAA
405,Ramon Laureano\laurera01,2.7,2018,2019,23-24,117,443,402,64,109,25,1,14,47,29,0,120,7,0,5,4,15,3,.271,.327,.443,.770,*8/H,OAK
406,Scott Schebler\schebsc01,2.7,2015,2019,24-28,379,1378,1227,171,294,58,4,61,167,114,9,323,30,0,7,20,13,11,.240,.318,.443,.760,*9/8H7D,LAD-CIN
407,Luke Voit\voitlu01,2.7,2017,2019,26-28,174,576,501,92,137,22,1,35,98,64,1,149,10,0,1,15,0,0,.273,.366,.531,.897,*3/HD9,STL-NYY
408,Kirk Nieuwenhuis\nieuwki01,2.7,2012,2017,24-29,414,1116,978,128,216,59,4,31,117,123,5,366,7,3,5,11,20,15,.221,.311,.384,.695,8H/79,NYM-LAA-MIL
409,Jorge Alfaro\alfarjo01,2.6,2016,2019,23-26,195,703,648,68,175,27,2,24,77,30,8,244,24,0,1,8,4,2,.270,.326,.429,.755,*2/H3D5,PHI-MIA
410,David Dahl\dahlda01,2.6,2016,2019,22-25,199,749,689,111,210,42,10,29,100,51,4,188,3,1,5,10,12,7,.305,.353,.521,.874,*7/98H,COL
411,Ryon Healy\healyry01,2.6,2016,2019,24-27,401,1599,1507,177,394,80,0,69,214,75,1,355,8,1,8,45,0,1,.261,.298,.452,.750,35/DH,OAK-SEA
412,Jose Martinez\martijo08,2.6,2016,2019,27-30,336,1106,996,136,303,52,1,34,153,98,2,202,3,3,6,31,5,3,.304,.366,.461,.827,39/H7D,STL
413,Chris Owings\owingch01,2.6,2013,2019,21-27,620,2251,2095,234,508,115,24,33,205,117,12,525,13,13,13,29,74,14,.242,.285,.368,.653,64/9H8571,ARI-KCR
414,Paulo Orlando\orlanpa01,2.6,2015,2018,29-32,278,918,874,98,230,44,10,14,81,22,1,203,11,5,4,18,18,7,.263,.289,.384,.673,*9/87HD,KCR
415,Robert Andino\andinro01,2.6,2011,2016,27-32,308,1051,941,111,222,39,1,12,69,85,0,214,5,18,2,30,18,8,.236,.302,.318,.620,*4/65H78,BAL-SEA-MIA
416,Eric Chavez\chaveer01,2.6,2011,2014,33-36,295,823,735,86,201,36,4,30,115,74,10,157,2,0,11,23,3,0,.273,.337,.456,.793,*5H/D3,NYY-ARI
417,Jesus Aguilar\aguilje01,2.5,2014,2019,24-29,376,1125,983,135,249,46,2,55,189,110,4,301,12,0,17,36,0,0,.253,.331,.472,.803,*3H/D5,CLE-MIL
418,David Bote\boteda01,2.5,2018,2019,25-26,134,406,358,50,92,21,2,14,65,38,2,108,6,0,4,7,4,5,.257,.335,.444,.779,/*54H6379,CHC
419,Mark Reynolds\reynoma01,2.5,2011,2019,27-35,1105,3923,3421,467,798,157,4,177,522,442,12,1144,34,1,25,84,21,15,.233,.325,.437,.762,*35H/D74981,BAL-NYY-CLE-MIL-STL-COL-WSN
420,Tyler Saladino\saladty01,2.5,2015,2019,25-29,300,995,915,102,213,33,6,17,84,57,0,222,9,9,5,28,26,13,.233,.283,.338,.621,/564HD3798,CHW-MIL
421,Michael A. Taylor\taylomi02,2.5,2014,2019,23-28,518,1677,1545,187,368,79,8,47,166,117,14,533,5,5,5,20,73,21,.238,.293,.391,.684,*8/H793D,WSN
422,Eric Thames\thameer01,2.5,2011,2019,24-32,476,1690,1495,237,365,79,15,77,189,169,10,496,18,2,6,23,15,5,.244,.327,.472,.799,379/HD,TOR-SEA-MIL
